Date,EOG
2015-08-03,56.773258209228516
2015-08-04,56.99605941772461
2015-08-05,56.513301849365234
2015-08-06,57.69423294067383
2015-08-07,54.782772064208984
2015-08-10,56.64697265625
2015-08-11,57.4119873046875
2015-08-12,59.36533737182617
2015-08-13,59.17964553833008
2015-08-14,59.36533737182617
2015-08-17,59.42475891113281
2015-08-18,59.721839904785156
2015-08-19,57.24117660522461
2015-08-20,56.988685607910156
2015-08-21,55.599761962890625
2015-08-24,51.440547943115234
2015-08-25,50.77211380004883
2015-08-26,52.725433349609375
2015-08-27,56.29047775268555
2015-08-28,57.419403076171875
2015-08-31,58.16212463378906
2015-09-01,56.461307525634766
2015-09-02,57.71649932861328
2015-09-03,57.52338790893555
2015-09-04,57.10747528076172
2015-09-08,57.67936325073242
2015-09-09,57.137176513671875
2015-09-10,57.976444244384766
2015-09-11,57.30057907104492
2015-09-14,56.76582336425781
2015-09-15,57.374855041503906
2015-09-16,59.37275695800781
2015-09-17,59.16480255126953
2015-09-18,56.63957214355469
2015-09-21,56.83265686035156
2015-09-22,55.867149353027344
2015-09-23,54.24801254272461
2015-09-24,54.41139602661133
2015-09-25,54.06232833862305
2015-09-28,51.56680679321289
2015-09-29,52.086700439453125
2015-09-30,54.06977081298828
2015-10-01,54.65651321411133
2015-10-02,57.23374938964844
2015-10-05,59.900089263916016
2015-10-06,61.52661895751953
2015-10-07,62.21736145019531
2015-10-08,64.64606475830078
2015-10-09,64.83914947509766
2015-10-12,63.895904541015625
2015-10-13,63.33884811401367
2015-10-14,63.835975646972656
2015-10-15,64.84806060791016
2015-10-16,65.11597442626953
2015-10-19,63.11412811279297
2015-10-20,63.158775329589844
2015-10-21,62.34762191772461
2015-10-22,63.85085678100586
2015-10-23,63.57551574707031
2015-10-26,62.05739212036133
2015-10-27,61.543907165527344
2015-10-28,63.099220275878906
2015-10-29,63.64247512817383
2015-10-30,63.88807678222656
2015-11-02,64.0517807006836
2015-11-03,65.82294464111328
2015-11-04,64.34945678710938
2015-11-05,64.34945678710938
2015-11-06,63.456417083740234
2015-11-09,63.530860900878906
2015-11-10,64.43133544921875
2015-11-11,62.00529861450195
2015-11-12,60.792274475097656
2015-11-13,61.209014892578125
2015-11-16,63.099220275878906
2015-11-17,61.752288818359375
2015-11-18,63.36713790893555
2015-11-19,61.506690979003906
2015-11-20,61.491817474365234
2015-11-23,61.44715118408203
2015-11-24,63.35969543457031
2015-11-25,62.161582946777344
2015-11-27,61.037841796875
2015-11-30,62.08715057373047
2015-12-01,62.548561096191406
2015-12-02,60.17460632324219
2015-12-03,60.271331787109375
2015-12-04,59.89924621582031
2015-12-07,56.69926834106445
2015-12-08,57.38389587402344
2015-12-09,58.32903289794922
2015-12-10,58.180179595947266
2015-12-11,55.73183059692383
2015-12-14,57.197879791259766
2015-12-15,57.52531433105469
2015-12-16,56.409053802490234
2015-12-17,54.548580169677734
2015-12-18,53.156982421875
2015-12-21,52.27882385253906
2015-12-22,51.951377868652344
