Date,IGL.NS
2015-08-21,42.22045135498047
2015-08-24,40.112064361572266
2015-08-25,40.18657684326172
2015-08-26,40.313697814941406
2015-08-27,41.42707061767578
2015-08-28,42.52290725708008
2015-08-31,41.86101531982422
2015-09-01,41.72514343261719
2015-09-02,40.892303466796875
2015-09-03,40.86161804199219
2015-09-04,40.46271896362305
2015-09-07,40.72134017944336
2015-09-08,40.76518249511719
2015-09-09,41.24921417236328
2015-09-10,40.9738883972168
2015-09-11,41.728797912597656
2015-09-14,41.46236038208008
2015-09-15,41.08933639526367
2015-09-16,41.444602966308594
2015-09-18,42.25723648071289
2015-09-21,42.847843170166016
2015-09-22,42.27499771118164
2015-09-23,41.56449508666992
2015-09-24,41.77320098876953
2015-09-28,41.22700119018555
2015-09-29,40.90283966064453
2015-09-30,42.40377426147461
2015-10-01,41.51121520996094
2015-10-05,41.786529541015625
2015-10-06,42.27499771118164
2015-10-07,41.71992111206055
2015-10-08,41.30693435668945
2015-10-09,41.475685119628906
2015-10-12,41.506771087646484
2015-10-13,41.8797721862793
2015-10-14,42.492591857910156
2015-10-15,43.10983657836914
2015-10-16,42.81232452392578
2015-10-19,42.621368408203125
2015-10-20,42.56808090209961
2015-10-21,42.38157272338867
2015-10-23,43.012149810791016
2015-10-26,43.8159065246582
2015-10-27,43.82478713989258
2015-10-28,43.68712615966797
2015-10-29,43.513938903808594
2015-10-30,43.4295654296875
2015-11-02,43.19420623779297
2015-11-03,42.994388580322266
2015-11-04,42.616920471191406
2015-11-05,42.54587936401367
2015-11-06,42.332733154296875
2015-11-09,41.95083236694336
2015-11-10,42.079612731933594
2015-11-13,41.71103286743164
2015-11-16,41.56449508666992
2015-11-17,41.915306091308594
2015-11-18,40.8539924621582
2015-11-19,41.19148254394531
2015-11-20,42.74570846557617
2015-11-23,43.06987762451172
2015-11-24,42.696868896484375
2015-11-26,42.72794723510742
2015-11-27,41.95970916748047
2015-11-30,42.98106002807617
2015-12-01,42.648014068603516
2015-12-02,42.621368408203125
2015-12-03,42.621368408203125
2015-12-04,42.08849334716797
2015-12-07,41.4090690612793
2015-12-08,41.040496826171875
2015-12-09,40.84955596923828
2015-12-10,41.29806137084961
2015-12-11,42.790103912353516
2015-12-14,42.110694885253906
2015-12-15,41.6533088684082
2015-12-16,44.42871856689453
2015-12-17,44.28661346435547
2015-12-18,43.86919021606445
2015-12-21,45.19695281982422
2015-12-22,45.21915054321289
2015-12-23,46.12060546875
2015-12-24,45.765357971191406
2015-12-28,46.84443283081055
2015-12-29,47.470558166503906
2015-12-30,46.75117492675781
2015-12-31,46.982086181640625
2016-01-01,46.80002212524414
2016-01-04,46.11616516113281
2016-01-05,49.420005798339844
2016-01-06,50.419151306152344
2016-01-07,49.75749969482422
2016-01-08,50.183799743652344
2016-01-11,52.5373420715332
2016-01-12,51.307281494140625
2016-01-13,51.00087356567383
2016-01-14,49.61539840698242
2016-01-15,48.993709564208984
2016-01-18,49.05143737792969
2016-01-19,49.082515716552734
2016-01-20,48.74502944946289
2016-01-21,48.5540771484375
2016-01-22,50.64118576049805
2016-01-25,51.73358917236328
2016-01-27,50.99643325805664
2016-01-28,50.063899993896484
2016-01-29,49.72197723388672
2016-02-01,50.0816650390625
2016-02-02,50.361427307128906
2016-02-03,49.526580810546875
2016-02-04,48.87380599975586
2016-02-05,49.02478790283203
2016-02-08,48.38533401489258
2016-02-09,48.1766242980957
2016-02-10,48.03008270263672
2016-02-11,46.839988708496094
2016-02-12,46.44476318359375
2016-02-15,47.96791076660156
2016-02-16,47.32402038574219
2016-02-17,47.155277252197266
2016-02-18,47.861331939697266
2016-02-19,46.66236114501953
2016-02-22,47.09754180908203
2016-02-23,46.73785400390625
2016-02-24,45.236915588378906
2016-02-25,43.465087890625
2016-02-26,45.83639907836914
2016-02-29,45.14809799194336
2016-03-01,47.27073287963867
2016-03-02,46.911041259765625
2016-03-03,47.617103576660156
2016-03-04,47.39951705932617
2016-03-08,46.546905517578125
2016-03-09,47.3551025390625
2016-03-10,47.910179138183594
2016-03-11,46.990970611572266
2016-03-14,46.46697235107422
2016-03-15,45.96073913574219
2016-03-16,45.863040924072266
2016-03-17,46.36484146118164
2016-03-18,46.200538635253906
2016-03-21,47.51052474975586
2016-03-22,48.37201690673828
2016-03-23,49.04698944091797
2016-03-28,48.14998245239258
2016-03-29,48.2609977722168
2016-03-30,48.90932846069336
2016-03-31,50.58789825439453
2016-04-01,50.05501937866211
2016-04-04,50.183799743652344
2016-04-05,49.846309661865234
2016-04-06,48.99814224243164
2016-04-07,47.936832427978516
2016-04-08,48.522987365722656
2016-04-11,49.05143737792969
2016-04-12,49.77082824707031
2016-04-13,51.0097541809082
2016-04-18,50.29037857055664
2016-04-20,50.79216766357422
2016-04-21,50.92095184326172
2016-04-22,51.35612869262695
2016-04-25,50.374752044677734
2016-04-26,50.84989929199219
2016-04-27,50.801048278808594
2016-04-28,50.801048278808594
2016-04-29,50.916507720947266
2016-05-02,51.80463409423828
2016-05-03,50.66782760620117
2016-05-04,50.76551818847656
2016-05-05,49.92624282836914
2016-05-06,50.90762710571289
2016-05-09,51.02752685546875
2016-05-10,50.78772735595703
2016-05-11,50.348106384277344
2016-05-12,50.516845703125
2016-05-13,50.48576354980469
2016-05-16,51.0097541809082
2016-05-17,52.519588470458984
2016-05-18,51.50710678100586
2016-05-19,51.08525466918945
2016-05-20,50.6234245300293
2016-05-23,50.436912536621094
2016-05-24,50.561256408691406
2016-05-25,50.60121536254883
2016-05-26,50.54349136352539
2016-05-27,51.00532150268555
