Date,AVGO
2015-08-03,9.592024803161621
2015-08-04,9.41436767578125
2015-08-05,9.511964797973633
2015-08-06,9.399114608764648
2015-08-07,9.344218254089355
2015-08-10,9.704869270324707
2015-08-11,9.470789909362793
2015-08-12,9.586688041687012
2015-08-13,9.46926498413086
2015-08-14,9.29922866821289
2015-08-17,9.570672988891602
2015-08-18,9.320582389831543
2015-08-19,9.260343551635742
2015-08-20,8.770829200744629
2015-08-21,8.497862815856934
2015-08-24,8.382726669311523
2015-08-25,8.27369213104248
2015-08-26,8.860040664672852
2015-08-27,9.627096176147461
2015-08-28,9.730792045593262
2015-08-31,9.604987144470215
2015-09-01,9.101747512817383
2015-09-02,9.457829475402832
2015-09-03,9.437240600585938
2015-09-04,9.237471580505371
2015-09-08,9.848219871520996
2015-09-09,9.696483612060547
2015-09-10,9.814669609069824
2015-09-11,9.994616508483887
2015-09-14,10.003003120422363
2015-09-15,10.246233940124512
2015-09-16,10.057311058044434
2015-09-17,9.99000072479248
2015-09-18,9.759008407592773
2015-09-21,9.733770370483398
2015-09-22,9.537961959838867
2015-09-23,9.602211952209473
2015-09-24,9.492069244384766
2015-09-25,9.693994522094727
2015-09-28,9.243487358093262
2015-09-29,9.153231620788574
2015-09-30,9.561675071716309
2015-10-01,9.342153549194336
2015-10-02,9.433173179626465
2015-10-05,9.271784782409668
2015-10-06,8.957422256469727
2015-10-07,9.074448585510254
2015-10-08,8.925300598144531
2015-10-09,8.942126274108887
2015-10-12,9.001019477844238
2015-10-13,8.675187110900879
2015-10-14,8.984192848205566
2015-10-15,9.321503639221191
2015-10-16,9.260313034057617
2015-10-19,9.09892463684082
2015-10-20,9.17005729675293
2015-10-21,9.216716766357422
2015-10-22,9.586913108825684
2015-10-23,9.911219596862793
2015-10-26,9.454591751098633
2015-10-27,9.292439460754395
2015-10-28,9.720765113830566
2015-10-29,9.185354232788086
2015-10-30,9.417876243591309
2015-11-02,9.469123840332031
2015-11-03,9.342153549194336
2015-11-04,9.492834091186523
2015-11-05,9.25954818725586
2015-11-06,9.918103218078613
2015-11-09,9.675642013549805
2015-11-10,9.167760848999023
2015-11-11,9.174649238586426
2015-11-12,9.166999816894531
2015-11-13,8.990314483642578
2015-11-16,9.290909767150879
2015-11-17,9.33603572845459
2015-11-18,9.631277084350586
2015-11-19,9.576969146728516
2015-11-20,9.667990684509277
2015-11-23,9.515780448913574
2015-11-24,9.81637191772461
2015-11-25,9.820198059082031
2015-11-27,9.946402549743652
2015-11-30,9.977764129638672
2015-12-01,10.164393424987793
2015-12-02,10.112381935119629
2015-12-03,11.073826789855957
2015-12-04,11.28646183013916
2015-12-07,11.383601188659668
2015-12-08,11.303287506103516
2015-12-09,11.140369415283203
2015-12-10,11.268868446350098
2015-12-11,11.046289443969727
2015-12-14,10.900199890136719
2015-12-15,10.958328247070312
2015-12-16,11.038887977600098
2015-12-17,10.778029441833496
2015-12-18,10.756547927856445
2015-12-21,11.186198234558105
2015-12-22,11.132490158081055
2015-12-23,11.240670204162598
2015-12-24,11.226091384887695
2015-12-28,11.228395462036133
2015-12-29,11.350383758544922
2015-12-30,11.306652069091797
2015-12-31,11.13632583618164
2016-01-04,10.916131019592285
2016-01-05,10.550933837890625
2016-01-06,10.22639274597168
2016-01-07,9.90108871459961
2016-01-08,9.835875511169434
2016-01-11,9.82359790802002
2016-01-12,9.9678373336792
2016-01-13,9.460699081420898
2016-01-14,9.604936599731445
2016-01-15,9.204446792602539
2016-01-19,9.212115287780762
2016-01-20,9.500595092773438
2016-01-21,9.554303169250488
2016-01-22,9.552766799926758
2016-01-25,9.551231384277344
2016-01-26,9.543557167053223
2016-01-27,9.387046813964844
2016-01-28,9.695470809936523
2016-01-29,10.258615493774414
2016-02-01,10.563203811645508
2016-02-02,10.222554206848145
2016-02-03,10.07831859588623
2016-02-04,10.443522453308105
2016-02-05,9.848146438598633
2016-02-08,9.349451065063477
2016-02-09,9.18449592590332
2016-02-10,9.145368576049805
2016-02-11,8.923638343811035
2016-02-12,9.334104537963867
2016-02-16,9.685498237609863
2016-02-17,10.026148796081543
2016-02-18,9.749176025390625
2016-02-19,9.871935844421387
2016-02-22,10.023077964782715
2016-02-23,9.832803726196289
2016-02-24,10.000061988830566
2016-02-25,10.163482666015625
2016-02-26,10.2125825881958
2016-02-29,10.278565406799316
2016-03-01,10.620748519897461
2016-03-02,10.508733749389648
2016-03-03,10.53635311126709
2016-03-04,11.206144332885742
2016-03-07,11.01050090789795
2016-03-08,10.712818145751953
2016-03-09,10.891579627990723
2016-03-10,11.08031940460205
2016-03-11,11.417901039123535
2016-03-14,11.365729331970215
2016-03-15,11.391047477722168
2016-03-16,11.441082000732422
2016-03-17,11.665854454040527
2016-03-18,11.738211631774902
2016-03-21,11.769003868103027
2016-03-22,11.912948608398438
2016-03-23,11.776700973510742
2016-03-24,11.777472496032715
2016-03-28,11.785167694091797
2016-03-29,11.864453315734863
2016-03-30,12.07999038696289
2016-03-31,11.892936706542969
2016-04-01,12.146960258483887
2016-04-04,12.009172439575195
2016-04-05,11.933732032775879
2016-04-06,12.126945495605469
2016-04-07,11.929116249084473
2016-04-08,12.01994800567627
2016-04-11,11.978377342224121
2016-04-12,11.96452522277832
2016-04-13,12.27628231048584
2016-04-14,12.225476264953613
2016-04-15,11.969143867492676
2016-04-18,12.000700950622559
2016-04-19,11.628904342651367
2016-04-20,11.79517650604248
2016-04-21,11.650456428527832
2016-04-22,11.571943283081055
2016-04-25,11.477264404296875
2016-04-26,11.605043411254883
2016-04-27,11.664314270019531
