Date,LODHA.NS
2021-04-19,231.90484619140625
2021-04-20,250.77127075195312
2021-04-22,261.0643005371094
2021-04-23,264.528564453125
2021-04-26,289.15203857421875
2021-04-27,301.2644958496094
2021-04-28,306.8720397949219
2021-04-29,299.8937072753906
2021-04-30,295.9309997558594
2021-05-03,298.72235107421875
2021-05-04,297.9248352050781
2021-05-05,302.0619812011719
2021-05-06,300.04327392578125
2021-05-07,314.8971252441406
2021-05-10,344.8042297363281
2021-05-11,344.7793273925781
2021-05-12,322.3240661621094
2021-05-14,322.9471130371094
2021-05-17,322.6979064941406
2021-05-18,315.4454040527344
2021-05-19,316.16815185546875
2021-05-20,313.30206298828125
2021-05-21,321.1776123046875
2021-05-24,321.1028747558594
2021-05-25,315.34576416015625
2021-05-26,311.5823974609375
2021-05-27,306.52313232421875
2021-05-28,316.59185791015625
2021-05-31,314.59808349609375
2021-06-01,312.1805725097656
2021-06-02,308.0434265136719
2021-06-03,310.3861389160156
2021-06-04,312.87841796875
2021-06-07,333.9878234863281
2021-06-08,344.3057861328125
2021-06-09,332.0688171386719
2021-06-10,346.0503845214844
2021-06-11,335.408447265625
2021-06-14,341.4895324707031
2021-06-15,353.3277587890625
2021-06-16,339.84466552734375
2021-06-17,334.28692626953125
2021-06-18,339.44586181640625
2021-06-21,350.9352111816406
2021-06-22,348.8167724609375
2021-06-23,339.96923828125
2021-06-24,342.93505859375
2021-06-25,337.0782470703125
2021-06-28,342.56121826171875
2021-06-29,336.7791748046875
2021-06-30,340.7668151855469
2021-07-01,339.72003173828125
2021-07-02,337.0533142089844
2021-07-05,334.43646240234375
2021-07-06,324.41754150390625
2021-07-07,331.0968322753906
2021-07-08,342.8602600097656
2021-07-09,385.1290283203125
2021-07-12,394.0014953613281
2021-07-13,387.9701843261719
2021-07-14,394.3254699707031
2021-07-15,413.44110107421875
2021-07-16,424.98028564453125
2021-07-19,414.6124572753906
2021-07-20,395.3722229003906
2021-07-22,426.79962158203125
2021-07-23,421.11724853515625
2021-07-26,420.41943359375
2021-07-27,437.1424865722656
2021-07-28,425.2544250488281
2021-07-29,426.5753173828125
2021-07-30,425.5783996582031
2021-08-02,458.0027160644531
2021-08-03,459.2987060546875
2021-08-04,440.1332092285156
2021-08-05,432.65643310546875
2021-08-06,435.69696044921875
2021-08-09,427.896240234375
2021-08-10,401.0296325683594
2021-08-11,416.5564270019531
2021-08-12,424.7559814453125
2021-08-13,434.45086669921875
2021-08-16,433.6782531738281
2021-08-17,424.10797119140625
