Date,GLAXO.NS
2015-08-21,1535.9462890625
2015-08-24,1459.383544921875
2015-08-25,1447.8896484375
2015-08-26,1445.856201171875
2015-08-27,1442.988037109375
2015-08-28,1452.6842041015625
2015-08-31,1454.310791015625
2015-09-01,1446.712158203125
2015-09-02,1441.0401611328125
2015-09-03,1450.8646240234375
2015-09-04,1442.0462646484375
2015-09-07,1431.96484375
2015-09-08,1422.5684814453125
2015-09-09,1421.1771240234375
2015-09-10,1434.4688720703125
2015-09-11,1427.12744140625
2015-09-14,1424.23779296875
2015-09-15,1423.5958251953125
2015-09-16,1421.9046630859375
2015-09-18,1433.7841796875
2015-09-21,1433.441650390625
2015-09-22,1433.077880859375
2015-09-23,1432.7139892578125
2015-09-24,1443.30908203125
2015-09-28,1420.1280517578125
2015-09-29,1423.7027587890625
2015-09-30,1438.172119140625
2015-10-01,1440.0556640625
2015-10-05,1436.1812744140625
2015-10-06,1444.165283203125
2015-10-07,1450.30810546875
2015-10-08,1440.8260498046875
2015-10-09,1420.94140625
2015-10-12,1420.5775146484375
2015-10-13,1415.9971923828125
2015-10-14,1412.7435302734375
2015-10-15,1414.6700439453125
2015-10-16,1422.7608642578125
2015-10-19,1419.4217529296875
2015-10-20,1412.72216796875
2015-10-21,1414.1778564453125
2015-10-23,1421.6693115234375
2015-10-26,1412.0374755859375
2015-10-27,1405.2523193359375
2015-10-28,1405.059814453125
2015-10-29,1402.7266845703125
2015-10-30,1417.0242919921875
2015-11-02,1386.9945068359375
2015-11-03,1389.4774169921875
2015-11-04,1383.4627685546875
2015-11-05,1373.8309326171875
2015-11-06,1375.2008056640625
2015-11-09,1383.2916259765625
2015-11-10,1344.271484375
2015-11-13,1350.2861328125
2015-11-16,1339.5411376953125
2015-11-17,1339.52001953125
2015-11-18,1337.6148681640625
2015-11-19,1349.2587890625
2015-11-20,1369.3359375
2015-11-23,1383.740966796875
2015-11-24,1393.4801025390625
2015-11-26,1406.1083984375
2015-11-27,1403.347412109375
2015-11-30,1411.07421875
2015-12-01,1409.89697265625
2015-12-02,1415.11962890625
2015-12-03,1399.772705078125
2015-12-04,1406.1727294921875
2015-12-07,1402.748046875
2015-12-08,1404.8026123046875
2015-12-09,1399.944091796875
2015-12-10,1391.468017578125
2015-12-11,1389.04931640625
2015-12-14,1414.4346923828125
2015-12-15,1418.715576171875
2015-12-16,1412.4224853515625
2015-12-17,1411.52392578125
2015-12-18,1402.1273193359375
2015-12-21,1403.3258056640625
2015-12-22,1399.8155517578125
2015-12-23,1411.4808349609375
2015-12-24,1410.7318115234375
2015-12-28,1403.7752685546875
2015-12-29,1411.4166259765625
2015-12-30,1423.0390625
2015-12-31,1418.694091796875
2016-01-01,1410.47509765625
2016-01-04,1394.7855224609375
2016-01-05,1403.176025390625
2016-01-06,1402.8548583984375
2016-01-07,1384.126220703125
2016-01-08,1410.7530517578125
2016-01-11,1382.9705810546875
2016-01-12,1399.8583984375
2016-01-13,1410.1539306640625
2016-01-14,1384.040771484375
2016-01-15,1373.060302734375
2016-01-18,1353.7110595703125
2016-01-19,1371.7545166015625
2016-01-20,1345.4061279296875
2016-01-21,1313.6849365234375
2016-01-22,1352.597900390625
2016-01-25,1363.064453125
2016-01-27,1382.9918212890625
2016-01-28,1382.5423583984375
2016-01-29,1385.453369140625
2016-02-01,1411.4808349609375
2016-02-02,1396.497802734375
2016-02-03,1373.338623046875
2016-02-04,1381.34375
2016-02-05,1415.3765869140625
2016-02-08,1411.2242431640625
2016-02-09,1388.578369140625
2016-02-10,1389.00634765625
2016-02-11,1370.81298828125
2016-02-12,1379.3958740234375
2016-02-15,1376.54931640625
2016-02-16,1361.223876953125
2016-02-17,1377.2127685546875
2016-02-18,1372.0970458984375
2016-02-19,1379.7384033203125
2016-02-22,1381.9857177734375
2016-02-23,1381.5577392578125
2016-02-24,1375.7786865234375
2016-02-25,1347.52490234375
2016-02-26,1346.7972412109375
2016-02-29,1351.6346435546875
2016-03-01,1368.15869140625
2016-03-02,1390.8472900390625
2016-03-03,1369.2288818359375
2016-03-04,1391.8533935546875
2016-03-08,1371.5836181640625
2016-03-09,1390.9969482421875
2016-03-10,1383.1202392578125
2016-03-11,1389.070556640625
