Date,APOLLOTYRE.NS
2015-08-21,170.19764709472656
2015-08-24,147.79751586914062
2015-08-25,150.58123779296875
2015-08-26,155.8441619873047
2015-08-27,157.6709747314453
2015-08-28,157.6709747314453
2015-08-31,156.58360290527344
2015-09-01,147.5800323486328
2015-09-02,151.19017028808594
2015-09-03,149.6243133544922
2015-09-04,148.0584716796875
2015-09-07,146.7536163330078
2015-09-08,154.10435485839844
2015-09-09,155.06126403808594
2015-09-10,160.49819946289062
2015-09-11,161.28111267089844
2015-09-14,163.5863800048828
2015-09-15,161.71604919433594
2015-09-16,160.5851593017578
2015-09-18,162.28147888183594
2015-09-21,168.24037170410156
2015-09-22,159.62828063964844
2015-09-23,161.41156005859375
2015-09-24,162.4119873046875
2015-09-28,159.06283569335938
2015-09-29,158.4973907470703
2015-09-30,156.54010009765625
2015-10-01,158.45388793945312
2015-10-05,166.10911560058594
2015-10-06,170.11070251464844
2015-10-07,169.24078369140625
2015-10-08,168.10989379882812
2015-10-09,163.49935913085938
2015-10-12,163.54287719726562
2015-10-13,165.7611541748047
2015-10-14,162.7599334716797
2015-10-15,166.41355895996094
2015-10-16,166.6310272216797
2015-10-19,168.5883331298828
2015-10-20,169.5887451171875
2015-10-21,167.8489227294922
2015-10-23,169.41473388671875
2015-10-26,165.5001678466797
2015-10-27,165.3696746826172
2015-10-28,166.02212524414062
2015-10-29,158.5408935546875
2015-10-30,148.79794311523438
2015-11-02,147.7540283203125
2015-11-03,143.3175048828125
2015-11-04,141.09921264648438
2015-11-05,138.35899353027344
2015-11-06,138.228515625
2015-11-09,139.66384887695312
2015-11-10,136.09725952148438
2015-11-13,134.92286682128906
2015-11-16,137.18463134765625
2015-11-17,140.92526245117188
2015-11-18,137.09765625
2015-11-19,139.48989868164062
2015-11-20,140.0988311767578
2015-11-23,140.4033203125
2015-11-24,140.92526245117188
2015-11-26,139.9248504638672
2015-11-27,141.83865356445312
2015-11-30,141.5341796875
2015-12-01,141.7516632080078
2015-12-02,142.7085418701172
2015-12-03,137.83705139160156
2015-12-04,135.0098419189453
2015-12-07,136.40171813964844
2015-12-08,135.74928283691406
2015-12-09,131.44322204589844
2015-12-10,131.26925659179688
2015-12-11,128.79000854492188
2015-12-14,131.3562469482422
2015-12-15,129.87738037109375
2015-12-16,130.66029357910156
2015-12-17,133.6614990234375
2015-12-18,131.26925659179688
2015-12-21,131.96517944335938
