Date,GSK.L
2015-08-24,1284.123291015625
2015-08-25,1298.1463623046875
2015-08-26,1276.6112060546875
2015-08-27,1333.20458984375
2015-08-28,1342.7198486328125
2015-09-01,1297.144775390625
2015-09-02,1321.6859130859375
2015-09-03,1340.7166748046875
2015-09-04,1305.658935546875
2015-09-07,1316.1763916015625
2015-09-08,1331.2012939453125
2015-09-09,1314.6737060546875
2015-09-10,1298.1463623046875
2015-09-11,1297.144775390625
2015-09-14,1287.1279296875
2015-09-15,1292.13623046875
2015-09-16,1300.1497802734375
2015-09-17,1291.635986328125
2015-09-18,1287.1279296875
2015-09-21,1291.635986328125
2015-09-22,1249.06494140625
2015-09-23,1276.1102294921875
2015-09-24,1257.579345703125
2015-09-25,1291.1348876953125
2015-09-28,1252.5711669921875
2015-09-29,1239.5498046875
2015-09-30,1268.0968017578125
2015-10-01,1270.0999755859375
2015-10-02,1283.6224365234375
2015-10-05,1314.6737060546875
2015-10-06,1308.6636962890625
2015-10-07,1286.6275634765625
2015-10-08,1293.63916015625
2015-10-09,1312.16943359375
2015-10-12,1308.1636962890625
2015-10-13,1328.1962890625
2015-10-14,1315.6751708984375
2015-10-15,1333.7052001953125
2015-10-16,1348.229248046875
2015-10-19,1347.2274169921875
2015-10-20,1338.7138671875
2015-10-21,1324.1900634765625
2015-10-22,1339.2144775390625
2015-10-23,1371.267822265625
2015-10-26,1371.267822265625
2015-10-27,1369.76513671875
2015-10-28,1422.8531494140625
2015-10-29,1406.3250732421875
2015-10-30,1407.3270263671875
2015-11-02,1399.31396484375
2015-11-03,1378.780029296875
2015-11-04,1390.7998046875
2015-11-05,1388.2957763671875
2015-11-06,1386.79345703125
2015-11-09,1369.76513671875
2015-11-10,1367.76123046875
2015-11-11,1375.7747802734375
2015-11-12,1333.934326171875
2015-11-13,1314.899658203125
2015-11-16,1316.402099609375
2015-11-17,1347.960205078125
2015-11-18,1351.466064453125
2015-11-19,1349.4627685546875
2015-11-20,1363.4879150390625
2015-11-23,1346.9583740234375
2015-11-24,1345.4549560546875
2015-11-25,1354.9725341796875
2015-11-26,1374.0076904296875
2015-11-27,1367.99609375
2015-11-30,1357.9783935546875
2015-12-01,1353.469970703125
2015-12-02,1380.519287109375
2015-12-03,1339.4443359375
2015-12-04,1321.411376953125
2015-12-07,1325.919921875
2015-12-08,1316.402099609375
2015-12-09,1318.4058837890625
2015-12-10,1316.402099609375
2015-12-11,1299.8721923828125
2015-12-14,1282.3402099609375
2015-12-15,1310.8922119140625
2015-12-16,1323.4150390625
2015-12-17,1343.952392578125
2015-12-18,1336.4384765625
2015-12-21,1333.934326171875
2015-12-22,1344.45361328125
2015-12-23,1372.5047607421875
2015-12-24,1378.5157470703125
2015-12-29,1394.0438232421875
2015-12-30,1386.5299072265625
2015-12-31,1375.51025390625
2016-01-04,1366.994873046875
2016-01-05,1388.5343017578125
2016-01-06,1383.02392578125
2016-01-07,1346.9583740234375
2016-01-08,1374.0076904296875
2016-01-11,1349.96337890625
2016-01-12,1365.9927978515625
2016-01-13,1387.0316162109375
2016-01-14,1383.02392578125
2016-01-15,1365.9927978515625
2016-01-18,1367.99609375
2016-01-19,1392.5411376953125
2016-01-20,1359.981689453125
2016-01-21,1371.001708984375
2016-01-22,1394.0438232421875
2016-01-25,1402.559814453125
2016-01-26,1418.087646484375
2016-01-27,1438.6251220703125
2016-01-28,1417.0865478515625
2016-01-29,1441.6307373046875
2016-02-01,1437.1224365234375
2016-02-02,1428.6072998046875
2016-02-03,1433.6162109375
2016-02-04,1415.0821533203125
2016-02-05,1403.5616455078125
2016-02-08,1364.9912109375
2016-02-09,1362.9874267578125
2016-02-10,1361.4844970703125
2016-02-11,1347.960205078125
2016-02-12,1365.9927978515625
2016-02-15,1413.5799560546875
2016-02-16,1420.091552734375
2016-02-17,1426.6033935546875
2016-02-18,1382.7998046875
2016-02-19,1386.3074951171875
2016-02-22,1394.3231201171875
2016-02-23,1380.7960205078125
2016-02-24,1363.2607421875
2016-02-25,1409.85498046875
2016-02-26,1413.36181640625
2016-02-29,1402.3397216796875
2016-03-01,1417.871337890625
2016-03-02,1398.832275390625
2016-03-03,1372.7799072265625
2016-03-04,1372.7799072265625
2016-03-07,1377.7900390625
2016-03-08,1402.8409423828125
2016-03-09,1405.8468017578125
2016-03-10,1388.8125
2016-03-11,1400.8365478515625
2016-03-14,1412.8609619140625
2016-03-15,1418.8731689453125
2016-03-16,1414.86572265625
2016-03-17,1402.3397216796875
2016-03-18,1387.810302734375
2016-03-21,1387.3096923828125
2016-03-22,1399.8345947265625
2016-03-23,1399.333984375
2016-03-24,1392.3197021484375
2016-03-29,1394.8248291015625
2016-03-30,1414.86572265625
2016-03-31,1414.86572265625
2016-04-01,1417.37060546875
2016-04-04,1430.396484375
2016-04-05,1421.87939453125
2016-04-06,1464.4652099609375
2016-04-07,1477.49169921875
2016-04-08,1474.4859619140625
2016-04-11,1468.473876953125
2016-04-12,1482.0010986328125
2016-04-13,1492.0213623046875
2016-04-14,1505.0478515625
2016-04-15,1509.0555419921875
2016-04-18,1513.064208984375
2016-04-19,1504.0457763671875
2016-04-20,1498.5345458984375
2016-04-21,1506.55078125
2016-04-22,1488.01318359375
2016-04-25,1477.49169921875
2016-04-26,1461.4593505859375
2016-04-27,1491.5201416015625
2016-04-28,1492.0213623046875
2016-04-29,1461.960693359375
2016-05-03,1474.4859619140625
2016-05-04,1453.9442138671875
2016-05-05,1452.44140625
2016-05-06,1442.9219970703125
2016-05-09,1467.97265625
2016-05-10,1477.9932861328125
2016-05-11,1477.9932861328125
2016-05-12,1444.15478515625
2016-05-13,1456.1810302734375
2016-05-16,1453.174560546875
2016-05-17,1447.1614990234375
2016-05-18,1440.6473388671875
2016-05-19,1410.5814208984375
2016-05-20,1439.1436767578125
2016-05-23,1441.1483154296875
2016-05-24,1447.6624755859375
2016-05-25,1457.1832275390625
2016-05-26,1460.1900634765625
2016-05-27,1455.6800537109375
2016-05-31,1448.1636962890625
2016-06-01,1450.669189453125
2016-06-02,1447.6624755859375
2016-06-03,1462.1943359375
2016-06-06,1473.71923828125
2016-06-07,1465.200927734375
2016-06-08,1453.174560546875
2016-06-09,1443.653564453125
2016-06-10,1416.5943603515625
2016-06-13,1419.099609375
2016-06-14,1396.55078125
2016-06-15,1401.561767578125
2016-06-16,1402.062744140625
2016-06-17,1390.537841796875
2016-06-20,1420.1025390625
2016-06-21,1419.6014404296875
2016-06-22,1422.6080322265625
2016-06-23,1432.1287841796875
2016-06-24,1485.2447509765625
2016-06-27,1491.2579345703125
2016-06-28,1517.31494140625
2016-06-29,1562.914306640625
2016-06-30,1608.0128173828125
2016-07-01,1603.502685546875
2016-07-04,1604.5052490234375
2016-07-05,1648.601318359375
2016-07-06,1655.61669921875
2016-07-07,1661.630126953125
2016-07-08,1656.1177978515625
2016-07-11,1666.139892578125
2016-07-12,1642.588623046875
2016-07-13,1649.603515625
2016-07-14,1632.0655517578125
2016-07-15,1653.6119384765625
2016-07-18,1655.61669921875
2016-07-19,1658.122314453125
2016-07-20,1670.6492919921875
2016-07-21,1641.5858154296875
2016-07-22,1663.133056640625
2016-07-25,1660.62744140625
2016-07-26,1670.6492919921875
2016-07-27,1700.2142333984375
2016-07-28,1703.2208251953125
2016-07-29,1691.6956787109375
2016-08-01,1704.22265625
2016-08-02,1693.699462890625
2016-08-03,1676.16162109375
2016-08-04,1702.719482421875
2016-08-05,1698.2098388671875
2016-08-08,1681.67333984375
2016-08-09,1688.6888427734375
2016-08-10,1701.2164306640625
2016-08-11,1695.939697265625
2016-08-12,1694.9373779296875
2016-08-15,1715.9864501953125
2016-08-16,1693.4342041015625
2016-08-17,1684.4132080078125
2016-08-18,1678.399169921875
2016-08-19,1672.3851318359375
2016-08-22,1667.8748779296875
2016-08-23,1665.869873046875
2016-08-24,1662.36181640625
2016-08-25,1656.849365234375
2016-08-26,1653.341064453125
2016-08-30,1648.329345703125
2016-08-31,1642.8167724609375
2016-09-01,1603.224853515625
2016-09-02,1658.853515625
2016-09-05,1648.329345703125
2016-09-06,1635.2987060546875
2016-09-07,1636.301513671875
2016-09-08,1628.28271484375
2016-09-09,1603.224853515625
2016-09-12,1595.70703125
2016-09-13,1600.7186279296875
2016-09-14,1617.25732421875
2016-09-15,1627.78173828125
2016-09-16,1619.7628173828125
2016-09-19,1649.3314208984375
2016-09-20,1648.83056640625
2016-09-21,1633.2943115234375
2016-09-22,1652.8397216796875
2016-09-23,1656.849365234375
2016-09-26,1637.3035888671875
2016-09-27,1641.313232421875
2016-09-28,1658.853515625
2016-09-29,1651.33642578125
2016-09-30,1646.8258056640625
2016-10-03,1668.8775634765625
2016-10-04,1699.9495849609375
2016-10-05,1692.933349609375
2016-10-06,1684.4132080078125
2016-10-07,1712.979248046875
2016-10-10,1726.510986328125
2016-10-11,1723.0025634765625
2016-10-12,1703.9586181640625
2016-10-13,1703.9586181640625
2016-10-14,1694.9373779296875
2016-10-17,1668.8775634765625
2016-10-18,1670.8817138671875
2016-10-19,1668.8775634765625
2016-10-20,1669.378173828125
2016-10-21,1662.36181640625
2016-10-24,1644.8212890625
2016-10-25,1633.2943115234375
2016-10-26,1630.2872314453125
2016-10-27,1634.296630859375
2016-10-28,1631.2899169921875
2016-10-31,1622.2691650390625
2016-11-01,1607.73486328125
2016-11-02,1610.24072265625
2016-11-03,1557.8470458984375
2016-11-04,1532.2835693359375
2016-11-07,1552.8345947265625
2016-11-08,1560.854736328125
2016-11-09,1603.4595947265625
2016-11-10,1577.3951416015625
2016-11-11,1538.2989501953125
2016-11-14,1541.306396484375
2016-11-15,1538.2989501953125
2016-11-16,1529.77783203125
2016-11-17,1527.2718505859375
2016-11-18,1526.26904296875
2016-11-21,1519.251708984375
2016-11-22,1507.2216796875
2016-11-23,1508.7259521484375
2016-11-24,1526.7703857421875
2016-11-25,1544.3138427734375
2016-11-28,1531.281494140625
2016-11-29,1511.733154296875
2016-11-30,1499.20263671875
2016-12-01,1472.1353759765625
2016-12-02,1470.6319580078125
2016-12-05,1462.6121826171875
2016-12-06,1463.6142578125
2016-12-07,1466.12060546875
2016-12-08,1463.6142578125
2016-12-09,1481.6595458984375
2016-12-12,1474.641845703125
2016-12-13,1504.214599609375
2016-12-14,1493.6888427734375
2016-12-15,1519.251708984375
2016-12-16,1529.77783203125
2016-12-19,1536.795166015625
2016-12-20,1540.8052978515625
2016-12-21,1531.782958984375
2016-12-22,1548.32373046875
2016-12-23,1552.8345947265625
2016-12-28,1555.3408203125
2016-12-29,1566.3682861328125
2016-12-30,1565.8670654296875
2017-01-03,1565.8670654296875
2017-01-04,1575.390380859375
2017-01-05,1587.4200439453125
2017-01-06,1587.4200439453125
2017-01-09,1599.950927734375
2017-01-10,1597.9461669921875
2017-01-11,1585.41552734375
2017-01-12,1569.8768310546875
2017-01-13,1589.4254150390625
2017-01-16,1584.412841796875
2017-01-17,1555.3408203125
2017-01-18,1564.36279296875
2017-01-19,1556.8443603515625
