Date,APARINDS.NS
2015-08-21,396.6122741699219
2015-08-24,339.06561279296875
2015-08-25,341.2099609375
2015-08-26,352.58795166015625
2015-08-27,369.12994384765625
2015-08-28,365.27886962890625
2015-08-31,366.7230224609375
2015-09-01,346.24261474609375
2015-09-02,351.9753112792969
2015-09-03,376.00048828125
2015-09-04,364.9288330078125
2015-09-07,346.28631591796875
2015-09-08,362.6969299316406
2015-09-09,367.51068115234375
2015-09-10,367.2918701171875
2015-09-11,385.2342224121094
2015-09-14,387.1597900390625
2015-09-15,376.525634765625
2015-09-16,367.1606140136719
2015-09-18,370.0488586425781
2015-09-21,366.8105163574219
2015-09-22,367.51068115234375
2015-09-23,365.27886962890625
2015-09-24,365.2350769042969
2015-09-28,364.97259521484375
2015-09-29,359.23974609375
2015-09-30,361.9091796875
2015-10-01,361.73419189453125
2015-10-05,370.5740661621094
2015-10-06,372.58709716796875
2015-10-07,370.66156005859375
2015-10-08,358.8896789550781
2015-10-09,365.8478088378906
2015-10-12,366.985595703125
2015-10-13,368.6047668457031
2015-10-14,376.00048828125
2015-10-15,383.7900695800781
2015-10-16,373.4623107910156
2015-10-19,381.0768127441406
2015-10-20,381.25189208984375
2015-10-21,391.2295837402344
2015-10-23,386.5908203125
2015-10-26,379.1075744628906
2015-10-27,378.276123046875
2015-10-28,377.0070495605469
2015-10-29,375.6941833496094
2015-10-30,374.07501220703125
2015-11-02,382.7835388183594
2015-11-03,385.4530334472656
2015-11-04,387.0284118652344
2015-11-05,384.7966003417969
2015-11-06,374.7314147949219
2015-11-09,377.3570861816406
2015-11-10,375.475341796875
2015-11-13,374.9501953125
2015-11-16,404.09552001953125
2015-11-17,404.1392822265625
2015-11-18,401.2509765625
2015-11-19,411.00982666015625
2015-11-20,406.9400329589844
2015-11-23,400.85711669921875
2015-11-24,393.68017578125
2015-11-26,402.9577331542969
2015-11-27,407.90277099609375
2015-11-30,406.1085510253906
2015-12-01,407.6839599609375
2015-12-02,402.476318359375
2015-12-03,404.48931884765625
2015-12-04,402.7388916015625
2015-12-07,449.3450927734375
2015-12-08,429.3897705078125
2015-12-09,410.1783752441406
2015-12-10,417.44281005859375
2015-12-11,414.3357238769531
2015-12-14,418.9744873046875
2015-12-15,444.6626281738281
2015-12-16,423.088134765625
2015-12-17,434.2472839355469
2015-12-18,438.9298095703125
2015-12-21,460.59185791015625
2015-12-22,448.9075012207031
