Date,LMT
2015-08-03,159.1084442138672
2015-08-04,160.44078063964844
2015-08-05,160.36419677734375
2015-08-06,160.2340087890625
2015-08-07,160.10385131835938
2015-08-10,161.39793395996094
2015-08-11,159.92776489257812
2015-08-12,159.86647033691406
2015-08-13,160.63987731933594
2015-08-14,162.3014678955078
2015-08-17,163.1131591796875
2015-08-18,162.8451385498047
2015-08-19,161.78077697753906
2015-08-20,160.13450622558594
2015-08-21,156.72706604003906
2015-08-24,151.19859313964844
2015-08-25,152.36245727539062
2015-08-26,154.7667999267578
2015-08-27,157.30133056640625
2015-08-28,157.2781982421875
2015-08-31,155.1801300048828
2015-09-01,152.43411254882812
2015-09-02,157.38616943359375
2015-09-03,158.28091430664062
2015-09-04,156.29087829589844
2015-09-08,159.67703247070312
2015-09-09,157.86444091796875
2015-09-10,159.0137481689453
2015-09-11,159.52281188964844
2015-09-14,158.8979949951172
2015-09-15,160.3173370361328
2015-09-16,160.10133361816406
2015-09-17,160.13223266601562
2015-09-18,156.82310485839844
2015-09-21,157.62533569335938
2015-09-22,157.09310913085938
2015-09-23,156.40655517578125
2015-09-24,157.94158935546875
2015-09-25,157.2704620361328
2015-09-28,154.43963623046875
2015-09-29,156.1751708984375
2015-09-30,159.9084930419922
2015-10-01,157.93380737304688
2015-10-02,159.36854553222656
2015-10-05,163.31790161132812
2015-10-06,162.29196166992188
2015-10-07,164.2589111328125
2015-10-08,165.3542022705078
2015-10-09,164.49801635742188
2015-10-12,165.3233642578125
2015-10-13,163.5106964111328
2015-10-14,160.556396484375
2015-10-15,161.35092163085938
2015-10-16,161.81373596191406
2015-10-19,162.4770965576172
2015-10-20,161.00381469726562
2015-10-21,163.18673706054688
2015-10-22,167.00486755371094
2015-10-23,169.17239379882812
2015-10-26,170.42196655273438
2015-10-27,172.04183959960938
2015-10-28,170.4991455078125
2015-10-29,168.34701538085938
2015-10-30,169.5657958984375
2015-11-02,170.15203857421875
2015-11-03,168.8484344482422
2015-11-04,168.7945098876953
2015-11-05,168.61703491210938
2015-11-06,167.0974884033203
2015-11-09,165.6087646484375
2015-11-10,165.122802734375
2015-11-11,165.9250030517578
2015-11-12,164.74481201171875
2015-11-13,164.42088317871094
2015-11-16,170.21371459960938
2015-11-17,171.5404815673828
2015-11-18,172.1806640625
2015-11-19,172.78228759765625
2015-11-20,174.37132263183594
2015-11-23,174.34812927246094
2015-11-24,174.6566925048828
2015-11-25,174.17079162597656
2015-11-27,175.5382843017578
2015-11-30,170.29339599609375
2015-12-01,171.10150146484375
2015-12-02,170.12245178222656
2015-12-03,167.41835021972656
2015-12-04,169.69508361816406
2015-12-07,170.2700653076172
2015-12-08,170.02145385742188
2015-12-09,169.03465270996094
2015-12-10,170.07586669921875
2015-12-11,168.77041625976562
2015-12-14,168.2886505126953
2015-12-15,166.93663024902344
2015-12-16,169.00355529785156
2015-12-17,167.2318878173828
2015-12-18,164.8697509765625
2015-12-21,167.42611694335938
2015-12-22,169.065673828125
2015-12-23,169.337646484375
2015-12-24,169.8271484375
2015-12-28,169.7106475830078
2015-12-29,171.31126403808594
2015-12-30,170.7906494140625
2015-12-31,168.73153686523438
2016-01-04,165.6700439453125
2016-01-05,169.593994140625
2016-01-06,169.10458374023438
2016-01-07,165.7322998046875
2016-01-08,165.43698120117188
2016-01-11,167.33294677734375
2016-01-12,169.3609619140625
2016-01-13,166.59475708007812
2016-01-14,168.16432189941406
2016-01-15,167.83018493652344
2016-01-19,167.28627014160156
2016-01-20,163.48658752441406
2016-01-21,163.78964233398438
2016-01-22,164.76092529296875
2016-01-25,163.96060180664062
2016-01-26,163.1213836669922
2016-01-27,161.51295471191406
2016-01-28,160.58053588867188
2016-01-29,163.95286560058594
2016-02-01,163.02035522460938
2016-02-02,163.52548217773438
2016-02-03,165.44471740722656
2016-02-04,163.33901977539062
2016-02-05,164.68325805664062
