Date,B3SA3.SA
2015-08-24,2.5117368698120117
2015-08-25,2.439972162246704
2015-08-26,2.597853660583496
2015-08-27,2.6672251224517822
2015-08-28,2.621774673461914
2015-08-31,2.578716516494751
2015-09-01,2.4758551120758057
2015-09-02,2.4925992488861084
2015-09-03,2.5213050842285156
2015-09-04,2.439972162246704
2015-09-08,2.4495410919189453
2015-09-09,2.5428340435028076
2015-09-10,2.583500385284424
2015-09-11,2.5500104427337646
2015-09-14,2.640911817550659
2015-09-15,2.7270290851593018
2015-09-16,2.841851234436035
2015-09-17,2.7198522090911865
2015-09-18,2.669617176055908
2015-09-21,2.621774673461914
2015-09-22,2.652872323989868
2015-09-23,2.616990089416504
2015-09-24,2.657656192779541
2015-09-25,2.628950595855713
2015-09-28,2.578716516494751
2015-09-29,2.571540117263794
2015-09-30,2.6504805088043213
2015-10-01,2.7222445011138916
2015-10-02,2.81792950630188
2015-10-05,2.7629106044769287
2015-10-06,2.7605178356170654
2015-10-07,2.7676947116851807
2015-10-08,2.791616439819336
2015-10-09,2.8514187335968018
2015-10-13,2.815537452697754
2015-10-14,2.7031068801879883
2015-10-15,2.7557337284088135
2015-10-16,2.7365968227386475
2015-10-19,2.7413814067840576
2015-10-20,2.7222445011138916
2015-10-21,2.7198522090911865
2015-10-22,2.837066888809204
2015-10-23,2.882516860961914
2015-10-26,2.8873016834259033
2015-10-27,2.858595371246338
2015-10-28,2.865771532058716
2015-10-29,2.7557337284088135
2015-10-30,2.7270290851593018
2015-11-03,2.9662418365478516
2015-11-04,2.9447121620178223
2015-11-05,2.925574779510498
2015-11-06,2.870556354522705
2015-11-09,2.88969349861145
2015-11-10,2.925574779510498
2015-11-11,2.9901626110076904
2015-11-12,2.923182964324951
2015-11-13,2.870556354522705
2015-11-16,2.8729488849639893
2015-11-17,2.8920857906341553
2015-11-18,2.9662418365478516
2015-11-19,2.9207921028137207
2015-11-23,2.9782023429870605
2015-11-24,2.9458203315734863
2015-11-25,2.9458203315734863
2015-11-26,2.921555757522583
2015-11-27,2.8536131381988525
2015-11-30,2.7589778900146484
2015-12-01,2.8147873878479004
2015-12-02,2.795375347137451
2015-12-03,2.863318681716919
2015-12-04,2.8050811290740967
2015-12-07,2.8026556968688965
2015-12-08,2.754124402999878
2015-12-09,2.906996250152588
2015-12-10,2.9045701026916504
2015-12-11,2.9118499755859375
2015-12-14,2.905036449432373
2015-12-15,2.8728127479553223
2015-12-16,2.8752918243408203
2015-12-17,2.9025580883026123
2015-12-18,2.783581018447876
2015-12-21,2.7414417266845703
2015-12-22,2.7513575553894043
2015-12-23,2.738964080810547
2015-12-28,2.70426082611084
2015-12-29,2.709219455718994
2015-12-30,2.6993045806884766
2016-01-04,2.5902421474456787
2016-01-05,2.68938946723938
2016-01-06,2.68691086769104
2016-01-07,2.5753698348999023
2016-01-08,2.6075918674468994
2016-01-11,2.6026346683502197
2016-01-12,2.5852839946746826
2016-01-13,2.580327033996582
2016-01-14,2.6348581314086914
2016-01-15,2.580327033996582
2016-01-18,2.577847957611084
2016-01-19,2.6100711822509766
2016-01-20,2.5406675338745117
2016-01-21,2.498530149459839
2016-01-22,2.488614559173584
2016-01-26,2.4663069248199463
2016-01-27,2.5431466102600098
2016-01-28,2.570411443710327
2016-01-29,2.5431466102600098
2016-02-01,2.5951993465423584
2016-02-02,2.5282740592956543
2016-02-03,2.5728909969329834
2016-02-04,2.600156545639038
2016-02-05,2.5555386543273926
2016-02-10,2.5604968070983887
2016-02-11,2.5282740592956543
2016-02-12,2.5158798694610596
2016-02-15,2.5728909969329834
2016-02-16,2.5902421474456787
2016-02-17,2.6075918674468994
2016-02-18,2.6175079345703125
2016-02-19,2.615027904510498
2016-02-22,2.783581018447876
2016-02-23,2.7637503147125244
2016-02-24,2.771186113357544
2016-02-25,2.7513575553894043
2016-02-26,2.7761435508728027
2016-02-29,2.880249261856079
2016-03-01,3.021535873413086
2016-03-02,3.1107678413391113
2016-03-03,3.331373453140259
2016-03-04,3.66847562789917
2016-03-07,3.472658157348633
2016-03-08,3.487529993057251
2016-03-09,3.663517713546753
2016-03-10,3.8320703506469727
2016-03-11,3.9163448810577393
2016-03-14,3.7899324893951416
2016-03-15,3.6015515327453613
2016-03-16,3.6883058547973633
2016-03-17,3.9287397861480713
2016-03-18,3.841984748840332
2016-03-21,3.8667731285095215
2016-03-22,3.837029218673706
2016-03-23,3.7899324893951416
2016-03-24,3.7998483180999756
2016-03-28,3.903954029083252
2016-03-29,3.8568568229675293
