Date,HABITAT.SN
2015-08-24,236.912353515625
2015-08-25,241.10018920898438
2015-08-26,243.0086669921875
2015-08-27,245.75465393066406
2015-08-28,246.73284912109375
2015-08-31,247.1456298828125
2015-09-01,247.1456298828125
2015-09-02,249.77505493164062
2015-09-03,251.2706298828125
2015-09-04,249.45497131347656
2015-09-07,247.68411254882812
2015-09-08,249.8228759765625
2015-09-09,250.35826110839844
2015-09-10,251.24969482421875
2015-09-11,249.77505493164062
2015-09-14,250.3223876953125
2015-09-15,249.77505493164062
2015-09-16,250.6963653564453
2015-09-17,250.08905029296875
2015-09-21,250.1040496826172
2015-09-22,245.28802490234375
2015-09-23,242.24893188476562
2015-09-24,242.6466522216797
2015-09-25,244.6299285888672
2015-09-28,243.7923583984375
2015-09-29,244.98890686035156
2015-09-30,243.23297119140625
2015-10-01,245.28802490234375
2015-10-02,244.98890686035156
2015-10-05,245.291748046875
2015-10-06,249.52224731445312
2015-10-07,245.5824432373047
2015-10-08,248.3199920654297
2015-10-09,248.18067932128906
2015-10-13,246.7483673095703
2015-10-14,248.9256591796875
2015-10-15,248.55621337890625
2015-10-16,242.8812255859375
2015-10-19,246.80589294433594
2015-10-20,245.87619018554688
2015-10-21,248.31698608398438
2015-10-22,246.89671325683594
2015-10-23,248.3199920654297
2015-10-26,248.30787658691406
2015-10-27,246.83917236328125
2015-10-28,248.33213806152344
2015-10-29,248.3199920654297
2015-10-30,248.3382110595703
2015-11-02,251.34829711914062
2015-11-03,251.6511688232422
2015-11-04,254.2706298828125
2015-11-05,248.94081115722656
2015-11-06,246.80287170410156
2015-11-09,246.80589294433594
2015-11-10,247.71434020996094
2015-11-11,248.32302856445312
2015-11-12,251.34829711914062
2015-11-13,249.92808532714844
2015-11-16,249.83717346191406
2015-11-17,254.98233032226562
2015-11-18,251.3785858154297
2015-11-19,255.58798217773438
2015-11-20,252.2295684814453
2015-11-23,255.28814697265625
2015-11-24,256.8689270019531
2015-11-25,255.92105102539062
2015-11-26,252.01449584960938
2015-11-27,255.88766479492188
2015-11-30,254.9126434326172
2015-12-01,257.32611083984375
2015-12-02,254.44927978515625
2015-12-03,254.40638732910156
2015-12-04,257.5386047363281
2015-12-07,254.375732421875
2015-12-09,254.44313049316406
2015-12-10,254.0692138671875
2015-12-11,251.31094360351562
2015-12-14,252.84329223632812
2015-12-15,251.80433654785156
2015-12-16,249.81842041015625
2015-12-17,249.6590576171875
2015-12-18,242.88287353515625
2015-12-21,242.73574829101562
2015-12-22,243.64901733398438
2015-12-23,244.2620086669922
2015-12-24,245.181396484375
2015-12-28,245.181396484375
2015-12-29,248.74575805664062
2015-12-30,249.47210693359375
2015-12-31,249.47210693359375
2016-01-04,249.16563415527344
2016-01-05,249.77862548828125
2016-01-06,250.11573791503906
2016-01-07,250.0850067138672
2016-01-08,250.94317626953125
2016-01-11,258.7921142578125
2016-01-12,257.13397216796875
2016-01-13,257.5048522949219
2016-01-14,257.7469787597656
2016-01-15,258.9728698730469
2016-01-18,257.4527893066406
2016-01-19,257.47418212890625
2016-01-20,257.66729736328125
2016-01-21,257.4895935058594
2016-01-22,258.4089660644531
2016-01-25,257.59375
2016-01-26,258.04425048828125
2016-01-27,257.7469787597656
2016-01-28,258.9728698730469
2016-01-29,258.3599548339844
2016-02-01,264.5936584472656
2016-02-02,259.7391052246094
2016-02-03,260.5052795410156
2016-02-04,260.5052795410156
2016-02-05,261.8016662597656
2016-02-08,261.8843994140625
2016-02-09,260.2417297363281
2016-02-10,259.8494567871094
2016-02-11,260.4623718261719
2016-02-12,260.5022277832031
2016-02-15,259.4019470214844
2016-02-16,260.30609130859375
2016-02-17,260.29986572265625
2016-02-18,262.03765869140625
2016-02-19,262.03765869140625
2016-02-22,262.0346374511719
2016-02-23,261.2315979003906
2016-02-24,261.4247131347656
2016-02-25,261.1151123046875
2016-02-26,263.5700378417969
2016-02-29,272.2923583984375
2016-03-01,266.6348571777344
2016-03-02,268.4277038574219
2016-03-03,266.7145080566406
2016-03-04,267.8423767089844
2016-03-07,266.9750061035156
2016-03-08,266.9413146972656
2016-03-09,270.5025939941406
2016-03-10,263.8764953613281
2016-03-11,265.1024169921875
2016-03-14,266.6348571777344
2016-03-15,266.6348571777344
2016-03-16,267.35504150390625
2016-03-17,265.74603271484375
2016-03-18,265.30169677734375
2016-03-21,265.9727783203125
2016-03-22,265.2250671386719
2016-03-23,265.1024169921875
2016-03-24,265.2127380371094
2016-03-28,266.02191162109375
2016-03-29,265.1024169921875
2016-03-30,265.1024169921875
2016-03-31,265.1024169921875
2016-04-01,266.02191162109375
2016-04-04,268.72796630859375
2016-04-05,269.69964599609375
2016-04-06,272.4579162597656
2016-04-07,271.6487121582031
2016-04-08,271.23193359375
2016-04-11,265.5927429199219
2016-04-12,265.5621032714844
2016-04-13,265.5621032714844
2016-04-14,265.1024169921875
2016-04-15,265.74603271484375
2016-04-18,266.02191162109375
2016-04-19,266.02191162109375
2016-04-20,266.02191162109375
2016-04-21,265.1024169921875
2016-04-22,266.02191162109375
2016-04-25,262.7916259765625
2016-04-26,266.7697448730469
2016-04-27,266.66546630859375
2016-04-28,265.298583984375
2016-04-29,265.46405029296875
2016-05-02,269.1785583496094
2016-05-03,269.6965026855469
2016-05-04,266.9413146972656
2016-05-05,266.9413146972656
2016-05-06,280.0643615722656
2016-05-09,265.6610107421875
2016-05-10,265.6610107421875
2016-05-11,265.6610107421875
2016-05-12,265.6321716308594
2016-05-13,272.0625
2016-05-16,271.7423095703125
2016-05-17,272.0625
