Date,KKR
2015-08-03,19.528717041015625
2015-08-04,19.488014221191406
2015-08-05,19.374042510986328
2015-08-06,18.926328659057617
2015-08-07,18.722814559936523
2015-08-10,18.942615509033203
2015-08-11,18.54372787475586
2015-08-12,18.429767608642578
2015-08-13,18.51116943359375
2015-08-14,18.608848571777344
2015-08-17,18.063451766967773
2015-08-18,17.827383041381836
2015-08-19,17.50176239013672
2015-08-20,16.500507354736328
2015-08-21,15.914402961730957
2015-08-24,15.214330673217773
2015-08-25,15.385272026062012
2015-08-26,15.914402961730957
2015-08-27,16.55748748779297
2015-08-28,16.207447052001953
2015-08-31,15.539937019348145
2015-09-01,15.075942039489746
2015-09-02,15.075942039489746
2015-09-03,15.417838096618652
2015-09-04,15.25502872467041
2015-09-08,15.857412338256836
2015-09-09,15.393416404724121
2015-09-10,14.953838348388672
2015-09-11,15.05965805053711
2015-09-14,14.978260040283203
2015-09-15,15.377132415771484
2015-09-16,15.434117317199707
2015-09-17,15.841135025024414
2015-09-18,15.336434364318848
2015-09-21,15.336434364318848
2015-09-22,15.002678871154785
2015-09-23,14.64449691772461
2015-09-24,14.36772632598877
2015-09-25,14.204922676086426
2015-09-28,13.447870254516602
2015-09-29,13.130395889282227
2015-09-30,13.659521102905273
2015-10-01,13.968849182128906
2015-10-02,14.196784019470215
2015-10-05,14.864291191101074
2015-10-06,14.929412841796875
2015-10-07,15.157343864440918
2015-10-08,15.271309852600098
2015-10-09,15.198043823242188
2015-10-12,14.937557220458984
2015-10-13,14.571234703063965
2015-10-14,14.335168838500977
2015-10-15,14.408430099487305
2015-10-16,14.489836692810059
2015-10-19,14.025838851928711
2015-10-20,13.81418514251709
2015-10-21,13.879307746887207
2015-10-22,14.156079292297363
2015-10-23,14.481691360473633
2015-10-26,14.465411186218262
2015-10-27,14.3270263671875
2015-10-28,13.716501235961914
2015-10-29,14.082816123962402
2015-10-30,13.960713386535645
2015-11-02,14.921274185180664
2015-11-03,15.385272026062012
2015-11-04,15.302337646484375
2015-11-05,15.65896987915039
2015-11-06,15.750208854675293
2015-11-09,15.103278160095215
2015-11-10,14.962282180786133
2015-11-11,14.945694923400879
2015-11-12,14.84616756439209
2015-11-13,14.622232437133789
2015-11-16,14.638813972473145
2015-11-17,14.323647499084473
2015-11-18,14.497820854187012
2015-11-19,14.547581672668457
2015-11-20,14.472941398620605
2015-11-23,14.18265151977539
2015-11-24,14.124591827392578
2015-11-25,14.174356460571289
2015-11-27,14.18265151977539
2015-11-30,14.025067329406738
2015-12-01,14.033360481262207
2015-12-02,13.751367568969727
2015-12-03,13.585485458374023
2015-12-04,13.54401683807373
2015-12-07,13.403018951416016
2015-12-08,13.286905288696289
2015-12-09,13.054672241210938
2015-12-10,13.610366821289062
2015-12-11,12.606804847717285
2015-12-14,11.984753608703613
2015-12-15,12.631680488586426
2015-12-16,12.756091117858887
2015-12-17,13.071261405944824
2015-12-18,12.90538215637207
2015-12-21,13.145906448364258
2015-12-22,13.02979564666748
2015-12-23,13.427903175354004
2015-12-24,13.303495407104492
2015-12-28,13.104437828063965
2015-12-29,12.988322257995605
2015-12-30,12.946854591369629
2015-12-31,12.93026351928711
2016-01-04,13.087849617004395
2016-01-05,12.814151763916016
2016-01-06,12.557037353515625
2016-01-07,12.017932891845703
2016-01-08,11.744230270385742
2016-01-11,11.346121788024902
2016-01-12,11.230005264282227
2016-01-13,11.047538757324219
2016-01-14,11.570056915283203
2016-01-15,11.147062301635742
2016-01-19,10.92313003540039
2016-01-20,11.296359062194824
2016-01-21,11.918402671813965
2016-01-22,11.951581954956055
2016-01-25,11.113890647888184
2016-01-26,11.395883560180664
2016-01-27,11.105598449707031
2016-01-28,11.221711158752441
2016-01-29,11.304651260375977
2016-02-01,11.536881446838379
2016-02-02,11.097302436828613
2016-02-03,10.989481925964355
2016-02-04,11.312947273254395
2016-02-05,11.470528602600098
2016-02-08,10.724074363708496
2016-02-09,10.466963768005371
2016-02-10,9.712211608886719
2016-02-11,9.231164932250977
2016-02-12,9.902970314025879
2016-02-16,10.350847244262695
2016-02-17,10.450372695922852
2016-02-18,10.76119613647461
2016-02-19,10.769601821899414
2016-02-22,11.055219650268555
2016-02-23,10.929211616516113
2016-02-24,10.601585388183594
2016-02-25,10.299160957336426
2016-02-26,10.36637020111084
2016-02-29,10.786398887634277
2016-03-01,10.887207984924316
2016-03-02,10.73599624633789
2016-03-03,10.904007911682129
2016-03-04,11.273635864257812
2016-03-07,11.718868255615234
2016-03-08,11.206429481506348
2016-03-09,11.340837478637695
2016-03-10,11.576059341430664
2016-03-11,11.886879920959473
2016-03-14,11.853276252746582
2016-03-15,11.718868255615234
2016-03-16,12.05489444732666
2016-03-17,12.634538650512695
2016-03-18,12.416118621826172
2016-03-21,12.542131423950195
2016-03-22,12.49172592163086
2016-03-23,11.92888355255127
2016-03-24,11.676863670349121
2016-03-28,11.844877243041992
2016-03-29,12.071693420410156
2016-03-30,12.180901527404785
2016-03-31,12.340513229370117
2016-04-01,12.05489444732666
2016-04-04,11.760872840881348
2016-04-05,11.231629371643066
2016-04-06,11.315640449523926
2016-04-07,11.172828674316406
2016-04-08,10.962811470031738
2016-04-11,11.080424308776855
2016-04-12,11.156026840209961
2016-04-13,11.576059341430664
2016-04-14,11.517251968383789
2016-04-15,11.48365306854248
2016-04-18,11.718868255615234
2016-04-19,12.063292503356934
2016-04-20,12.441323280334473
2016-04-21,12.49172592163086
2016-04-22,12.550528526306152
2016-04-25,12.172503471374512
2016-04-26,12.197704315185547
2016-04-27,12.071693420410156
