Date,CPR.MI
2015-08-24,2.960596799850464
2015-08-25,3.0835683345794678
2015-08-26,3.0626866817474365
2015-08-27,3.1369338035583496
2015-08-28,3.0882089138031006
2015-08-31,3.090529203414917
2015-09-01,3.0325236320495605
2015-09-02,3.0626866817474365
2015-09-03,3.1740570068359375
2015-09-04,3.0812482833862305
2015-09-07,3.113731622695923
2015-09-08,3.141573905944824
2015-09-09,3.2367029190063477
2015-09-10,3.276146650314331
2015-09-11,3.2181410789489746
2015-09-14,3.2297425270080566
2015-09-15,3.2343826293945312
2015-09-16,3.301668882369995
2015-09-17,3.324871063232422
2015-09-18,3.2715060710906982
2015-09-21,3.3480734825134277
2015-09-22,3.2436630725860596
2015-09-23,3.2854273319244385
2015-09-24,3.239022970199585
2015-09-25,3.294708251953125
2015-09-28,3.2367029190063477
2015-09-29,3.2111806869506836
2015-09-30,3.3039889335632324
2015-10-01,3.2970283031463623
2015-10-02,3.2970283031463623
2015-10-05,3.3666348457336426
2015-10-06,3.4339215755462646
2015-10-07,3.3411121368408203
2015-10-08,3.375916004180908
2015-10-09,3.406078577041626
2015-10-12,3.443202257156372
2015-10-13,3.475684881210327
2015-10-14,3.4339215755462646
2015-10-15,3.5012073516845703
2015-10-16,3.5081682205200195
2015-10-19,3.559213161468506
2015-10-20,3.554572343826294
2015-10-21,3.510488271713257
2015-10-22,3.5684938430786133
2015-10-23,3.6056175231933594
2015-10-26,3.6009767055511475
2015-10-27,3.614898204803467
2015-10-28,3.6752235889434814
2015-10-29,3.6032967567443848
2015-10-30,3.614898204803467
2015-11-02,3.617218494415283
2015-11-03,3.6357803344726562
2015-11-04,3.6009767055511475
2015-11-05,3.6636223793029785
2015-11-06,3.6427407264709473
2015-11-09,3.547611713409424
2015-11-10,3.68914532661438
2015-11-11,3.7123472690582275
2015-11-12,3.710026741027832
2015-11-13,3.7007462978363037
2015-11-16,3.7494704723358154
2015-11-17,3.7633919715881348
2015-11-18,3.7262685298919678
2015-11-19,3.8353190422058105
2015-11-20,3.8376388549804688
2015-11-23,3.8190770149230957
2015-11-24,3.7425100803375244
2015-11-25,3.863161325454712
2015-11-26,3.8237178325653076
2015-11-27,3.821397542953491
2015-11-30,3.858520984649658
2015-12-01,3.8817219734191895
2015-12-02,3.9049248695373535
2015-12-03,3.710026741027832
2015-12-04,3.6984262466430664
2015-12-07,3.8005154132843018
2015-12-08,3.7425100803375244
2015-12-09,3.670583486557007
2015-12-10,3.6682634353637695
2015-12-11,3.647381067276001
2015-12-14,3.5452914237976074
2015-12-15,3.684504747390747
2015-12-16,3.7355496883392334
2015-12-17,3.7494704723358154
2015-12-18,3.714667558670044
2015-12-21,3.6566619873046875
2015-12-22,3.5638532638549805
2015-12-23,3.670583486557007
2015-12-28,3.647381067276001
2015-12-29,3.7541115283966064
2015-12-30,3.7123472690582275
2015-12-31,3.7123472690582275
2016-01-04,3.59865665435791
2016-01-05,3.658982515335083
2016-01-06,3.6032967567443848
2016-01-07,3.5197689533233643
2016-01-08,3.510488271713257
2016-01-11,3.5499322414398193
2016-01-12,3.628819465637207
2016-01-13,3.684504747390747
2016-01-14,3.573134183883667
2016-01-15,3.5267295837402344
2016-01-18,3.482645273208618
2016-01-19,3.566173791885376
2016-01-20,3.4339215755462646
2016-01-21,3.5058481693267822
2016-01-22,3.5615334510803223
2016-01-25,3.6032967567443848
2016-01-26,3.6427407264709473
2016-01-27,3.665943145751953
2016-01-28,3.5684938430786133
2016-01-29,3.7425100803375244
2016-02-01,3.721628189086914
2016-02-02,3.707706928253174
2016-02-03,3.628819465637207
2016-02-04,3.4710445404052734
2016-02-05,3.443202257156372
2016-02-08,3.2807869911193848
2016-02-09,3.331831693649292
2016-02-10,3.4083988666534424
2016-02-11,3.220461130142212
2016-02-12,3.269186019897461
2016-02-15,3.324871063232422
2016-02-16,3.2436630725860596
2016-02-17,3.3225507736206055
2016-02-18,3.287747621536255
2016-02-19,3.3179099559783936
2016-02-22,3.3666348457336426
2016-02-23,3.361994743347168
2016-02-24,3.3225507736206055
2016-02-25,3.406078577041626
2016-02-26,3.38287615776062
2016-02-29,3.364314556121826
2016-03-01,3.482645273208618
2016-03-02,3.531370162963867
2016-03-03,3.5499322414398193
2016-03-04,3.6056175231933594
2016-03-07,3.6125779151916504
2016-03-08,3.5638532638549805
2016-03-09,3.614898204803467
2016-03-10,3.6381006240844727
2016-03-11,3.68914532661438
2016-03-14,3.8747622966766357
2016-03-15,3.955970048904419
2016-03-16,4.007014751434326
2016-03-17,4.048778533935547
2016-03-18,4.034856796264648
2016-03-21,4.041817665100098
2016-03-22,4.037178039550781
2016-03-23,4.051098823547363
2016-03-24,4.01861572265625
2016-03-29,4.01861572265625
2016-03-30,4.092863082885742
2016-03-31,4.0766215324401855
2016-04-01,4.039497375488281
2016-04-04,4.083581447601318
2016-04-05,4.023256301879883
2016-04-06,4.023256301879883
2016-04-07,4.000054359436035
2016-04-08,4.060379981994629
2016-04-11,3.9954140186309814
2016-04-12,3.944368839263916
2016-04-13,3.9745311737060547
2016-04-14,4.002373695373535
2016-04-15,3.9374072551727295
2016-04-18,3.9466898441314697
2016-04-19,4.030217170715332
2016-04-20,4.05341911315918
2016-04-21,4.009334564208984
2016-04-22,3.9582905769348145
2016-04-25,3.9861326217651367
2016-04-26,4.000054359436035
2016-04-27,4.025576114654541
2016-04-28,3.969891309738159
2016-04-29,3.911885976791382
2016-05-02,3.8979640007019043
2016-05-03,3.877082347869873
2016-05-04,3.914206027984619
2016-05-05,3.9281275272369385
