Date,BP.L
2015-08-24,329.10308837890625
2015-08-25,333.3777160644531
2015-08-26,329.2522277832031
2015-08-27,349.134521484375
2015-08-28,358.37982177734375
2015-09-01,347.34521484375
2015-09-02,343.26922607421875
2015-09-03,353.75714111328125
2015-09-04,335.9127197265625
2015-09-07,334.0238952636719
2015-09-08,338.1991271972656
2015-09-09,340.4858093261719
2015-09-10,333.3280334472656
2015-09-11,331.53863525390625
2015-09-14,330.0473937988281
2015-09-15,336.7080993652344
2015-09-16,343.8160095214844
2015-09-17,343.6669921875
2015-09-18,331.4888916015625
2015-09-21,331.58831787109375
2015-09-22,323.2875061035156
2015-09-23,327.5122985839844
2015-09-24,321.0009765625
2015-09-25,331.3396911621094
2015-09-28,321.15008544921875
2015-09-29,324.28155517578125
2015-09-30,332.0357360839844
2015-10-01,340.2371520996094
2015-10-02,349.38311767578125
2015-10-05,365.835693359375
2015-10-06,375.8763427734375
2015-10-07,384.7239685058594
2015-10-08,386.6624755859375
2015-10-09,389.2969055175781
2015-10-12,382.536865234375
2015-10-13,380.4990539550781
2015-10-14,375.4289245605469
2015-10-15,377.4172058105469
2015-10-16,381.7416687011719
2015-10-19,375.0312194824219
2015-10-20,374.3353271484375
2015-10-21,378.7095947265625
2015-10-22,386.2647399902344
2015-10-23,385.8177185058594
2015-10-26,382.1392822265625
2015-10-27,377.76513671875
2015-10-28,388.7004089355469
2015-10-29,389.396484375
2015-10-30,384.1274719238281
2015-11-02,385.96661376953125
2015-11-03,400.87841796875
2015-11-04,399.68548583984375
2015-11-05,388.2177734375
2015-11-06,384.2904052734375
2015-11-09,380.4127502441406
2015-11-10,380.31317138671875
2015-11-11,375.739501953125
2015-11-12,365.1504821777344
2015-11-13,362.41607666015625
2015-11-16,366.54241943359375
2015-11-17,376.3858947753906
2015-11-18,380.31317138671875
2015-11-19,382.9480895996094
2015-11-20,379.1200256347656
2015-11-23,378.5732421875
2015-11-24,383.6937561035156
2015-11-25,383.8924865722656
2015-11-26,387.3727111816406
2015-11-27,384.3399963378906
2015-11-30,383.0475769042969
2015-12-01,382.35137939453125
2015-12-02,379.8160400390625
2015-12-03,366.4429016113281
2015-12-04,357.64361572265625
2015-12-07,345.6127624511719
2015-12-08,345.8116760253906
2015-12-09,348.4464416503906
2015-12-10,348.943603515625
2015-12-11,336.06756591796875
2015-12-14,327.41729736328125
2015-12-15,335.7694091796875
2015-12-16,338.25494384765625
2015-12-17,338.4041748046875
2015-12-18,337.3602294921875
2015-12-21,333.2837219238281
2015-12-22,342.977783203125
2015-12-23,358.3394775390625
2015-12-24,363.8577880859375
2015-12-29,358.6875305175781
2015-12-30,353.1195373535156
2015-12-31,351.9761657714844
2016-01-04,345.56298828125
2016-01-05,346.15960693359375
2016-01-06,341.486328125
2016-01-07,335.7694091796875
2016-01-08,326.8207702636719
2016-01-11,326.17449951171875
2016-01-12,321.2528381347656
2016-01-13,333.929931640625
2016-01-14,345.7121276855469
2016-01-15,336.2168273925781
2016-01-18,338.55340576171875
2016-01-19,340.4921569824219
2016-01-20,326.27392578125
2016-01-21,340.2933349609375
2016-01-22,350.68353271484375
2016-01-25,348.1480712890625
2016-01-26,354.4617614746094
2016-01-27,360.8252258300781
2016-01-28,366.34356689453125
2016-01-29,373.9498596191406
2016-02-01,364.8520812988281
2016-02-02,333.1841735839844
2016-02-03,330.4499206542969
2016-02-04,348.84405517578125
2016-02-05,348.645263671875
2016-02-08,341.9338684082031
2016-02-09,332.537841796875
2016-02-10,328.2127380371094
2016-02-11,308.5419616699219
2016-02-12,330.66925048828125
2016-02-15,330.9676513671875
2016-02-16,335.5423583984375
2016-02-17,347.9237976074219
2016-02-18,343.498291015625
2016-02-19,341.360107421875
2016-02-22,354.6862487792969
2016-02-23,343.44854736328125
2016-02-24,333.15557861328125
2016-02-25,336.58660888671875
2016-02-26,347.6253662109375
2016-02-29,349.5150451660156
2016-03-01,348.7193298339844
2016-03-02,350.95697021484375
2016-03-03,360.0069580078125
2016-03-04,365.8743896484375
2016-03-07,363.5372619628906
2016-03-08,352.24981689453125
2016-03-09,354.03985595703125
2016-03-10,341.3103332519531
2016-03-11,346.48175048828125
2016-03-14,343.54803466796875
2016-03-15,340.11700439453125
2016-03-16,348.1723937988281
2016-03-17,357.6202392578125
2016-03-18,355.034423828125
2016-03-21,354.23883056640625
2016-03-22,358.7637939453125
2016-03-23,354.139404296875
2016-03-24,351.4044189453125
2016-03-29,343.89599609375
2016-03-30,353.5924072265625
2016-03-31,348.2221374511719
2016-04-01,341.9071350097656
2016-04-04,342.8021240234375
2016-04-05,335.5920715332031
2016-04-06,337.6805114746094
2016-04-07,337.43182373046875
2016-04-08,348.42108154296875
2016-04-11,349.91278076171875
2016-04-12,354.9847106933594
2016-04-13,363.4378967285156
2016-04-14,356.5758972167969
2016-04-15,353.99017333984375
2016-04-18,353.8409729003906
2016-04-19,360.9517517089844
2016-04-20,361.6477966308594
2016-04-21,366.5705261230469
2016-04-22,366.2721252441406
2016-04-25,358.3659362792969
2016-04-26,373.83038330078125
2016-04-27,380.34423828125
2016-04-28,380.19512939453125
2016-04-29,371.6922302246094
2016-05-03,366.3717041015625
2016-05-04,360.5538024902344
2016-05-05,356.4449768066406
2016-05-06,358.88189697265625
2016-05-09,349.6313171386719
2016-05-10,355.6492614746094
2016-05-11,359.2798156738281
2016-05-12,358.18572998046875
2016-05-13,360.5728454589844
2016-05-16,364.0543518066406
2016-05-17,364.35272216796875
2016-05-18,362.6617126464844
2016-05-19,354.1075134277344
2016-05-20,359.5781555175781
2016-05-23,355.5995178222656
2016-05-24,355.8978271484375
2016-05-25,364.0543518066406
2016-05-26,362.5126037597656
2016-05-27,360.0259094238281
2016-05-31,355.3507385253906
2016-06-01,351.72021484375
2016-06-02,351.222900390625
2016-06-03,356.6439208984375
2016-06-06,366.4415588378906
2016-06-07,371.26580810546875
2016-06-08,374.5481872558594
2016-06-09,372.1609802246094
2016-06-10,368.77899169921875
2016-06-13,366.9388732910156
2016-06-14,356.2958679199219
2016-06-15,357.5888366699219
2016-06-16,362.91033935546875
2016-06-17,371.166259765625
2016-06-20,376.935546875
2016-06-21,380.2676696777344
2016-06-22,381.3617858886719
2016-06-23,384.89300537109375
2016-06-24,391.55718994140625
2016-06-27,392.8504333496094
2016-06-28,402.2999267578125
2016-06-29,422.54168701171875
2016-06-30,435.8207092285156
2016-07-01,443.0322570800781
2016-07-04,444.4247131347656
2016-07-05,451.1388854980469
2016-07-06,447.010986328125
2016-07-07,450.8902282714844
2016-07-08,454.570556640625
2016-07-11,456.5599670410156
2016-07-12,459.3450927734375
2016-07-13,453.2774658203125
2016-07-14,452.23297119140625
2016-07-15,454.7197570800781
2016-07-18,446.9114685058594
2016-07-19,450.3929443359375
2016-07-20,448.8013610839844
2016-07-21,448.4035339355469
2016-07-22,449.69659423828125
2016-07-25,438.0090637207031
2016-07-26,432.2896423339844
2016-07-27,431.74261474609375
2016-07-28,424.38189697265625
2016-07-29,424.58087158203125
2016-08-01,416.12603759765625
2016-08-02,411.6996154785156
2016-08-03,412.7938232421875
2016-08-04,414.212158203125
2016-08-05,417.19671630859375
2016-08-08,419.9822998046875
2016-08-09,423.0165710449219
2016-08-10,420.82794189453125
2016-08-11,430.080078125
2016-08-12,430.4781494140625
2016-08-15,434.6068420410156
2016-08-16,434.00994873046875
2016-08-17,430.5279235839844
2016-08-18,433.3135070800781
2016-08-19,432.11962890625
2016-08-22,425.7027893066406
2016-08-23,426.39910888671875
2016-08-24,426.79718017578125
2016-08-25,429.7816467285156
2016-08-26,432.6171569824219
2016-08-30,431.4730224609375
2016-08-31,425.7027893066406
2016-09-01,416.5997619628906
2016-09-02,428.7868957519531
2016-09-05,432.56732177734375
2016-09-06,425.4540710449219
2016-09-07,431.124755859375
2016-09-08,434.9053039550781
2016-09-09,429.9309387207031
2016-09-12,426.49871826171875
2016-09-13,418.3904724121094
2016-09-14,415.356201171875
2016-09-15,418.9875183105469
2016-09-16,418.2413024902344
2016-09-19,424.1110534667969
2016-09-20,421.7729797363281
2016-09-21,422.1211853027344
2016-09-22,432.3683166503906
2016-09-23,434.6566162109375
2016-09-26,429.7816467285156
2016-09-27,426.00128173828125
2016-09-28,430.0305480957031
2016-09-29,448.6841735839844
2016-09-30,447.6893615722656
2016-10-03,456.0462341308594
2016-10-04,465.547119140625
2016-10-05,469.5763854980469
2016-10-06,471.0686950683594
2016-10-07,483.5043029785156
2016-10-10,491.9111022949219
2016-10-11,484.2505798339844
2016-10-12,482.31060791015625
2016-10-13,482.50958251953125
2016-10-14,486.9864501953125
2016-10-17,481.26593017578125
2016-10-18,483.40496826171875
2016-10-19,487.633056640625
2016-10-20,487.5336608886719
2016-10-21,490.2197570800781
2016-10-24,484.4495544433594
2016-10-25,492.60748291015625
2016-10-26,485.4444580078125
2016-10-27,490.9659118652344
2016-10-28,489.62274169921875
2016-10-31,481.2162170410156
2016-11-01,459.677490234375
2016-11-02,454.9517822265625
2016-11-03,449.0323791503906
2016-11-04,444.1575012207031
2016-11-07,451.1215515136719
2016-11-08,454.20562744140625
2016-11-09,455.7477722167969
2016-11-10,446.6723327636719
2016-11-11,433.1894836425781
2016-11-14,431.29901123046875
2016-11-15,442.5926208496094
2016-11-16,439.70697021484375
2016-11-17,444.9806823730469
2016-11-18,445.42852783203125
2016-11-21,453.98577880859375
2016-11-22,453.98577880859375
2016-11-23,455.8764343261719
2016-11-24,456.5729064941406
2016-11-25,452.6922607421875
2016-11-28,450.00567626953125
2016-11-29,440.3537292480469
2016-11-30,457.16998291015625
2016-12-01,467.7173156738281
2016-12-02,464.3341369628906
2016-12-05,462.64263916015625
2016-12-06,461.24957275390625
2016-12-07,471.1004333496094
2016-12-08,474.6327819824219
2016-12-09,473.8367004394531
2016-12-12,481.0010986328125
2016-12-13,480.3045654296875
2016-12-14,478.6128845214844
2016-12-15,477.1203918457031
2016-12-16,487.269775390625
2016-12-19,488.3641662597656
2016-12-20,492.6430358886719
2016-12-21,494.2848205566406
2016-12-22,500.50384521484375
2016-12-23,500.50384521484375
2016-12-28,506.37457275390625
2016-12-29,508.6631774902344
2016-12-30,507.071044921875
2017-01-03,514.7330322265625
2017-01-04,516.722900390625
2017-01-05,514.7330322265625
2017-01-06,511.94683837890625
2017-01-09,510.95184326171875
2017-01-10,509.16058349609375
2017-01-11,510.75262451171875
2017-01-12,512.8423461914062
2017-01-13,515.429443359375
2017-01-16,510.05609130859375
2017-01-17,499.5087585449219
2017-01-18,502.5933837890625
2017-01-19,496.67291259765625
2017-01-20,495.8768615722656
2017-01-23,484.7324523925781
2017-01-24,487.269775390625
2017-01-25,485.62786865234375
2017-01-26,482.9911193847656
2017-01-27,484.3841552734375
2017-01-30,473.6875305175781
2017-01-31,470.50347900390625
2017-02-01,470.5530700683594
2017-02-02,470.35418701171875
2017-02-03,476.22491455078125
2017-02-06,474.1850280761719
2017-02-07,454.8316650390625
2017-02-08,453.6872863769531
2017-02-09,456.42364501953125
2017-02-10,457.3191223144531
2017-02-13,457.3191223144531
2017-02-14,457.21978759765625
2017-02-15,455.2793273925781
2017-02-16,446.25439453125
2017-02-17,443.86578369140625
2017-02-20,443.0697021484375
2017-02-21,448.64288330078125
2017-02-22,445.5577087402344
2017-02-23,448.2447814941406
2017-02-24,444.9605712890625
2017-02-27,449.3395690917969
2017-02-28,451.379638671875
2017-03-01,462.3768005371094
2017-03-02,462.62567138671875
2017-03-03,461.82940673828125
2017-03-06,460.58538818359375
2017-03-07,460.78448486328125
2017-03-08,458.4955139160156
2017-03-09,451.8275146484375
2017-03-10,468.44769287109375
2017-03-13,461.2821350097656
2017-03-14,454.8132629394531
2017-03-15,453.9672546386719
2017-03-16,457.0523376464844
2017-03-17,460.78448486328125
2017-03-20,458.8935852050781
2017-03-21,456.1567077636719
2017-03-22,452.5738830566406
2017-03-23,454.4151306152344
2017-03-24,449.68780517578125
2017-03-27,445.75677490234375
2017-03-28,451.2801513671875
2017-03-29,458.99310302734375
2017-03-30,459.44097900390625
2017-03-31,455.3605041503906
2017-04-03,453.91754150390625
2017-04-04,461.43133544921875
2017-04-05,462.9739685058594
2017-04-06,462.22760009765625
2017-04-07,468.1490173339844
2017-04-10,467.40264892578125
2017-04-11,468.44769287109375
2017-04-12,470.2389831542969
2017-04-13,468.845703125
2017-04-18,450.4342346191406
2017-04-19,445.6571350097656
2017-04-20,444.5127258300781
2017-04-21,439.2877502441406
2017-04-24,447.14996337890625
2017-04-25,447.1003723144531
2017-04-26,451.4792175292969
2017-04-27,440.5318603515625
2017-04-28,440.3825988769531
2017-05-02,447.4485778808594
2017-05-03,444.5127258300781
2017-05-04,442.67156982421875
2017-05-05,449.1902160644531
2017-05-08,452.2754211425781
2017-05-09,453.5692138671875
2017-05-10,458.3462219238281
2017-05-11,453.8446350097656
2017-05-12,457.8759765625
2017-05-15,462.05657958984375
2017-05-16,467.083251953125
2017-05-17,468.32745361328125
2017-05-18,466.8343505859375
2017-05-19,469.9698181152344
2017-05-22,471.76141357421875
2017-05-23,472.06011962890625
2017-05-24,476.29052734375
2017-05-25,470.91552734375
2017-05-26,472.358642578125
2017-05-30,469.9200134277344
2017-05-31,464.54498291015625
2017-06-01,467.82977294921875
2017-06-02,460.61328125
2017-06-05,461.9072265625
2017-06-06,462.7532958984375
2017-06-07,454.6907043457031
2017-06-08,454.2427978515625
2017-06-09,465.63995361328125
2017-06-12,468.7256164550781
2017-06-13,467.9791259765625
2017-06-14,459.4686279296875
2017-06-15,458.82159423828125
2017-06-16,464.4952697753906
2017-06-19,470.46759033203125
2017-06-20,458.12481689453125
2017-06-21,454.5911560058594
2017-06-22,454.6408996582031
2017-06-23,454.2427978515625
2017-06-26,455.59161376953125
2017-06-27,458.0860290527344
2017-06-28,453.1976623535156
2017-06-29,447.8226623535156
2017-06-30,440.7553405761719
2017-07-03,449.2161560058594
2017-07-04,447.92218017578125
2017-07-05,442.0992126464844
2017-07-06,443.84112548828125
2017-07-07,441.94976806640625
2017-07-10,441.7010498046875
2017-07-11,440.40692138671875
2017-07-12,448.5690612792969
2017-07-13,444.7867126464844
2017-07-14,442.7462158203125
2017-07-17,445.7820739746094
2017-07-18,443.3931579589844
2017-07-19,443.8908386230469
2017-07-20,448.1708984375
2017-07-21,444.23919677734375
2017-07-24,437.719482421875
2017-07-25,444.3884582519531
2017-07-26,443.094482421875
2017-07-27,442.6466369628906
2017-07-28,441.6014099121094
2017-07-31,443.74151611328125
2017-08-01,454.3424072265625
2017-08-02,457.17926025390625
2017-08-03,458.47320556640625
2017-08-04,461.16070556640625
2017-08-07,466.2868957519531
2017-08-08,468.97442626953125
2017-08-09,466.68524169921875
2017-08-10,455.71038818359375
2017-08-11,445.7549743652344
2017-08-14,444.11236572265625
2017-08-15,442.1212158203125
2017-08-16,443.4652404785156
2017-08-17,441.2253112792969
2017-08-18,438.0395812988281
2017-08-21,438.1888732910156
2017-08-22,440.2297668457031
2017-08-23,442.5195007324219
2017-08-24,441.1754455566406
2017-08-25,443.51495361328125
2017-08-29,438.43768310546875
2017-08-30,439.9310302734375
2017-08-31,443.1664733886719
2017-09-01,442.76837158203125
2017-09-04,444.4607238769531
2017-09-05,444.7095947265625
2017-09-06,444.759521484375
2017-09-07,447.8954772949219
2017-09-08,444.11236572265625
2017-09-11,447.09893798828125
2017-09-12,446.8998718261719
2017-09-13,450.3344421386719
2017-09-14,449.68743896484375
2017-09-15,446.2528076171875
2017-09-18,448.7913513183594
2017-09-19,454.0677795410156
2017-09-20,457.3530578613281
2017-09-21,461.4349060058594
2017-09-22,464.52093505859375
2017-09-25,470.295166015625
2017-09-26,469.4488525390625
2017-09-27,470.94219970703125
2017-09-28,473.92889404296875
2017-09-29,475.1733093261719
2017-10-02,477.861328125
2017-10-03,484.2327575683594
2017-10-04,483.5856018066406
2017-10-05,488.21502685546875
2017-10-06,485.9749450683594
2017-10-09,484.13311767578125
2017-10-10,487.7669982910156
2017-10-11,486.47271728515625
2017-10-12,489.2602233886719
2017-10-13,488.6130676269531
2017-10-16,489.3100891113281
2017-10-17,488.4140930175781
2017-10-18,485.8257141113281
2017-10-19,489.9571228027344
