Date,ATCO-A.ST
2015-08-24,30.80510139465332
2015-08-25,31.252197265625
2015-08-26,30.32819366455078
2015-08-27,31.38631820678711
2015-08-28,31.81852912902832
2015-08-31,31.81852912902832
2015-09-01,31.22238540649414
2015-09-02,31.282001495361328
2015-09-03,31.37142562866211
2015-09-04,30.536840438842773
2015-09-07,30.86471176147461
2015-09-08,31.058448791503906
2015-09-09,32.220909118652344
2015-09-10,31.714189529418945
2015-09-11,31.773813247680664
2015-09-14,31.267099380493164
2015-09-15,31.654584884643555
2015-09-16,32.4295654296875
2015-09-17,31.699291229248047
2015-09-18,30.551740646362305
2015-09-21,30.730575561523438
2015-09-22,30.059934616088867
2015-09-23,29.8959903717041
2015-09-24,28.584501266479492
2015-09-25,28.97199249267578
2015-09-28,28.241731643676758
2015-09-29,29.15083122253418
2015-09-30,29.970510482788086
2015-10-01,29.553220748901367
2015-10-02,30.045034408569336
2015-10-05,31.401233673095703
2015-10-06,31.311813354492188
2015-10-07,31.669483184814453
2015-10-08,31.714189529418945
2015-10-09,32.638206481933594
2015-10-12,32.29542541503906
2015-10-13,31.416133880615234
2015-10-14,31.103158950805664
2015-10-15,31.192583084106445
2015-10-16,30.164260864257812
2015-10-19,30.462312698364258
2015-10-20,31.37142562866211
2015-10-21,31.624780654907227
2015-10-22,32.51898193359375
2015-10-23,33.457889556884766
2015-10-26,33.69633865356445
2015-10-27,33.24924087524414
2015-10-28,33.919891357421875
2015-10-29,33.562400817871094
2015-10-30,33.820220947265625
2015-11-02,33.774723052978516
2015-11-03,33.926387786865234
2015-11-04,35.2003288269043
2015-11-05,35.21549987792969
2015-11-06,35.17000198364258
2015-11-09,34.533023834228516
2015-11-10,34.16904067993164
2015-11-11,34.654354095458984
2015-11-12,33.6685676574707
2015-11-13,33.69889831542969
2015-11-16,33.69889831542969
2015-11-17,34.5633544921875
2015-11-18,34.66952133178711
2015-11-19,34.472354888916016
2015-11-20,35.30649948120117
2015-11-23,35.30649948120117
2015-11-24,34.41170120239258
2015-11-25,34.7453498840332
2015-11-26,35.33681869506836
2015-11-27,35.23065948486328
2015-11-30,35.23065948486328
2015-12-01,35.003177642822266
2015-12-02,35.245826721191406
2015-12-03,34.45720672607422
2015-12-04,34.45720672607422
2015-12-07,34.45720672607422
2015-12-08,33.25907897949219
2015-12-09,33.25907897949219
2015-12-10,32.728275299072266
2015-12-11,31.62114906311035
2015-12-14,31.62114906311035
2015-12-15,31.332996368408203
2015-12-16,31.69697380065918
2015-12-17,31.5908203125
2015-12-18,31.348167419433594
2015-12-21,31.348167419433594
2015-12-22,31.10550308227539
2015-12-23,31.939638137817383
2015-12-28,31.939638137817383
2015-12-29,31.863811492919922
2015-12-30,31.605987548828125
2016-01-04,30.301712036132812
2016-01-05,29.51307487487793
2016-01-07,29.19458770751953
2016-01-08,28.8154354095459
2016-01-11,29.164249420166016
2016-01-12,28.967100143432617
2016-01-13,29.406911849975586
2016-01-14,28.967100143432617
2016-01-15,27.677980422973633
2016-01-18,27.784147262573242
2016-01-19,28.01163673400879
2016-01-20,27.177501678466797
2016-01-21,28.01163673400879
2016-01-22,28.967100143432617
2016-01-25,28.51211929321289
2016-01-26,29.543407440185547
2016-01-27,29.983219146728516
2016-01-28,27.814483642578125
2016-01-29,27.723482131958008
2016-02-01,27.010683059692383
2016-02-02,26.206880569458008
2016-02-03,26.510204315185547
2016-02-04,27.814483642578125
2016-02-05,28.208797454833984
2016-02-08,26.616365432739258
2016-02-09,27.056175231933594
2016-02-10,27.268508911132812
2016-02-11,26.055225372314453
2016-02-12,27.450496673583984
2016-02-15,28.284626007080078
2016-02-16,28.057138442993164
2016-02-17,29.346250534057617
2016-02-18,29.027761459350586
2016-02-19,29.315914154052734
2016-02-22,30.33203125
2016-02-23,29.922548294067383
2016-02-24,28.603113174438477
2016-02-25,29.118759155273438
2016-02-26,29.346250534057617
2016-02-29,29.391742706298828
2016-03-01,29.619237899780273
2016-03-02,29.300750732421875
2016-03-03,30.938676834106445
2016-03-04,31.77281379699707
2016-03-07,31.712156295776367
2016-03-08,31.029674530029297
2016-03-09,31.21166229248047
2016-03-10,30.423036575317383
2016-03-11,30.89318084716797
2016-03-14,31.196508407592773
2016-03-15,30.529191970825195
2016-03-16,30.059049606323242
2016-03-17,30.392698287963867
2016-03-18,30.60502815246582
2016-03-21,30.377534866333008
2016-03-22,30.60502815246582
2016-03-23,30.423036575317383
2016-03-24,29.740562438964844
2016-03-29,29.619237899780273
2016-03-30,30.984180450439453
2016-03-31,30.984180450439453
2016-04-01,30.802181243896484
2016-04-04,30.95383644104004
2016-04-05,30.180374145507812
2016-04-06,30.195541381835938
2016-04-07,29.907390594482422
2016-04-08,30.817350387573242
2016-04-11,30.90835189819336
2016-04-12,31.075178146362305
2016-04-13,31.530149459838867
2016-04-14,31.37849235534668
2016-04-15,31.469493865966797
2016-04-18,31.575651168823242
2016-04-19,33.09225845336914
2016-04-20,33.425907135009766
2016-04-21,34.03254318237305
2016-04-22,33.729225158691406
2016-04-25,33.44107437133789
2016-04-26,32.60694122314453
2016-04-27,32.41209030151367
2016-04-28,32.67498016357422
2016-04-29,32.133750915527344
2016-05-02,31.948183059692383
2016-05-03,31.406951904296875
2016-05-04,30.881183624267578
2016-05-06,30.98943519592285
2016-05-09,31.113142013549805
2016-05-10,31.159530639648438
2016-05-11,31.484268188476562
2016-05-12,31.406951904296875
2016-05-13,31.731687545776367
2016-05-16,32.535804748535156
2016-05-17,32.67498016357422
2016-05-18,32.73683547973633
2016-05-19,32.0255012512207
2016-05-20,32.82962417602539
2016-05-23,32.922401428222656
2016-05-24,33.06157684326172
2016-05-25,33.123435974121094
2016-05-26,33.24714660644531
2016-05-27,33.278072357177734
2016-05-30,33.06157684326172
2016-05-31,33.324459075927734
2016-06-01,32.922401428222656
2016-06-02,33.092506408691406
2016-06-03,32.76776885986328
