Date,CVS
2015-08-03,84.0986557006836
2015-08-04,81.96672058105469
2015-08-05,82.89106750488281
2015-08-06,80.59518432617188
2015-08-07,80.31189727783203
2015-08-10,80.9678955078125
2015-08-11,80.56536102294922
2015-08-12,80.74423217773438
2015-08-13,80.25972747802734
2015-08-14,80.25972747802734
2015-08-17,81.05730438232422
2015-08-18,80.84864044189453
2015-08-19,79.58137512207031
2015-08-20,79.02976989746094
2015-08-21,76.1897201538086
2015-08-24,74.6988754272461
2015-08-25,74.5423355102539
2015-08-26,76.68172454833984
2015-08-27,78.41853332519531
2015-08-28,77.658203125
2015-08-31,76.33134460449219
2015-09-01,74.74358367919922
2015-09-02,75.36975860595703
2015-09-03,75.72754669189453
2015-09-04,74.63179779052734
2015-09-08,76.13753509521484
2015-09-09,74.71377563476562
2015-09-10,75.138671875
2015-09-11,75.67533874511719
2015-09-14,74.66158294677734
2015-09-15,75.7349853515625
2015-09-16,75.69027709960938
2015-09-17,75.54116821289062
2015-09-18,73.81927490234375
2015-09-21,75.22067260742188
2015-09-22,74.56468200683594
2015-09-23,75.01195526123047
2015-09-24,73.92363739013672
2015-09-25,73.50619506835938
2015-09-28,71.82154846191406
2015-09-29,70.90464782714844
2015-09-30,71.91842651367188
2015-10-01,72.23896026611328
2015-10-02,73.76709747314453
2015-10-05,76.01081085205078
2015-10-06,74.40814971923828
2015-10-07,75.29519653320312
2015-10-08,76.15990447998047
2015-10-09,76.03316497802734
2015-10-12,76.83075714111328
2015-10-13,76.0704345703125
2015-10-14,74.87777709960938
2015-10-15,76.33880615234375
2015-10-16,77.06185150146484
2015-10-19,77.15876770019531
2015-10-20,77.48785400390625
2015-10-21,77.2559814453125
2015-10-22,78.00396728515625
2015-10-23,77.74966430664062
2015-10-26,77.390625
2015-10-27,78.75190734863281
2015-10-28,77.6449203491211
2015-10-29,77.63744354248047
2015-10-30,73.88272094726562
2015-11-02,75.07945251464844
2015-11-03,74.71295166015625
2015-11-04,74.47360229492188
2015-11-05,74.45116424560547
2015-11-06,73.82289123535156
2015-11-09,73.2918472290039
2015-11-10,73.17963409423828
2015-11-11,70.94326782226562
2015-11-12,69.6493148803711
2015-11-13,68.66949462890625
2015-11-16,70.02330780029297
2015-11-17,70.15043640136719
2015-11-18,71.19757080078125
2015-11-19,69.17810821533203
2015-11-20,68.7592544555664
2015-11-23,68.48250579833984
2015-11-24,68.99859619140625
2015-11-25,70.23272705078125
2015-11-27,70.77875518798828
2015-11-30,70.37483215332031
2015-12-01,71.39203643798828
2015-12-02,70.68147277832031
2015-12-03,69.44739532470703
2015-12-04,71.39954376220703
2015-12-07,72.05772399902344
2015-12-08,71.54911804199219
2015-12-09,71.04052734375
2015-12-10,70.86101531982422
2015-12-11,69.73908996582031
2015-12-14,70.38980865478516
2015-12-15,69.25291442871094
2015-12-16,72.97021484375
2015-12-17,70.83856964111328
2015-12-18,70.95075225830078
2015-12-21,71.76602935791016
2015-12-22,73.50128936767578
2015-12-23,73.68077850341797
2015-12-24,73.94258117675781
2015-12-28,73.61344146728516
2015-12-29,74.3165512084961
2015-12-30,73.85281372070312
2015-12-31,73.1272964477539
2016-01-04,72.1474609375
2016-01-05,72.35694122314453
2016-01-06,71.47432708740234
2016-01-07,70.4421615600586
2016-01-08,69.97840881347656
2016-01-11,70.99563598632812
2016-01-12,71.57159423828125
2016-01-13,70.38980865478516
2016-01-14,71.43692016601562
2016-01-15,70.23272705078125
2016-01-19,71.10034942626953
