Date,METROPOLIS.NS
2019-04-15,939.9524536132812
2019-04-16,964.9238891601562
2019-04-18,950.3328247070312
2019-04-22,925.9000244140625
2019-04-23,933.0975341796875
2019-04-24,938.8753051757812
2019-04-25,930.0618286132812
2019-04-26,929.1315307617188
2019-04-30,928.2012329101562
2019-05-02,927.4177856445312
2019-05-03,930.45361328125
2019-05-06,923.5986938476562
2019-05-07,911.4067993164062
2019-05-08,918.6044311523438
2019-05-09,919.8284301757812
2019-05-10,926.3896484375
2019-05-13,902.1036987304688
2019-05-14,894.07373046875
2019-05-15,912.2880249023438
2019-05-16,905.6290283203125
2019-05-17,900.8796997070312
2019-05-20,944.5550537109375
2019-05-21,954.739501953125
2019-05-22,935.7416381835938
2019-05-23,920.9546508789062
2019-05-24,930.306640625
2019-05-27,951.948486328125
2019-05-28,946.7584838867188
2019-05-29,945.191650390625
2019-05-30,940.2952880859375
2019-05-31,946.4156494140625
2019-06-03,950.0880126953125
2019-06-04,950.4796752929688
2019-06-06,945.7301635742188
2019-06-07,943.18408203125
2019-06-10,942.4985961914062
2019-06-11,946.268798828125
2019-06-12,947.8356323242188
2019-06-13,950.3328247070312
2019-06-14,953.4174194335938
2019-06-17,928.9846801757812
2019-06-18,940.4911499023438
2019-06-19,950.2348022460938
2019-06-20,965.854248046875
2019-06-21,970.9464721679688
2019-06-24,951.7527465820312
2019-06-25,951.8016967773438
2019-06-26,947.7376708984375
2019-06-27,935.1051025390625
2019-06-28,951.1651611328125
2019-07-01,933.9299926757812
2019-07-02,936.7210083007812
2019-07-03,963.210205078125
2019-07-04,968.3024291992188
2019-07-05,957.138671875
2019-07-08,949.1087036132812
2019-07-09,942.3516845703125
2019-07-10,974.3248291015625
2019-07-11,990.2869873046875
2019-07-12,1046.056396484375
2019-07-15,1021.9664306640625
2019-07-16,1010.6068115234375
2019-07-17,1017.4127197265625
2019-07-18,1005.4657592773438
2019-07-19,1009.9214477539062
2019-07-22,1000.6672973632812
2019-07-23,1030.3392333984375
2019-07-24,1027.7440185546875
2019-07-25,1008.5993041992188
2019-07-26,991.21728515625
2019-07-29,995.526123046875
2019-07-30,984.8521118164062
2019-07-31,997.8273315429688
2019-08-01,1013.5446166992188
2019-08-02,1008.9421997070312
2019-08-05,1005.416748046875
2019-08-06,1023.973876953125
2019-08-07,1021.2809448242188
2019-08-08,1030.5350341796875
2019-08-09,1038.9078369140625
2019-08-13,1009.1378784179688
2019-08-14,1002.52783203125
2019-08-16,1006.2980346679688
2019-08-19,990.4339599609375
2019-08-20,1009.4318237304688
2019-08-21,1025.7855224609375
2019-08-22,1020.5955200195312
2019-08-23,1022.6520385742188
2019-08-26,1018.8816528320312
2019-08-27,1043.0206298828125
2019-08-28,1037.242919921875
2019-08-29,1049.6798095703125
2019-08-30,1137.912109375
2019-09-03,1187.463134765625
2019-09-04,1189.2255859375
2019-09-05,1176.837890625
2019-09-06,1169.4935302734375
2019-09-09,1276.821533203125
2019-09-11,1260.957275390625
2019-09-12,1222.03125
2019-09-13,1248.961181640625
2019-09-16,1213.805419921875
2019-09-17,1206.558837890625
2019-09-18,1218.4569091796875
2019-09-19,1197.79443359375
2019-09-20,1223.500244140625
2019-09-23,1303.3106689453125
2019-09-24,1272.0230712890625
2019-09-25,1251.115478515625
2019-09-26,1260.7125244140625
2019-09-27,1250.9686279296875
2019-09-30,1246.4151611328125
2019-10-01,1223.549072265625
2019-10-03,1212.581298828125
2019-10-04,1204.110595703125
2019-10-07,1228.8861083984375
2019-10-09,1243.7711181640625
2019-10-10,1249.108154296875
2019-10-11,1257.578857421875
2019-10-14,1255.864990234375
2019-10-15,1253.2210693359375
2019-10-16,1247.8349609375
2019-10-17,1244.309814453125
2019-10-18,1336.1162109375
2019-10-22,1313.9359130859375
2019-10-23,1328.428955078125
2019-10-24,1310.3614501953125
2019-10-25,1379.1551513671875
2019-10-27,1428.9022216796875
2019-10-29,1410.7366943359375
2019-10-30,1404.4691162109375
2019-10-31,1417.15087890625
2019-11-01,1400.5521240234375
2019-11-04,1420.67626953125
2019-11-05,1409.1207275390625
2019-11-06,1375.727783203125
2019-11-07,1357.758056640625
2019-11-08,1328.967529296875
2019-11-11,1370.0479736328125
2019-11-13,1368.5301513671875
2019-11-14,1367.0611572265625
2019-11-15,1348.65087890625
2019-11-18,1362.9483642578125
2019-11-19,1378.2738037109375
2019-11-20,1405.9381103515625
2019-11-21,1409.072021484375
2019-11-22,1395.31298828125
2019-11-25,1387.9197998046875
2019-11-26,1396.5860595703125
2019-11-27,1372.3983154296875
2019-11-28,1373.4755859375
2019-11-29,1365.8370361328125
2019-12-02,1346.1536865234375
2019-12-03,1360.4022216796875
2019-12-04,1342.9222412109375
2019-12-05,1335.3818359375
2019-12-06,1330.1427001953125
2019-12-09,1313.9847412109375
2019-12-10,1260.908203125
2019-12-11,1265.6087646484375
2019-12-12,1263.6502685546875
2019-12-13,1267.958984375
2019-12-16,1263.16064453125
2019-12-17,1261.838623046875
2019-12-18,1279.41650390625
2019-12-19,1299.9322509765625
2019-12-20,1293.37109375
2019-12-23,1310.8509521484375
2019-12-24,1349.238525390625
2019-12-26,1354.575439453125
2019-12-27,1391.2003173828125
2019-12-30,1407.1622314453125
2019-12-31,1421.459716796875
2020-01-01,1404.909912109375
2020-01-02,1378.4696044921875
2020-01-03,1374.6995849609375
2020-01-06,1321.7208251953125
2020-01-07,1386.9891357421875
2020-01-08,1464.3516845703125
2020-01-09,1547.5897216796875
2020-01-10,1588.670166015625
2020-01-13,1661.135986328125
