Date,WYNN
2015-08-03,88.08438873291016
2015-08-04,87.64745330810547
2015-08-05,88.49512481689453
2015-08-06,87.99699401855469
2015-08-07,90.57897186279297
2015-08-10,91.33422088623047
2015-08-11,87.40860748291016
2015-08-12,85.58191680908203
2015-08-13,83.09658813476562
2015-08-14,80.94493103027344
2015-08-17,80.71661376953125
2015-08-18,79.8296127319336
2015-08-19,79.25878143310547
2015-08-20,75.15753173828125
2015-08-21,71.8115234375
2015-08-24,67.16577911376953
2015-08-25,66.48955535888672
2015-08-26,65.24247741699219
2015-08-27,68.95734405517578
2015-08-28,68.67630004882812
2015-08-31,65.90994262695312
2015-09-01,62.34438705444336
2015-09-02,63.60902404785156
2015-09-03,64.8297348022461
2015-09-04,64.17105102539062
2015-09-08,65.73429870605469
2015-09-09,64.14471435546875
2015-09-10,61.18515396118164
2015-09-11,59.47262191772461
2015-09-14,60.13131332397461
2015-09-15,61.782325744628906
2015-09-16,64.79459381103516
2015-09-17,61.71208572387695
2015-09-18,60.10496520996094
2015-09-21,58.45389938354492
2015-09-22,56.14419937133789
2015-09-23,52.903602600097656
2015-09-24,52.543514251708984
2015-09-25,51.13838195800781
2015-09-28,47.792388916015625
2015-09-29,46.73854064941406
2015-09-30,46.65071105957031
2015-10-01,45.41242218017578
2015-10-02,55.78413391113281
2015-10-05,56.987281799316406
2015-10-06,59.58679962158203
2015-10-07,63.22259521484375
2015-10-08,66.66519927978516
2015-10-09,66.2173080444336
2015-10-12,62.52881622314453
2015-10-13,61.755977630615234
2015-10-14,63.55632781982422
2015-10-15,64.77706146240234
2015-10-16,64.02178955078125
2015-10-19,59.93806457519531
2015-10-20,58.770057678222656
2015-10-21,56.61843490600586
2015-10-22,55.48554229736328
2015-10-23,59.36725997924805
2015-10-26,58.32218551635742
2015-10-27,56.69747543334961
2015-10-28,59.10377502441406
2015-10-29,61.387149810791016
2015-10-30,61.43103790283203
2015-11-02,63.39823913574219
2015-11-03,65.21614837646484
2015-11-04,63.99543762207031
2015-11-05,64.09203338623047
2015-11-06,64.97903442382812
2015-11-09,60.2574577331543
