Date,FLRY3.SA
2015-08-24,5.28751277923584
2015-08-25,5.361076831817627
2015-08-26,5.241532802581787
2015-08-27,5.16490364074707
2015-08-28,5.088271617889404
2015-08-31,5.088271617889404
2015-09-01,4.996315002441406
2015-09-02,5.088271617889404
2015-09-03,5.069880962371826
2015-09-04,4.839988708496094
2015-09-08,4.996315002441406
2015-09-09,5.036163330078125
2015-09-10,5.28751277923584
2015-09-11,5.097468376159668
2015-09-14,5.16490364074707
2015-09-15,5.183293342590332
2015-09-16,5.272185802459717
2015-09-17,5.210881233215332
2015-09-18,5.149578094482422
2015-09-21,5.026968002319336
2015-09-22,4.980989933013916
2015-09-23,4.965662479400635
2015-09-24,4.987120151519775
2015-09-25,4.919684886932373
2015-09-28,4.8583807945251465
2015-09-29,4.895163536071777
2015-09-30,4.980989933013916
2015-10-01,4.996315002441406
2015-10-02,5.118924617767334
2015-10-05,5.020838260650635
2015-10-06,4.9350128173828125
2015-10-07,4.996315002441406
2015-10-08,5.118924617767334
2015-10-09,4.980989933013916
2015-10-13,4.962597846984863
2015-10-14,4.931946754455566
2015-10-15,4.925816059112549
2015-10-16,4.873706340789795
2015-10-19,4.959532260894775
2015-10-20,5.060685157775879
2015-10-21,4.904358863830566
2015-10-22,5.079075813293457
2015-10-23,4.913554668426514
2015-10-26,5.026968002319336
2015-10-27,4.950338363647461
2015-10-28,4.956467628479004
2015-10-29,4.889033317565918
2015-10-30,5.023902893066406
2015-11-03,5.057620048522949
2015-11-04,5.207817554473877
2015-11-05,5.042293548583984
2015-11-06,5.017771244049072
2015-11-09,5.04842472076416
2015-11-10,4.941142559051514
2015-11-11,4.965662479400635
2015-11-12,4.980989933013916
2015-11-13,4.904358863830566
2015-11-16,4.9074249267578125
2015-11-17,4.950338363647461
2015-11-18,4.8829026222229
2015-11-19,4.996315002441406
2015-11-23,4.974859237670898
2015-11-24,4.904358863830566
2015-11-25,4.904358863830566
2015-11-26,4.996315002441406
2015-11-27,5.054554462432861
2015-11-30,4.968728065490723
2015-12-01,4.873706340789795
2015-12-02,4.8798370361328125
2015-12-03,4.904358863830566
2015-12-04,4.904358863830566
2015-12-07,4.904358863830566
2015-12-08,4.849184989929199
2015-12-09,4.889033317565918
2015-12-10,4.784814834594727
2015-12-11,4.7357707023620605
2015-12-14,4.597836971282959
2015-12-15,4.659142017364502
2015-12-16,4.7357707023620605
