Date,PNB.NS
2015-08-03,143.86361694335938
2015-08-04,147.6677703857422
2015-08-05,147.52862548828125
2015-08-06,150.26577758789062
2015-08-07,148.36367797851562
2015-08-10,147.6214141845703
2015-08-11,144.6986541748047
2015-08-12,141.6831512451172
2015-08-13,141.82232666015625
2015-08-14,154.2555389404297
2015-08-17,160.79693603515625
2015-08-18,158.2917022705078
2015-08-19,155.87928771972656
2015-08-20,147.52862548828125
2015-08-21,147.85336303710938
2015-08-24,132.31182861328125
2015-08-25,133.75
2015-08-26,132.12625122070312
2015-08-27,135.37374877929688
2015-08-28,132.91493225097656
2015-08-31,134.39950561523438
2015-09-01,125.07457733154297
2015-09-02,120.2033462524414
2015-09-03,121.36316680908203
2015-09-04,121.3167724609375
2015-09-07,118.67239379882812
2015-09-08,123.26526641845703
2015-09-09,125.86325073242188
2015-09-10,124.28588104248047
2015-09-11,124.79622650146484
2015-09-14,127.3014144897461
2015-09-15,125.44571685791016
2015-09-16,126.65193176269531
2015-09-18,128.5540313720703
2015-09-21,129.66744995117188
2015-09-22,124.79622650146484
2015-09-23,125.86325073242188
2015-09-24,126.048828125
2015-09-28,125.12097930908203
2015-09-29,125.30654907226562
2015-09-30,123.63640594482422
2015-10-01,122.89410400390625
2015-10-05,126.28079223632812
2015-10-06,126.9302749633789
2015-10-07,128.92515563964844
2015-10-08,129.01795959472656
2015-10-09,128.18287658691406
2015-10-12,127.62616729736328
2015-10-13,126.79109191894531
2015-10-14,125.77047729492188
2015-10-15,127.44060516357422
2015-10-16,128.69320678710938
2015-10-19,127.3014144897461
2015-10-20,128.22927856445312
2015-10-21,125.95603942871094
2015-10-23,126.00243377685547
2015-10-26,124.56424713134766
2015-10-27,124.65703582763672
2015-10-28,121.08480834960938
2015-10-29,119.5538558959961
2015-10-30,119.08992004394531
2015-11-02,120.11054992675781
2015-11-03,120.85284423828125
2015-11-04,121.64151763916016
2015-11-05,120.24974060058594
2015-11-06,123.31166076660156
2015-11-09,125.49211120605469
2015-11-10,124.1003189086914
2015-11-13,126.97666931152344
2015-11-16,130.03858947753906
2015-11-17,130.68807983398438
2015-11-18,126.32717895507812
2015-11-19,129.11073303222656
2015-11-20,129.4355010986328
2015-11-23,128.78599548339844
2015-11-24,128.043701171875
2015-11-26,129.85301208496094
2015-11-27,133.88917541503906
2015-11-30,133.98193359375
2015-12-01,133.4252471923828
2015-12-02,129.5282745361328
2015-12-03,126.51276397705078
2015-12-04,124.79622650146484
2015-12-07,124.23950958251953
2015-12-08,122.38380432128906
2015-12-09,120.94563293457031
2015-12-10,119.73941802978516
2015-12-11,114.12591552734375
2015-12-14,115.70325469970703
2015-12-15,112.78052520751953
2015-12-16,112.13102722167969
2015-12-17,113.66197967529297
2015-12-18,113.19805908203125
2015-12-21,113.7083740234375
2015-12-22,111.9454574584961
2015-12-23,112.54856872558594
2015-12-24,111.43513488769531
2015-12-28,111.75988006591797
2015-12-29,111.34235382080078
2015-12-30,109.30107879638672
2015-12-31,107.35257720947266
2016-01-01,109.11550903320312
2016-01-04,104.66181182861328
2016-01-05,102.62052917480469
2016-01-06,101.69268035888672
2016-01-07,97.470947265625
2016-01-08,97.51734161376953
2016-01-11,95.47607421875
2016-01-12,92.4605484008789
2016-01-13,90.92958068847656
2016-01-14,90.7440185546875
2016-01-15,85.54803466796875
2016-01-18,84.29544067382812
2016-01-19,85.77999877929688
2016-01-20,80.95516967773438
2016-01-21,82.207763671875
2016-01-22,85.8263931274414
2016-01-25,85.2232894897461
2016-01-27,86.98621368408203
2016-01-28,84.80575561523438
2016-01-29,84.71297454833984
2016-02-01,83.55316162109375
2016-02-02,83.04283905029297
2016-02-03,82.81087493896484
2016-02-04,84.34182739257812
2016-02-05,87.86766815185547
2016-02-08,87.49653625488281
2016-02-09,81.41909790039062
2016-02-10,74.18183898925781
2016-02-11,71.49107360839844
2016-02-12,68.33637237548828
2016-02-15,70.98074340820312
2016-02-16,67.26933288574219
2016-02-17,67.40852355957031
2016-02-18,67.22294616699219
2016-02-19,70.656005859375
2016-02-22,70.09928894042969
2016-02-23,67.45490264892578
2016-02-24,66.990966796875
2016-02-25,66.57344818115234
2016-02-26,67.26933288574219
2016-02-29,65.87755584716797
2016-03-01,68.33637237548828
2016-03-02,72.97563171386719
2016-03-03,73.30037689208984
2016-03-04,77.01178741455078
2016-03-08,75.62001037597656
2016-03-09,76.73343658447266
2016-03-10,75.89836883544922
2016-03-11,75.94475555419922
2016-03-14,76.36229705810547
2016-03-15,77.29015350341797
2016-03-16,76.77983856201172
2016-03-17,76.77983856201172
2016-03-18,78.21800231933594
2016-03-21,80.16649627685547
2016-03-22,79.74896240234375
2016-03-23,78.5891342163086
2016-03-28,76.22311401367188
2016-03-29,76.03754425048828
2016-03-30,79.37782287597656
2016-03-31,78.5891342163086
2016-04-01,81.32630920410156
2016-04-04,80.58403015136719
2016-04-05,76.82622528076172
2016-04-06,75.4808349609375
2016-04-07,75.15608215332031
2016-04-08,75.62001037597656
2016-04-11,77.05819702148438
2016-04-12,77.42932891845703
2016-04-13,78.49635314941406
2016-04-18,76.54785919189453
2016-04-20,78.21800231933594
2016-04-21,82.207763671875
2016-04-22,83.59954833984375
2016-04-25,82.76447296142578
2016-04-26,83.64594268798828
2016-04-27,83.59954833984375
2016-04-28,81.83662414550781
2016-04-29,80.67681121826172
2016-05-02,78.07882690429688
2016-05-03,76.91900634765625
2016-05-04,75.38805389404297
2016-05-05,75.57361602783203
2016-05-06,74.87772369384766
2016-05-09,76.77983856201172
