Date,IAM.SN
2015-08-24,571.6201782226562
2015-08-25,572.2789306640625
2015-08-26,576.8599853515625
2015-08-27,583.477294921875
2015-08-28,577.3390502929688
2015-08-31,587.1661376953125
2015-09-01,583.5491943359375
2015-09-02,583.69287109375
2015-09-03,581.0280151367188
2015-09-04,578.3032836914062
2015-09-07,574.889892578125
2015-09-08,580.9141845703125
2015-09-09,580.3154296875
2015-09-10,574.0574951171875
2015-09-11,577.6326293945312
2015-09-14,577.62060546875
2015-09-15,574.90185546875
2015-09-16,580.8782958984375
2015-09-17,584.0342407226562
2015-09-21,576.3571166992188
2015-09-22,576.4708251953125
2015-09-23,577.3810424804688
2015-09-24,580.8782958984375
2015-09-25,580.7225952148438
2015-09-28,575.7581787109375
2015-09-29,573.6921997070312
2015-09-30,576.015625
2015-10-01,575.89599609375
2015-10-02,575.3450317382812
2015-10-05,577.8001708984375
2015-10-06,580.8782958984375
2015-10-07,578.991943359375
2015-10-08,586.177978515625
2015-10-09,589.5136108398438
2015-10-13,581.2615356445312
2015-10-14,583.5910034179688
2015-10-15,591.0106811523438
2015-10-16,583.2437133789062
2015-10-19,585.5133056640625
2015-10-20,588.2919311523438
2015-10-21,585.537353515625
2015-10-22,588.759033203125
2015-10-23,593.2564086914062
2015-10-26,588.2859497070312
2015-10-27,586.8607788085938
2015-10-28,583.6150512695312
2015-10-29,583.0101318359375
2015-10-30,589.5853881835938
2015-11-02,589.9507446289062
2015-11-03,593.771484375
2015-11-04,598.837646484375
2015-11-05,591.2802124023438
2015-11-06,591.2562866210938
2015-11-09,590.5077514648438
2015-11-10,596.96923828125
2015-11-11,593.6395874023438
2015-11-12,595.8494262695312
2015-11-13,594.1126098632812
2015-11-16,594.286376953125
2015-11-17,592.7952880859375
2015-11-18,587.555419921875
2015-11-19,597.0470581054688
2015-11-20,598.6221313476562
2015-11-23,598.23876953125
2015-11-24,593.1845703125
2015-11-25,595.1246948242188
2015-11-26,595.8793334960938
2015-11-27,597.73583984375
2015-11-30,593.0887451171875
2015-12-01,589.86083984375
2015-12-02,589.2322998046875
2015-12-03,593.7474975585938
2015-12-04,597.2387084960938
2015-12-07,596.1488037109375
2015-12-09,592.4119873046875
2015-12-10,594.5738525390625
2015-12-11,598.9035034179688
2015-12-14,597.5740966796875
2015-12-15,597.9453125
2015-12-16,592.6036376953125
2015-12-17,593.813232421875
2015-12-18,589.4657592773438
2015-12-21,591.4599609375
2015-12-22,590.226318359375
2015-12-23,598.0232543945312
2015-12-24,598.0232543945312
2015-12-28,597.0231323242188
2015-12-29,601.1790771484375
2015-12-30,598.4484252929688
2015-12-31,598.4484252929688
2016-01-04,597.0470581054688
2016-01-05,598.7477416992188
2016-01-06,600.3407592773438
2016-01-07,607.1675415039062
2016-01-08,594.7295532226562
2016-01-11,604.2332763671875
2016-01-12,600.699951171875
2016-01-13,598.39208984375
2016-01-14,592.7136840820312
2016-01-15,589.2235717773438
2016-01-18,586.9682006835938
2016-01-19,590.3970947265625
2016-01-20,590.5682983398438
