Date,MCX.NS
2015-08-21,931.8286743164062
2015-08-24,852.05078125
2015-08-25,869.3729858398438
2015-08-26,864.2808837890625
2015-08-27,898.0112915039062
2015-08-28,877.38134765625
2015-08-31,876.16259765625
2015-09-01,848.8301391601562
2015-09-02,839.7774047851562
2015-09-03,866.7181396484375
2015-09-04,822.2376098632812
2015-09-07,800.3019409179688
2015-09-08,827.5474243164062
2015-09-09,830.3328247070312
2015-09-10,832.7701416015625
2015-09-11,828.15673828125
2015-09-14,831.5515747070312
2015-09-15,826.1981811523438
2015-09-16,847.5315551757812
2015-09-18,837.9425659179688
2015-09-21,833.455810546875
2015-09-22,826.5060424804688
2015-09-23,811.2427368164062
2015-09-24,825.23046875
2015-09-28,837.3706665039062
2015-09-29,845.7720947265625
2015-09-30,824.4387817382812
2015-10-01,812.518310546875
2015-10-05,799.6742553710938
2015-10-06,805.7003784179688
2015-10-07,835.0394897460938
2015-10-08,845.5962524414062
2015-10-09,839.6141357421875
2015-10-12,830.9487915039062
2015-10-13,832.9720458984375
2015-10-14,822.5912475585938
2015-10-15,819.8200073242188
2015-10-16,815.4215698242188
2015-10-19,823.5150146484375
2015-10-20,824.3947143554688
2015-10-21,821.62353515625
2015-10-23,812.16650390625
2015-10-26,801.0377807617188
2015-10-27,799.2344360351562
2015-10-28,802.533447265625
2015-10-29,799.1904907226562
2015-10-30,784.1910400390625
2015-11-02,780.2763061523438
2015-11-03,789.0296020507812
2015-11-04,782.9594116210938
2015-11-05,766.6844482421875
2015-11-06,756.1276245117188
2015-11-09,737.345458984375
2015-11-10,732.0230102539062
2015-11-13,737.2135009765625
2015-11-16,733.2987060546875
2015-11-17,771.302978515625
2015-11-18,753.6644287109375
2015-11-19,754.6759643554688
2015-11-20,765.012939453125
2015-11-23,754.7201538085938
2015-11-24,753.1365356445312
2015-11-26,764.6171264648438
2015-11-27,762.681640625
2015-11-30,761.845947265625
2015-12-01,773.7222900390625
2015-12-02,763.7373046875
2015-12-03,765.1008911132812
2015-12-04,752.7847900390625
2015-12-07,740.9083251953125
2015-12-08,720.5425415039062
2015-12-09,701.8043212890625
2015-12-10,722.47802734375
2015-12-11,716.539794921875
2015-12-14,692.2593383789062
2015-12-15,699.0332641601562
2015-12-16,708.4462890625
2015-12-17,704.8394775390625
2015-12-18,705.3233032226562
2015-12-21,710.0737915039062
2015-12-22,752.8727416992188
2015-12-23,745.5269165039062
2015-12-24,758.01904296875
2015-12-28,774.822021484375
2015-12-29,787.4461059570312
2015-12-30,793.4722900390625
2015-12-31,814.4537963867188
2016-01-01,815.5534057617188
2016-01-04,804.7767333984375
2016-01-05,789.9972534179688
2016-01-06,796.815185546875
2016-01-07,782.4755249023438
2016-01-08,791.6688232421875
2016-01-11,792.32861328125
2016-01-12,786.7422485351562
2016-01-13,765.8487548828125
2016-01-14,759.0748901367188
2016-01-15,733.1227416992188
2016-01-18,716.495849609375
2016-01-19,725.64501953125
2016-01-20,726.5687255859375
