Date,CNA.L
2015-08-24,239.52867126464844
2015-08-25,242.81539916992188
2015-08-26,235.14646911621094
2015-08-27,240.425048828125
2015-08-28,242.2177734375
2015-09-01,236.04281616210938
2015-09-02,235.54483032226562
2015-09-03,237.33758544921875
2015-09-04,232.45736694335938
2015-09-07,232.45736694335938
2015-09-08,234.94725036621094
2015-09-09,237.33758544921875
2015-09-10,231.26219177246094
2015-09-11,228.0751190185547
2015-09-14,226.97958374023438
2015-09-15,228.37393188476562
2015-09-16,233.95126342773438
2015-09-17,231.16262817382812
2015-09-18,227.4775848388672
2015-09-21,225.2864532470703
2015-09-22,220.6054229736328
2015-09-23,222.5973663330078
2015-09-24,219.3106689453125
2015-09-25,222.7965545654297
2015-09-28,219.3106689453125
2015-09-29,221.90017700195312
2015-09-30,228.2743377685547
2015-10-01,220.63980102539062
2015-10-02,224.12619018554688
2015-10-05,229.10678100585938
2015-10-06,229.00717163085938
2015-10-07,235.28269958496094
2015-10-08,240.3628692626953
2015-10-09,242.15591430664062
2015-10-12,237.9722137451172
2015-10-13,232.89199829101562
2015-10-14,233.39010620117188
2015-10-15,236.87649536132812
2015-10-16,236.77687072753906
2015-10-19,235.58152770996094
2015-10-20,237.27491760253906
2015-10-21,233.2904510498047
2015-10-22,233.0912322998047
2015-10-23,233.98776245117188
2015-10-26,230.89976501464844
2015-10-27,225.2219696044922
2015-10-28,227.31373596191406
2015-10-29,225.81959533691406
2015-10-30,225.2219696044922
2015-11-02,226.31765747070312
2015-11-03,226.8157196044922
2015-11-04,231.09901428222656
2015-11-05,227.2141571044922
2015-11-06,223.8273468017578
2015-11-09,215.65921020507812
2015-11-10,213.9658203125
2015-11-11,214.16505432128906
2015-11-12,209.88174438476562
2015-11-13,207.98910522460938
2015-11-16,207.7898712158203
2015-11-17,211.3759002685547
2015-11-18,210.77825927734375
2015-11-19,212.77047729492188
2015-11-20,213.06930541992188
2015-11-23,211.4755401611328
2015-11-24,210.77825927734375
2015-11-25,215.26077270507812
2015-11-26,220.63980102539062
2015-11-27,219.9425048828125
2015-11-30,217.2530059814453
2015-12-01,217.8506622314453
2015-12-02,218.24913024902344
2015-12-03,212.47164916992188
2015-12-04,210.57901000976562
2015-12-07,206.19607543945312
2015-12-08,201.1158905029297
2015-12-09,205.29962158203125
2015-12-10,210.67860412597656
2015-12-11,210.08096313476562
2015-12-14,207.29180908203125
2015-12-15,208.48719787597656
2015-12-16,212.0731658935547
2015-12-17,212.67083740234375
2015-12-18,211.1767120361328
2015-12-21,209.38368225097656
2015-12-22,208.28794860839844
2015-12-23,215.95803833007812
2015-12-24,217.35264587402344
2015-12-29,220.04214477539062
2015-12-30,220.04214477539062
2015-12-31,217.2530059814453
2016-01-04,211.2762908935547
2016-01-05,213.9658203125
2016-01-06,212.77047729492188
2016-01-07,209.38368225097656
2016-01-08,206.99301147460938
2016-01-11,205.3992156982422
2016-01-12,205.7976531982422
2016-01-13,209.38368225097656
2016-01-14,211.2762908935547
2016-01-15,206.19607543945312
2016-01-18,204.403076171875
2016-01-19,208.58680725097656
2016-01-20,203.20774841308594
2016-01-21,203.506591796875
2016-01-22,206.39535522460938
2016-01-25,205.3992156982422
2016-01-26,205.8972930908203
2016-01-27,209.28407287597656
2016-01-28,199.4225311279297
2016-01-29,204.00466918945312
2016-02-01,204.30348205566406
2016-02-02,198.52601623535156
2016-02-03,193.64501953125
2016-02-04,195.83648681640625
2016-02-05,195.53765869140625
2016-02-08,191.15475463867188
2016-02-09,187.17027282714844
2016-02-10,187.0706787109375
2016-02-11,182.88697814941406
2016-02-12,188.86367797851562
2016-02-15,191.6527862548828
2016-02-16,190.95553588867188
2016-02-17,193.34620666503906
