Date,TORNTPOWER.NS
2015-08-21,142.3056182861328
2015-08-24,121.2474594116211
2015-08-25,122.10449981689453
2015-08-26,122.75743865966797
2015-08-27,126.34874725341797
2015-08-28,126.83849334716797
2015-08-31,126.14471435546875
2015-09-01,124.83876037597656
2015-09-02,126.30796813964844
2015-09-03,129.20550537109375
2015-09-04,123.7776870727539
2015-09-07,119.90071868896484
2015-09-08,122.10449981689453
2015-09-09,124.87957000732422
2015-09-10,125.00202178955078
2015-09-11,125.04281616210938
2015-09-14,126.55280303955078
2015-09-15,127.81793975830078
2015-09-16,128.55252075195312
2015-09-18,135.08218383789062
2015-09-21,146.4274444580078
2015-09-22,141.40777587890625
2015-09-23,147.65174865722656
2015-09-24,148.22311401367188
2015-09-28,146.46823120117188
2015-09-29,145.97854614257812
2015-09-30,145.40716552734375
2015-10-01,146.998779296875
2015-10-05,147.3252716064453
2015-10-06,146.3458251953125
2015-10-07,145.44798278808594
2015-10-08,145.44798278808594
2015-10-09,144.7949981689453
2015-10-12,143.65232849121094
2015-10-13,143.69313049316406
2015-10-14,144.2236785888672
2015-10-15,144.182861328125
2015-10-16,143.5299072265625
2015-10-19,140.9588623046875
2015-10-20,151.8143768310547
2015-10-21,148.263916015625
2015-10-23,146.4274444580078
2015-10-26,145.4888153076172
2015-10-27,149.65147399902344
2015-10-28,149.52902221679688
2015-10-29,155.60975646972656
2015-10-30,158.58889770507812
2015-11-02,154.91600036621094
2015-11-03,153.9773406982422
2015-11-04,151.1614227294922
2015-11-05,151.1614227294922
2015-11-06,148.67196655273438
2015-11-09,149.2841339111328
2015-11-10,152.46734619140625
2015-11-13,154.71194458007812
2015-11-16,154.18141174316406
2015-11-17,154.3446502685547
2015-11-18,153.85491943359375
2015-11-19,153.28358459472656
2015-11-20,152.79383850097656
2015-11-23,150.7941436767578
2015-11-24,150.34521484375
2015-11-26,150.42684936523438
2015-11-27,150.5084686279297
2015-11-30,150.6309051513672
2015-12-01,155.81381225585938
2015-12-02,160.9151153564453
2015-12-03,156.18113708496094
2015-12-04,152.54898071289062
2015-12-07,152.71224975585938
2015-12-08,146.4274444580078
2015-12-09,144.71337890625
2015-12-10,143.40748596191406
2015-12-11,141.1220703125
2015-12-14,139.57131958007812
2015-12-15,140.5099334716797
2015-12-16,141.04043579101562
2015-12-17,143.73394775390625
2015-12-18,141.65261840820312
2015-12-21,143.5299072265625
2015-12-22,142.7545166015625
2015-12-23,142.3056182861328
2015-12-24,142.38722229003906
2015-12-28,142.42800903320312
2015-12-29,141.2036895751953
2015-12-30,141.44857788085938
2015-12-31,141.65261840820312
2016-01-01,147.52931213378906
