Date,ABB.NS
2015-08-03,1201.1478271484375
2015-08-04,1190.87158203125
2015-08-05,1201.4105224609375
2015-08-06,1204.0340576171875
2015-08-07,1210.2437744140625
2015-08-10,1195.594482421875
2015-08-11,1182.9129638671875
2015-08-12,1161.2672119140625
2015-08-13,1124.7972412109375
2015-08-14,1125.9776611328125
2015-08-17,1119.5057373046875
2015-08-18,1143.6007080078125
2015-08-19,1156.063232421875
2015-08-20,1116.4886474609375
2015-08-21,1111.3287353515625
2015-08-24,1033.3160400390625
2015-08-25,1044.9044189453125
2015-08-26,1040.7938232421875
2015-08-27,1049.451904296875
2015-08-28,1086.7529296875
2015-08-31,1073.5904541015625
2015-09-01,1043.5047607421875
2015-09-02,1014.0752563476562
2015-09-03,1042.4556884765625
2015-09-04,1041.318603515625
2015-09-07,1015.9556274414062
2015-09-08,1012.3700561523438
2015-09-09,1032.8353271484375
2015-09-10,1020.4160766601562
2015-09-11,1005.941650390625
2015-09-14,1006.728759765625
2015-09-15,963.7869873046875
2015-09-16,959.676513671875
2015-09-18,980.84130859375
2015-09-21,968.3347778320312
2015-09-22,964.4429931640625
2015-09-23,961.5130615234375
2015-09-24,952.2426147460938
2015-09-28,922.37548828125
2015-09-29,914.3294067382812
2015-09-30,926.8359375
2015-10-01,922.9878540039062
2015-10-05,967.678955078125
2015-10-06,957.14013671875
2015-10-07,1001.0440673828125
2015-10-08,995.27197265625
2015-10-09,979.3981323242188
2015-10-12,962.8248901367188
2015-10-13,973.8009643554688
2015-10-14,963.0435180664062
2015-10-15,987.5755615234375
2015-10-16,1025.0078125
2015-10-19,1016.3929443359375
2015-10-20,1050.72021484375
2015-10-21,1085.4410400390625
2015-10-23,1095.5423583984375
2015-10-26,1106.2562255859375
2015-10-27,1112.6402587890625
2015-10-28,1113.6461181640625
2015-10-29,1115.1767578125
2015-10-30,1082.7733154296875
2015-11-02,1115.1329345703125
2015-11-03,1107.4803466796875
2015-11-04,1094.2744140625
2015-11-05,1084.610107421875
2015-11-06,1085.83447265625
2015-11-09,1092.1314697265625
2015-11-10,1049.1895751953125
2015-11-13,1055.3116455078125
2015-11-16,1050.282958984375
2015-11-17,1044.42333984375
2015-11-18,1029.4678955078125
2015-11-19,1032.1790771484375
2015-11-20,1027.23779296875
2015-11-23,1027.85009765625
2015-11-24,1014.6002197265625
2015-11-26,1007.0787353515625
2015-11-27,1012.894775390625
2015-11-30,1023.6954956054688
2015-12-01,1026.887939453125
2015-12-02,1026.7567138671875
2015-12-03,1018.5792846679688
2015-12-04,1009.0902099609375
2015-12-07,1005.7667236328125
2015-12-08,1007.7346801757812
2015-12-09,990.2429809570312
2015-12-10,985.607666015625
2015-12-11,973.4511108398438
2015-12-14,971.0459594726562
2015-12-15,1040.5313720703125
2015-12-16,1045.4727783203125
2015-12-17,1031.698486328125
2015-12-18,994.8782348632812
2015-12-21,998.7701416015625
2015-12-22,990.2429809570312
2015-12-23,990.855224609375
2015-12-24,978.5673828125
2015-12-28,978.5673828125
2015-12-29,976.5558471679688
2015-12-30,973.7572021484375
2015-12-31,974.71923828125
2016-01-01,976.4246215820312
2016-01-04,979.6605834960938
2016-01-05,957.271240234375
2016-01-06,942.4472045898438
2016-01-07,921.3261108398438
2016-01-08,923.1627807617188
2016-01-11,880.5706787109375
2016-01-12,897.625
2016-01-13,891.9402465820312
2016-01-14,886.4741821289062
2016-01-15,886.5178833007812
2016-01-18,878.5155029296875
2016-01-19,891.5904541015625
2016-01-20,868.9825439453125
2016-01-21,843.5322265625
2016-01-22,846.7681884765625
2016-01-25,858.0065307617188
2016-01-27,851.2286376953125
2016-01-28,847.4241943359375
2016-01-29,849.3045654296875
2016-02-01,873.5303344726562
2016-02-02,887.3486938476562
2016-02-03,879.7398681640625
2016-02-04,1007.1223754882812
2016-02-05,991.68603515625
2016-02-08,966.279541015625
2016-02-09,980.6226196289062
2016-02-10,922.8129272460938
2016-02-11,949.8374633789062
2016-02-12,909.0382690429688
2016-02-15,969.1656494140625
2016-02-16,958.6270141601562
2016-02-17,964.6177978515625
2016-02-18,957.0526733398438
2016-02-19,964.5303955078125
2016-02-22,967.4602661132812
2016-02-23,948.3069458007812
2016-02-24,946.68896484375
2016-02-25,918.6149291992188
2016-02-26,896.3568725585938
2016-02-29,886.2117919921875
2016-03-01,900.8172607421875
2016-03-02,899.1118774414062
2016-03-03,942.1849365234375
2016-03-04,999.1638793945312
2016-03-08,1008.8277587890625
2016-03-09,1028.98681640625
2016-03-10,1006.728759765625
2016-03-11,1000.0384521484375
2016-03-14,991.423583984375
2016-03-15,997.6331176757812
2016-03-16,984.8643798828125
2016-03-17,1004.3238525390625
2016-03-18,1011.0580444335938
2016-03-21,1029.9052734375
2016-03-22,1034.4093017578125
2016-03-23,1055.1368408203125
2016-03-28,1087.0152587890625
2016-03-29,1057.410888671875
2016-03-30,1084.08544921875
2016-03-31,1121.34228515625
2016-04-01,1132.537109375
2016-04-04,1141.7203369140625
2016-04-05,1120.0743408203125
2016-04-06,1144.125244140625
2016-04-07,1144.125244140625
2016-04-08,1175.52294921875
2016-04-11,1207.9697265625
2016-04-12,1191.7462158203125
2016-04-13,1185.8914794921875
2016-04-18,1177.99658203125
2016-04-20,1161.197998046875
2016-04-21,1167.031494140625
2016-04-22,1173.128173828125
2016-04-25,1180.364990234375
2016-04-26,1130.7152099609375
2016-04-27,1117.16259765625
2016-04-28,1116.9869384765625
2016-04-29,1137.9959716796875
2016-05-02,1112.732666015625
2016-05-03,1087.7320556640625
2016-05-04,1074.925048828125
