Date,ACKB.BR
2015-08-24,103.30645751953125
2015-08-25,109.35365295410156
2015-08-26,107.29593658447266
2015-08-27,109.68962860107422
2015-08-28,108.17781066894531
2015-08-31,111.03343200683594
2015-09-01,110.6974868774414
2015-09-02,111.83135223388672
2015-09-03,112.54525756835938
2015-09-04,111.32740783691406
2015-09-07,111.24341583251953
2015-09-08,112.04131317138672
2015-09-09,112.96517944335938
2015-09-10,112.96517944335938
2015-09-11,112.08329772949219
2015-09-14,111.285400390625
2015-09-15,112.25125885009766
2015-09-16,112.83921813964844
2015-09-17,113.3431396484375
2015-09-18,110.19353485107422
2015-09-21,111.66336059570312
2015-09-22,108.93372344970703
2015-09-23,109.85760498046875
2015-09-24,108.6817398071289
2015-09-25,112.54525756835938
2015-09-28,111.87332153320312
2015-09-29,109.26966857910156
2015-09-30,110.02558135986328
2015-10-01,110.44550323486328
2015-10-02,109.73160552978516
2015-10-05,110.82347106933594
2015-10-06,111.66336059570312
2015-10-07,110.31953430175781
2015-10-08,109.60562133789062
2015-10-09,110.40353393554688
2015-10-12,111.41138458251953
2015-10-13,111.36939239501953
2015-10-14,110.06758117675781
2015-10-15,112.08329772949219
2015-10-16,113.04918670654297
2015-10-19,113.80506896972656
2015-10-20,114.51898193359375
2015-10-21,114.14102935791016
2015-10-22,112.75521087646484
2015-10-23,115.69482421875
2015-10-26,115.61083984375
2015-10-27,114.77094268798828
2015-10-28,116.36674499511719
2015-10-29,116.91265869140625
2015-10-30,116.32473754882812
2015-11-02,117.20663452148438
2015-11-03,116.99665069580078
2015-11-04,115.73683166503906
2015-11-05,117.16464233398438
2015-11-06,118.76045227050781
2015-11-09,119.18037414550781
2015-11-10,120.56617736816406
2015-11-11,121.28007507324219
2015-11-12,118.97039794921875
2015-11-13,118.1304931640625
2015-11-16,118.63443756103516
2015-11-17,120.1882553100586
2015-11-18,119.39036560058594
2015-11-19,120.0202407836914
2015-11-20,117.16464233398438
2015-11-23,117.62657165527344
2015-11-24,110.6554946899414
2015-11-25,110.15155792236328
2015-11-26,109.43765258789062
2015-11-27,110.06758117675781
2015-11-30,110.40353393554688
2015-12-01,109.89959716796875
2015-12-02,110.73948669433594
2015-12-03,108.00984954833984
2015-12-04,109.14369201660156
2015-12-07,109.47964477539062
2015-12-08,108.5557632446289
2015-12-09,106.2040786743164
2015-12-10,106.9599838256836
2015-12-11,106.03609466552734
2015-12-14,106.24607849121094
2015-12-15,108.63975524902344
2015-12-16,110.10956573486328
2015-12-17,111.95731353759766
2015-12-18,111.66336059570312
2015-12-21,109.85760498046875
2015-12-22,109.73160552978516
2015-12-23,110.86547088623047
2015-12-24,111.66336059570312
2015-12-28,111.15943145751953
