Date,BG
2015-08-03,59.68027877807617
2015-08-04,59.141883850097656
2015-08-05,58.82781219482422
2015-08-06,57.75849914550781
2015-08-07,56.995750427246094
2015-08-10,57.57154846191406
2015-08-11,57.02565383911133
2015-08-12,57.818321228027344
2015-08-13,57.28738021850586
2015-08-14,57.06306457519531
2015-08-17,57.26594924926758
2015-08-18,56.78499984741211
2015-08-19,55.417213439941406
2015-08-20,54.79344940185547
2015-08-21,53.327980041503906
2015-08-24,52.77937316894531
2015-08-25,51.80992126464844
2015-08-26,52.33597946166992
2015-08-27,53.90665817260742
2015-08-28,54.53792953491211
2015-08-31,54.44775390625
2015-09-01,52.94470977783203
2015-09-02,53.3054313659668
2015-09-03,53.260353088378906
2015-09-04,52.63658142089844
2015-09-08,53.11005401611328
2015-09-09,52.39610290527344
2015-09-10,52.7568244934082
2015-09-11,52.29841613769531
2015-09-14,52.49378967285156
2015-09-15,53.33549118041992
2015-09-16,53.86157989501953
2015-09-17,53.59102249145508
2015-09-18,53.140106201171875
2015-09-21,53.395633697509766
2015-09-22,52.37355041503906
2015-09-23,52.26081848144531
2015-09-24,52.98229217529297
2015-09-25,53.47078323364258
2015-09-28,51.93767547607422
2015-09-29,54.40266036987305
2015-09-30,55.0865592956543
2015-10-01,55.169227600097656
2015-10-02,56.04096984863281
2015-10-05,56.371646881103516
2015-10-06,56.4467887878418
2015-10-07,57.16825866699219
2015-10-08,57.63421630859375
2015-10-09,57.957366943359375
2015-10-12,57.96488571166992
2015-10-13,58.22038650512695
2015-10-14,58.0926399230957
2015-10-15,57.957366943359375
2015-10-16,58.45337677001953
2015-10-19,58.47590637207031
2015-10-20,58.5736083984375
2015-10-21,58.581119537353516
2015-10-22,59.4378547668457
2015-10-23,59.6783561706543
2015-10-26,59.55810546875
2015-10-27,59.52806091308594
2015-10-28,59.46040344238281
2015-10-29,55.68024826049805
2015-10-30,54.831016540527344
2015-11-02,54.605567932128906
2015-11-03,53.816471099853516
2015-11-04,53.38811111450195
2015-11-05,55.1015739440918
2015-11-06,54.83854675292969
2015-11-09,53.816471099853516
2015-11-10,53.05743408203125
2015-11-11,52.52385711669922
2015-11-12,51.15616989135742
2015-11-13,51.41307830810547
2015-11-16,51.66243362426758
2015-11-17,49.83382034301758
2015-11-18,50.24941635131836
2015-11-19,49.96982955932617
2015-11-20,49.508888244628906
2015-11-23,51.66243362426758
2015-11-24,50.665016174316406
2015-11-25,51.209068298339844
2015-11-27,50.63478469848633
2015-11-30,50.33253860473633
2015-12-01,49.80359649658203
2015-12-02,49.44089126586914
2015-12-03,48.6625862121582
2015-12-04,49.10085678100586
2015-12-07,49.1235237121582
2015-12-08,47.92207336425781
2015-12-09,47.94475173950195
2015-12-10,47.99763107299805
2015-12-11,47.574485778808594
2015-12-14,46.70551300048828
2015-12-15,47.2873420715332
2015-12-16,47.73317337036133
2015-12-17,48.39056396484375
2015-12-18,49.947147369384766
2015-12-21,49.599571228027344
2015-12-22,50.52143478393555
2015-12-23,51.19395065307617
2015-12-24,51.70021438598633
2015-12-28,51.40552520751953
2015-12-29,52.07804870605469
2015-12-30,51.94956970214844
2015-12-31,51.59444046020508
2016-01-04,50.491207122802734
2016-01-05,50.30985641479492
2016-01-06,50.438323974609375
2016-01-07,50.279632568359375
2016-01-08,49.96226501464844
2016-01-11,50.21162414550781
2016-01-12,49.24442672729492
2016-01-13,49.01773452758789
2016-01-14,48.32255554199219
2016-01-15,46.69793701171875
2016-01-19,45.98011779785156
2016-01-20,45.065792083740234
2016-01-21,44.89955139160156
2016-01-22,45.28493118286133
2016-01-25,44.60485076904297
2016-01-26,44.8239860534668
2016-01-27,44.2874870300293
2016-01-28,45.398258209228516
2016-01-29,46.85663604736328
2016-02-01,46.274803161621094
2016-02-02,44.15148162841797
2016-02-03,44.75596618652344
2016-02-04,44.959991455078125
2016-02-05,44.9071044921875
2016-02-08,44.12125015258789
2016-02-09,42.88201904296875
2016-02-10,44.15148162841797
2016-02-11,36.111572265625
2016-02-12,39.19639587402344
2016-02-16,39.72957992553711
2016-02-17,38.38901901245117
2016-02-18,38.526123046875
2016-02-19,37.17793655395508
2016-02-22,39.097389221191406
2016-02-23,37.85584259033203
2016-02-24,37.77204513549805
2016-02-25,38.83840560913086
2016-02-26,38.442325592041016
2016-02-29,37.87105941772461
2016-03-01,38.08433151245117
2016-03-02,39.22686767578125
2016-03-03,41.14631652832031
2016-03-04,41.81660461425781
2016-03-07,42.616371154785156
2016-03-08,41.755672454833984
2016-03-09,42.197452545166016
2016-03-10,42.43357467651367
2016-03-11,42.81440353393555
2016-03-14,41.89277267456055
2016-03-15,41.709957122802734
2016-03-16,41.755672454833984
2016-03-17,42.34217071533203
2016-03-18,42.52497100830078
2016-03-21,42.15174865722656
2016-03-22,41.961334228515625
2016-03-23,41.31388854980469
2016-03-24,42.54021072387695
2016-03-28,42.7839469909668
2016-03-29,43.36283493041992
2016-03-30,43.03530502319336
2016-03-31,43.1647834777832
2016-04-01,43.3399772644043
2016-04-04,42.63161087036133
2016-04-05,42.425960540771484
2016-04-06,42.365028381347656
2016-04-07,42.98199462890625
2016-04-08,42.844871520996094
2016-04-11,42.76109313964844
2016-04-12,42.96674346923828
2016-04-13,43.058143615722656
2016-04-14,43.06578063964844
2016-04-15,43.804603576660156
2016-04-18,44.10166931152344
2016-04-19,45.08424377441406
2016-04-20,45.335594177246094
2016-04-21,45.26704406738281
2016-04-22,45.61742401123047
2016-04-25,45.15278625488281
2016-04-26,45.67835998535156
2016-04-27,46.05158615112305
