Date,UPS
2015-08-03,72.84722900390625
2015-08-04,72.76924133300781
2015-08-05,72.98192596435547
2015-08-06,72.620361328125
2015-08-07,72.41474914550781
2015-08-10,73.3293228149414
2015-08-11,73.01738739013672
2015-08-12,72.8968505859375
2015-08-13,72.7183609008789
2015-08-14,73.35385131835938
2015-08-17,73.47525024414062
2015-08-18,73.37527465820312
2015-08-19,73.05392456054688
2015-08-20,72.15425872802734
2015-08-21,70.79043579101562
2015-08-24,68.19843292236328
2015-08-25,67.44869232177734
2015-08-26,68.99818420410156
2015-08-27,70.79756164550781
2015-08-28,70.43340301513672
2015-08-31,69.72650909423828
2015-09-01,67.97709655761719
2015-09-02,69.0553207397461
2015-09-03,69.09812927246094
2015-09-04,68.04850006103516
2015-09-08,69.92642974853516
2015-09-09,69.29808044433594
2015-09-10,69.13386535644531
2015-09-11,69.3908920288086
2015-09-14,69.26949310302734
2015-09-15,71.77580261230469
2015-09-16,71.46161651611328
2015-09-17,71.84718322753906
2015-09-18,70.20489501953125
2015-09-21,71.15458679199219
2015-09-22,70.34059143066406
2015-09-23,69.66935729980469
2015-09-24,69.6194076538086
2015-09-25,70.51908111572266
2015-09-28,69.45515441894531
2015-09-29,70.07637023925781
2015-09-30,70.4690933227539
2015-10-01,70.39055633544922
2015-10-02,70.96180725097656
2015-10-05,72.49699401855469
2015-10-06,72.42557525634766
2015-10-07,73.00397491455078
2015-10-08,73.81796264648438
2015-10-09,74.0322036743164
2015-10-12,74.55343627929688
2015-10-13,73.76085662841797
2015-10-14,73.4466781616211
2015-10-15,74.11788177490234
2015-10-16,74.2249984741211
2015-10-19,74.44633483886719
2015-10-20,74.66056060791016
2015-10-21,75.160400390625
2015-10-22,75.99581146240234
2015-10-23,76.260009765625
2015-10-26,75.81729125976562
2015-10-27,73.61804962158203
2015-10-28,73.28244018554688
2015-10-29,73.88223266601562
2015-10-30,73.5609359741211
2015-11-02,74.66767120361328
2015-11-03,74.60343933105469
2015-11-04,74.26068878173828
2015-11-05,74.4249267578125
2015-11-06,74.96756744384766
2015-11-09,74.2678451538086
2015-11-10,74.50348663330078
2015-11-11,74.83191680908203
