Date,LMP.L
2015-08-24,158.27645874023438
2015-08-25,157.8782501220703
2015-08-26,155.8873748779297
2015-08-27,161.46185302734375
2015-08-28,161.5614013671875
2015-09-01,160.06822204589844
2015-09-02,163.75143432617188
2015-09-03,164.94590759277344
2015-09-04,161.76055908203125
2015-09-07,160.96412658691406
2015-09-08,162.45733642578125
2015-09-09,165.24464416503906
2015-09-10,165.3441162109375
2015-09-11,165.24464416503906
2015-09-14,166.7377166748047
2015-09-15,164.05007934570312
2015-09-16,159.7696533203125
2015-09-17,159.27188110351562
2015-09-18,159.07281494140625
2015-09-21,159.27188110351562
2015-09-22,157.28102111816406
2015-09-23,159.47097778320312
2015-09-24,159.07281494140625
2015-09-25,162.15869140625
2015-09-28,160.16781616210938
2015-09-29,160.46641540527344
2015-09-30,163.35328674316406
2015-10-01,163.25363159179688
2015-10-02,162.35781860351562
2015-10-05,165.54324340820312
2015-10-06,165.24464416503906
2015-10-07,163.25363159179688
2015-10-08,163.25363159179688
2015-10-09,163.35328674316406
2015-10-12,162.35781860351562
2015-10-13,162.9550323486328
2015-10-14,162.35781860351562
2015-10-15,163.5523223876953
2015-10-16,163.4527587890625
2015-10-19,165.54324340820312
2015-10-20,166.239990234375
2015-10-21,165.54324340820312
2015-10-22,166.7377166748047
2015-10-23,168.82818603515625
2015-10-26,168.72865295410156
2015-10-27,168.82818603515625
2015-10-28,169.52499389648438
2015-10-29,168.92771911621094
2015-10-30,168.42999267578125
2015-11-02,169.4254913330078
2015-11-03,168.3304901123047
2015-11-04,165.64276123046875
2015-11-05,166.7377166748047
2015-11-06,164.74684143066406
2015-11-09,163.5523223876953
2015-11-10,161.8600311279297
2015-11-11,161.66091918945312
2015-11-12,159.47097778320312
2015-11-13,158.6746368408203
2015-11-16,162.25823974609375
2015-11-17,164.74684143066406
2015-11-18,164.2491455078125
2015-11-19,165.3441162109375
2015-11-20,165.24464416503906
2015-11-23,164.84642028808594
2015-11-24,163.0546112060547
2015-11-25,166.7377166748047
2015-11-26,163.75143432617188
2015-11-27,164.2491455078125
2015-11-30,162.75596618652344
2015-12-01,164.74684143066406
2015-12-02,164.3486785888672
2015-12-03,161.29698181152344
2015-12-04,160.79917907714844
2015-12-07,160.79917907714844
2015-12-08,160.79917907714844
2015-12-09,158.70826721191406
