Date,RAND.AS
2015-08-24,37.427513122558594
2015-08-25,39.3640251159668
2015-08-26,38.98786926269531
2015-08-27,39.900394439697266
2015-08-28,38.54206085205078
2015-08-31,39.2525749206543
2015-09-01,38.026588439941406
2015-09-02,38.618675231933594
2015-09-03,39.28043746948242
2015-09-04,38.12410354614258
2015-09-07,37.88029479980469
2015-09-08,38.63261413574219
2015-09-09,38.76496505737305
2015-09-10,38.53508758544922
2015-09-11,37.94995880126953
2015-09-14,37.60863494873047
2015-09-15,37.9429931640625
2015-09-16,38.11714172363281
2015-09-17,38.50026321411133
2015-09-18,37.483245849609375
2015-09-21,37.80367660522461
2015-09-22,36.57768630981445
2015-09-23,37.19765090942383
2015-09-24,35.943790435791016
2015-09-25,37.11405563354492
2015-09-28,36.94688415527344
2015-09-29,36.19456100463867
2015-09-30,37.06529998779297
2015-10-01,37.01652908325195
2015-10-02,36.82149124145508
2015-10-05,38.23556137084961
2015-10-06,38.465431213378906
2015-10-07,36.884185791015625
2015-10-08,36.32691955566406
2015-10-09,35.776615142822266
2015-10-12,35.08002471923828
2015-10-13,35.38652420043945
2015-10-14,35.01036834716797
2015-10-15,35.52584457397461
2015-10-16,35.45618438720703
2015-10-19,35.518882751464844
2015-10-20,35.44225311279297
2015-10-21,35.254180908203125
2015-10-22,34.85015106201172
2015-10-23,36.55678939819336
2015-10-26,35.7835807800293
2015-10-27,35.54673385620117
2015-10-28,36.06221389770508
2015-10-29,37.87333297729492
2015-10-30,37.8454704284668
2015-11-02,37.706153869628906
2015-11-03,37.67829513549805
2015-11-04,37.594703674316406
2015-11-05,36.98170852661133
2015-11-06,37.52504348754883
2015-11-09,37.1837158203125
2015-11-10,37.5111083984375
2015-11-11,37.58076858520508
2015-11-12,37.63649368286133
2015-11-13,37.22550964355469
2015-11-16,37.35089874267578
2015-11-17,39.92826461791992
2015-11-18,39.510311126708984
2015-11-19,39.872535705566406
2015-11-20,40.39497375488281
2015-11-23,40.28351593017578
2015-11-24,39.53120803833008
2015-11-25,40.5342903137207
2015-11-26,40.6387825012207
2015-11-27,40.88258361816406
2015-11-30,41.230873107910156
2015-12-01,40.959205627441406
2015-12-02,41.13335037231445
2015-12-03,39.86556625366211
2015-12-04,40.48552703857422
2015-12-07,40.569122314453125
2015-12-08,39.97005081176758
2015-12-09,39.26650619506836
2015-12-10,39.50333786010742
2015-12-11,38.88338088989258
2015-12-14,38.103206634521484
2015-12-15,39.245609283447266
2015-12-16,39.078426361083984
2015-12-17,39.7750129699707
2015-12-18,39.294368743896484
2015-12-21,38.94607925415039
2015-12-22,39.48941421508789
2015-12-23,40.290489196777344
2015-12-24,40.47159957885742
2015-12-28,40.26262283325195
2015-12-29,40.76416015625
2015-12-30,40.520355224609375
2016-01-04,38.841590881347656
2016-01-05,38.69530487060547
2016-01-06,37.852439880371094
2016-01-07,36.131866455078125
2016-01-08,35.8741340637207
2016-01-11,35.61639404296875
2016-01-12,36.013450622558594
2016-01-13,36.03435134887695
2016-01-14,35.6651611328125
2016-01-15,34.33816146850586
2016-01-18,33.840110778808594
2016-01-19,34.13267135620117
2016-01-20,33.07038116455078
2016-01-21,33.56495666503906
2016-01-22,34.99644088745117
2016-01-25,34.87801742553711
2016-01-26,34.64466094970703
2016-01-27,34.62724685668945
2016-01-28,34.03863525390625
2016-01-29,34.91981506347656
2016-02-01,34.33120346069336
2016-02-02,33.328121185302734
2016-02-03,32.80916213989258
2016-02-04,32.575809478759766
2016-02-05,32.13346862792969
2016-02-08,30.412906646728516
2016-02-09,29.939233779907227
2016-02-10,30.5731258392334
2016-02-11,29.162538528442383
2016-02-12,29.249608993530273
2016-02-15,30.085512161254883
2016-02-16,30.092483520507812
2016-02-17,31.0502872467041
2016-02-18,32.499176025390625
2016-02-19,32.52704620361328
2016-02-22,33.042518615722656
2016-02-23,33.014652252197266
2016-02-24,31.774734497070312
2016-02-25,32.42255401611328
2016-02-26,33.10520935058594
2016-02-29,33.20273208618164
2016-03-01,34.15357208251953
2016-03-02,34.00032424926758
2016-03-03,33.986385345458984
2016-03-04,34.10829544067383
2016-03-07,33.5579948425293
2016-03-08,33.11217498779297
2016-03-09,33.29328536987305
2016-03-10,32.69422912597656
2016-03-11,33.77741622924805
2016-03-14,34.0873908996582
2016-03-15,33.70427322387695
2016-03-16,33.230594635009766
2016-03-17,33.011173248291016
2016-03-18,32.89971923828125
2016-03-21,32.311100006103516
2016-03-22,32.67681121826172
2016-03-23,32.61063003540039
2016-03-24,32.42255401611328
2016-03-29,33.15397262573242
2016-03-30,34.25457763671875
2016-03-31,33.930660247802734
2016-04-01,34.10829544067383
2016-04-04,34.036163330078125
2016-04-05,32.72333526611328
2016-04-06,32.73053741455078
2016-04-07,33.001041412353516
2016-04-08,33.51319122314453
2016-04-11,33.75483703613281
2016-04-12,33.863037109375
2016-04-13,35.056846618652344
2016-04-14,35.175865173339844
2016-04-15,34.80438232421875
2016-04-18,35.02077865600586
2016-04-19,35.64112854003906
2016-04-20,35.377838134765625
2016-04-21,35.00996398925781
2016-04-22,34.53388214111328
2016-04-25,34.37879180908203
2016-04-26,33.35449981689453
2016-04-27,33.87385940551758
2016-04-28,34.339115142822266
2016-04-29,33.83418273925781
2016-05-02,33.70795440673828
2016-05-03,33.50597381591797
2016-05-04,33.610572814941406
2016-05-05,33.700740814208984
2016-05-06,33.72598648071289
2016-05-09,34.13353729248047
2016-05-10,33.877464294433594
2016-05-11,33.61778259277344
2016-05-12,32.802677154541016
2016-05-13,32.85316848754883
2016-05-16,32.8315315246582
