Date,BCI.SN
2015-08-24,12242.42578125
2015-08-25,12373.3212890625
2015-08-26,12725.69140625
2015-08-27,12874.27734375
2015-08-28,12843.5205078125
2015-08-31,13109.4951171875
2015-09-01,12789.3701171875
2015-09-02,12913.6943359375
2015-09-03,12994.267578125
2015-09-04,12847.4169921875
2015-09-07,12820.5576171875
2015-09-08,12738.6865234375
2015-09-09,12588.3759765625
2015-09-10,12925.8232421875
2015-09-11,12845.68359375
2015-09-14,12825.322265625
2015-09-15,12895.06640625
2015-09-16,12851.314453125
2015-09-17,12553.7158203125
2015-09-21,12833.5537109375
2015-09-22,12585.3408203125
2015-09-23,12393.0048828125
2015-09-24,12383.4765625
2015-09-25,12316.33203125
2015-09-28,12073.3134765625
2015-09-29,12238.35546875
2015-09-30,12238.35546875
2015-10-01,12258.7158203125
2015-10-02,12295.1044921875
2015-10-05,12726.126953125
2015-10-06,12881.2041015625
2015-10-07,12577.9775390625
2015-10-08,12465.3486328125
2015-10-09,12478.775390625
2015-10-13,12400.80078125
2015-10-14,12203.703125
2015-10-15,12215.3994140625
2015-10-16,12331.494140625
2015-10-19,12467.947265625
2015-10-20,12317.6298828125
2015-10-21,12207.169921875
2015-10-22,12236.1943359375
2015-10-23,12260.8837890625
2015-10-26,12258.7158203125
2015-10-27,12256.552734375
2015-10-28,12225.796875
2015-10-29,12228.3955078125
2015-10-30,12215.83203125
2015-11-02,12283.8447265625
2015-11-03,12270.8486328125
2015-11-04,12228.8271484375
2015-11-05,12238.35546875
2015-11-06,12262.6171875
2015-11-09,12292.07421875
2015-11-10,12191.1435546875
2015-11-11,12117.93359375
2015-11-12,12153.455078125
2015-11-13,12155.1865234375
2015-11-16,12068.9814453125
2015-11-17,11864.9521484375
2015-11-18,12067.25
2015-11-19,12170.34765625
2015-11-20,12107.5361328125
2015-11-23,12003.1396484375
2015-11-24,11814.2685546875
2015-11-25,11846.3271484375
2015-11-26,11890.51171875
2015-11-27,11756.6533203125
2015-11-30,11423.53515625
2015-12-01,11525.333984375
2015-12-02,11565.189453125
2015-12-03,11574.7177734375
2015-12-04,11669.5869140625
2015-12-07,11475.94921875
2015-12-09,11094.7490234375
2015-12-10,11166.2236328125
2015-12-11,11059.2265625
2015-12-14,11108.611328125
2015-12-15,11583.3828125
2015-12-16,11796.9423828125
2015-12-17,11831.1630859375
2015-12-18,11400.5791015625
2015-12-21,11313.9404296875
2015-12-22,11217.3388671875
2015-12-23,11621.5009765625
2015-12-24,11652.693359375
2015-12-28,11773.548828125
2015-12-29,11542.2275390625
2015-12-30,11579.0478515625
2015-12-31,11771.4775390625
2016-01-04,11343.3994140625
2016-01-05,11436.9677734375
2016-01-06,11825.099609375
2016-01-07,11628.431640625
2016-01-08,11271.056640625
2016-01-11,11163.193359375
2016-01-12,11214.3076171875
2016-01-13,11355.958984375
2016-01-14,11786.1123046875
2016-01-15,11325.6376953125
2016-01-18,11219.94140625
2016-01-19,11219.94140625
2016-01-20,11496.3125
2016-01-21,11235.5341796875
2016-01-22,11433.93359375
2016-01-25,11634.9326171875
2016-01-26,11794.34375
2016-01-27,11796.0732421875
2016-01-28,11869.2841796875
2016-01-29,11957.220703125
2016-02-01,11884.8779296875
2016-02-02,11539.62890625
2016-02-03,11297.4794921875
2016-02-04,11752.326171875
2016-02-05,11757.955078125
2016-02-08,11359.4248046875
2016-02-09,11517.9716796875
2016-02-10,11491.548828125
2016-02-11,11485.046875
2016-02-12,11600.7119140625
2016-02-15,11555.2236328125
2016-02-16,11787.4111328125
2016-02-17,11913.0361328125
2016-02-18,12218.4345703125
2016-02-19,12124.865234375
2016-02-22,12155.1865234375
2016-02-23,12126.5966796875
2016-02-24,12089.341796875
2016-02-25,12128.763671875
2016-02-26,12096.275390625
2016-02-29,12113.1689453125
2016-03-01,12123.99609375
2016-03-02,12281.6787109375
2016-03-03,12284.7060546875
2016-03-04,12186.376953125
2016-03-07,12216.2685546875
2016-03-08,12018.30078125
2016-03-09,11910.4365234375
2016-03-10,11912.60546875
2016-03-11,12007.4736328125
2016-03-14,12111.43359375
2016-03-15,12315.4638671875
2016-03-16,12238.5537109375
2016-03-17,12463.7666015625
2016-03-18,12667.8349609375
2016-03-21,12606.166015625
2016-03-22,12568.0703125
2016-03-23,12405.7197265625
2016-03-24,12339.0546875
2016-03-28,12290.9873046875
2016-03-29,12315.021484375
2016-03-30,12307.3134765625
2016-03-31,12282.82421875
2016-04-01,12307.3134765625
2016-04-04,12292.7978515625
2016-04-05,12305.49609375
2016-04-06,12321.8203125
