Date,APOLLOHOSP.NS
2015-08-03,1335.1068115234375
2015-08-04,1325.278076171875
2015-08-05,1330.458740234375
2015-08-06,1385.9954833984375
2015-08-07,1391.4669189453125
2015-08-10,1399.8914794921875
2015-08-11,1382.7996826171875
2015-08-12,1320.0001220703125
2015-08-13,1294.483154296875
2015-08-14,1309.686767578125
2015-08-17,1330.9913330078125
2015-08-18,1310.07421875
2015-08-19,1332.7342529296875
2015-08-20,1295.887451171875
2015-08-21,1261.1708984375
2015-08-24,1213.672119140625
2015-08-25,1238.9466552734375
2015-08-26,1213.7203369140625
2015-08-27,1259.0404052734375
2015-08-28,1300.2938232421875
2015-08-31,1297.8243408203125
2015-09-01,1269.4022216796875
2015-09-02,1268.724365234375
2015-09-03,1283.8310546875
2015-09-04,1271.0968017578125
2015-09-07,1220.5955810546875
2015-09-08,1272.452392578125
2015-09-09,1310.219482421875
2015-09-10,1366.046630859375
2015-09-11,1327.9891357421875
2015-09-14,1324.406494140625
2015-09-15,1323.8253173828125
2015-09-16,1293.90234375
2015-09-18,1327.020751953125
2015-09-21,1320.5811767578125
2015-09-22,1330.5555419921875
2015-09-23,1326.2945556640625
2015-09-24,1364.497314453125
2015-09-28,1358.4932861328125
2015-09-29,1394.8560791015625
2015-09-30,1396.01806640625
2015-10-01,1398.68115234375
2015-10-05,1432.2841796875
2015-10-06,1451.60302734375
2015-10-07,1432.913330078125
2015-10-08,1402.3126220703125
2015-10-09,1408.655517578125
2015-10-12,1409.5269775390625
2015-10-13,1406.6702880859375
2015-10-14,1395.67919921875
2015-10-15,1396.211669921875
2015-10-16,1394.4686279296875
2015-10-19,1380.523681640625
2015-10-20,1365.949951171875
2015-10-21,1339.3677978515625
2015-10-23,1361.54345703125
2015-10-26,1375.48828125
2015-10-27,1335.7364501953125
2015-10-28,1301.843017578125
2015-10-29,1277.343017578125
2015-10-30,1271.2423095703125
2015-11-02,1299.3253173828125
2015-11-03,1305.8616943359375
2015-11-04,1322.9052734375
2015-11-05,1301.6494140625
2015-11-06,1303.2955322265625
2015-11-09,1282.2818603515625
2015-11-10,1232.7003173828125
2015-11-13,1209.5079345703125
2015-11-16,1239.140380859375
2015-11-17,1279.5701904296875
2015-11-18,1262.478271484375
2015-11-19,1277.4881591796875
2015-11-20,1289.5928955078125
2015-11-23,1306.5880126953125
2015-11-24,1286.6876220703125
2015-11-26,1296.177978515625
2015-11-27,1290.17431640625
2015-11-30,1283.1531982421875
2015-12-01,1298.0662841796875
2015-12-02,1335.7364501953125
2015-12-03,1317.627685546875
2015-12-04,1319.128662109375
2015-12-07,1327.2630615234375
2015-12-08,1304.6998291015625
2015-12-09,1318.3052978515625
2015-12-10,1349.4871826171875
2015-12-11,1337.479736328125
2015-12-14,1355.7816162109375
2015-12-15,1348.0347900390625
2015-12-16,1334.2354736328125
2015-12-17,1379.410400390625
2015-12-18,1400.1822509765625
2015-12-21,1404.1041259765625
2015-12-22,1403.6197509765625
2015-12-23,1384.542724609375
2015-12-24,1391.4183349609375
2015-12-28,1396.744384765625
2015-12-29,1413.691162109375
2015-12-30,1415.918212890625
2015-12-31,1420.082275390625
2016-01-01,1414.611083984375
2016-01-04,1404.249267578125
2016-01-05,1422.067626953125
2016-01-06,1409.333251953125
2016-01-07,1352.4893798828125
2016-01-08,1360.1396484375
2016-01-11,1317.8212890625
2016-01-12,1318.40234375
2016-01-13,1322.17919921875
2016-01-14,1333.266845703125
2016-01-15,1321.1136474609375
2016-01-18,1307.411376953125
2016-01-19,1363.96484375
2016-01-20,1316.3203125
2016-01-21,1324.5997314453125
2016-01-22,1357.8154296875
2016-01-25,1376.1663818359375
2016-01-27,1347.9862060546875
2016-01-28,1364.7877197265625
2016-01-29,1426.4251708984375
2016-02-01,1451.022216796875
2016-02-02,1388.9493408203125
2016-02-03,1437.610107421875
2016-02-04,1376.9891357421875
2016-02-05,1409.9141845703125
2016-02-08,1407.638427734375
2016-02-09,1389.8203125
2016-02-10,1401.2474365234375
2016-02-11,1377.8125
2016-02-12,1360.236328125
2016-02-15,1398.923095703125
2016-02-16,1379.168212890625
2016-02-17,1376.8441162109375
2016-02-18,1384.68798828125
2016-02-19,1383.5260009765625
2016-02-22,1382.9449462890625
2016-02-23,1391.805419921875
2016-02-24,1393.161376953125
2016-02-25,1399.020263671875
2016-02-26,1388.2708740234375
2016-02-29,1417.5645751953125
2016-03-01,1449.860107421875
2016-03-02,1450.489501953125
2016-03-03,1383.622802734375
2016-03-04,1365.5140380859375
2016-03-08,1363.5289306640625
2016-03-09,1350.02001953125
2016-03-10,1359.6552734375
2016-03-11,1370.0655517578125
2016-03-14,1363.77099609375
2016-03-15,1311.3814697265625
2016-03-16,1316.9981689453125
2016-03-17,1339.1741943359375
2016-03-18,1352.2474365234375
2016-03-21,1356.9923095703125
2016-03-22,1351.74072265625
2016-03-23,1353.9287109375
2016-03-28,1337.29833984375
2016-03-29,1300.14697265625
2016-03-30,1284.5863037109375
2016-03-31,1292.804443359375
2016-04-01,1311.9149169921875
2016-04-04,1317.1663818359375
2016-04-05,1310.2613525390625
2016-04-06,1312.109619140625
2016-04-07,1317.3123779296875
2016-04-08,1333.0191650390625
2016-04-11,1315.7564697265625
2016-04-12,1312.2064208984375
2016-04-13,1311.088134765625
2016-04-18,1323.9742431640625
2016-04-20,1348.3367919921875
2016-04-21,1338.4654541015625
2016-04-22,1321.056640625
2016-04-25,1288.768310546875
2016-04-26,1289.643798828125
2016-04-27,1280.647705078125
2016-04-28,1277.09765625
2016-04-29,1276.1251220703125
