Date,ABBOTINDIA.NS
2015-08-21,4422.6416015625
2015-08-24,4296.29541015625
2015-08-25,4279.90576171875
2015-08-26,4271.50390625
2015-08-27,4394.68115234375
2015-08-28,4390.18212890625
2015-08-31,4408.591796875
2015-09-01,4326.82666015625
2015-09-02,4595.03515625
2015-09-03,4691.7216796875
2015-09-04,4787.07763671875
2015-09-07,4910.3466796875
2015-09-08,4817.01123046875
2015-09-09,4946.7998046875
2015-09-10,4995.51123046875
2015-09-11,4945.1474609375
2015-09-14,5022.0478515625
2015-09-15,4913.33154296875
2015-09-16,4856.58642578125
2015-09-18,5219.783203125
2015-09-21,5280.6142578125
2015-09-22,5369.77294921875
2015-09-23,5317.80224609375
2015-09-24,5265.55615234375
2015-09-28,5221.71142578125
2015-09-29,5182.8251953125
2015-09-30,5217.07421875
2015-10-01,5290.5771484375
2015-10-05,5295.26025390625
2015-10-06,5318.7197265625
2015-10-07,5321.52001953125
2015-10-08,5314.08349609375
2015-10-09,5296.408203125
2015-10-12,5226.57763671875
2015-10-13,5223.77734375
2015-10-14,5176.90283203125
2015-10-15,5118.27587890625
2015-10-16,5126.26416015625
2015-10-19,5021.08349609375
2015-10-20,5090.041015625
2015-10-21,5082.6025390625
2015-10-23,5120.4794921875
2015-10-26,5054.8271484375
2015-10-27,5072.08984375
2015-10-28,5065.66162109375
2015-10-29,5065.84619140625
2015-10-30,5124.42724609375
2015-11-02,5048.90478515625
2015-11-03,4988.89990234375
2015-11-04,5015.34375
2015-11-05,4992.61865234375
2015-11-06,4900.66064453125
2015-11-09,4708.70849609375
2015-11-10,4640.990234375
2015-11-13,4585.39306640625
2015-11-16,4679.18798828125
2015-11-17,4647.46484375
2015-11-18,4785.51611328125
2015-11-19,4764.3974609375
2015-11-20,4781.79833984375
2015-11-23,4777.80419921875
2015-11-24,4855.89697265625
2015-11-26,4860.763671875
2015-11-27,4779.5478515625
2015-11-30,4791.1171875
2015-12-01,4756.0419921875
2015-12-02,4716.4677734375
2015-12-03,4762.6064453125
2015-12-04,4748.7880859375
2015-12-07,4869.76220703125
2015-12-08,4864.7587890625
2015-12-09,4867.00732421875
2015-12-10,4932.15478515625
2015-12-11,4981.0029296875
2015-12-14,5003.0859375
2015-12-15,4985.8701171875
2015-12-16,5029.208984375
2015-12-17,5175.984375
2015-12-18,5227.17431640625
2015-12-21,5150.96337890625
2015-12-22,5240.7646484375
2015-12-23,5227.63427734375
2015-12-24,5162.48779296875
2015-12-28,5234.154296875
2015-12-29,5235.39306640625
2015-12-30,5348.10302734375
2015-12-31,5519.119140625
2016-01-01,5413.708984375
2016-01-04,5445.7998046875
2016-01-05,5397.31884765625
2016-01-06,5310.54736328125
2016-01-07,5193.52294921875
2016-01-08,5228.13916015625
2016-01-11,5184.52490234375
2016-01-12,5084.2099609375
2016-01-13,4998.5419921875
2016-01-14,4921.5947265625
2016-01-15,4970.21435546875
2016-01-18,4791.1171875
2016-01-19,4837.166015625
2016-01-20,4691.30908203125
2016-01-21,4705.724609375
2016-01-22,4649.759765625
2016-01-25,4466.0263671875
2016-01-27,4559.591796875
2016-01-28,4662.935546875
2016-01-29,4650.99853515625
2016-02-01,4678.822265625
2016-02-02,4675.2861328125
2016-02-03,4612.1591796875
2016-02-04,4561.51953125
2016-02-05,4578.27734375
2016-02-08,4523.8740234375
2016-02-09,4448.44287109375
2016-02-10,4420.5283203125
2016-02-11,4407.03173828125
2016-02-12,4405.1953125
2016-02-15,4406.84814453125
2016-02-16,4365.02392578125
2016-02-17,4282.38525390625
2016-02-18,4388.30029296875
2016-02-19,4484.2060546875
2016-02-22,4494.16943359375
2016-02-23,4430.5380859375
2016-02-24,4438.2509765625
2016-02-25,4361.30517578125
2016-02-26,4407.76611328125
2016-02-29,4394.7275390625
2016-03-01,4502.341796875
2016-03-02,4722.7109375
2016-03-03,4651.78076171875
2016-03-04,4649.52978515625
2016-03-08,4592.73876953125
2016-03-09,4523.00146484375
2016-03-10,4500.50537109375
2016-03-11,4459.6904296875
2016-03-14,4470.06640625
2016-03-15,4497.8876953125
2016-03-16,4424.79931640625
2016-03-17,4339.4052734375
2016-03-18,4235.5556640625
2016-03-21,4263.97412109375
2016-03-22,4339.5888671875
2016-03-23,4349.68896484375
2016-03-28,4251.39599609375
2016-03-29,4257.13427734375
2016-03-30,4354.4638671875
2016-03-31,4320.3525390625
2016-04-01,4288.72021484375
2016-04-04,4263.37841796875
2016-04-05,4206.90771484375
2016-04-06,4211.9580078125
2016-04-07,4215.81494140625
2016-04-08,4256.353515625
2016-04-11,4245.28955078125
2016-04-12,4404.5986328125
2016-04-13,4440.8681640625
2016-04-18,4401.06298828125
2016-04-20,4342.435546875
2016-04-21,4339.6806640625
2016-04-22,4264.25
2016-04-25,4308.41552734375
2016-04-26,4260.20947265625
2016-04-27,4293.21875
2016-04-28,4259.42919921875
2016-04-29,4251.34814453125
2016-05-02,4206.541015625
2016-05-03,4273.0654296875
2016-05-04,4316.451171875
2016-05-05,4273.43310546875
2016-05-06,4287.11279296875
2016-05-09,4289.0419921875
2016-05-10,4275.9111328125
2016-05-11,4266.40869140625
2016-05-12,4323.79541015625
2016-05-13,4274.7177734375
2016-05-16,4316.95556640625
2016-05-17,4311.67529296875
2016-05-18,4301.0703125
2016-05-19,4278.11474609375
2016-05-20,4302.58544921875
2016-05-23,4212.14208984375
2016-05-24,4130.28369140625
2016-05-25,4181.93359375
2016-05-26,4318.74609375
2016-05-27,4363.05029296875
2016-05-30,4367.45703125
2016-05-31,4320.21484375
