Date,LDO.MI
2015-08-24,9.972607612609863
2015-08-25,10.625521659851074
2015-08-26,10.348257064819336
2015-08-27,10.697073936462402
2015-08-28,10.732851028442383
2015-08-31,10.795459747314453
2015-09-01,10.5986909866333
2015-09-02,10.580802917480469
2015-09-03,10.938563346862793
2015-09-04,10.536081314086914
2015-09-07,10.473474502563477
2015-09-08,10.545025825500488
2015-09-09,10.679184913635254
2015-09-10,10.580802917480469
2015-09-11,11.153221130371094
2015-09-14,11.108501434326172
2015-09-15,11.126388549804688
2015-09-16,11.180052757263184
2015-09-17,11.11744499206543
2015-09-18,10.8312349319458
2015-09-21,10.875955581665039
2015-09-22,10.303536415100098
2015-09-23,10.384032249450684
2015-09-24,10.079935073852539
2015-09-25,10.375089645385742
2015-09-28,10.097824096679688
2015-09-29,9.757950782775879
2015-09-30,10.008382797241211
2015-10-01,10.017327308654785
2015-10-02,10.106767654418945
2015-10-05,10.482418060302734
2015-10-06,10.759683609008789
2015-10-07,10.589746475219727
2015-10-08,10.768628120422363
2015-10-09,10.884899139404297
2015-10-12,10.473474502563477
2015-10-13,10.580802917480469
2015-10-14,10.392976760864258
2015-10-15,10.652353286743164
2015-10-16,10.64340877532959
2015-10-19,10.616578102111816
2015-10-20,10.464529037475586
2015-10-21,10.527138710021973
2015-10-22,10.70601749420166
2015-10-23,10.911731719970703
2015-10-26,10.956452369689941
2015-10-27,10.947507858276367
2015-10-28,11.072724342346191
2015-10-29,10.902788162231445
2015-10-30,10.64340877532959
2015-11-02,10.679184913635254
2015-11-03,10.545025825500488
2015-11-04,10.714962005615234
2015-11-05,10.625521659851074
2015-11-06,10.974342346191406
2015-11-09,10.804403305053711
2015-11-10,11.180052757263184
2015-11-11,11.242661476135254
2015-11-12,10.902788162231445
2015-11-13,10.911731719970703
2015-11-16,11.20688533782959
2015-11-17,11.815079689025879
2015-11-18,11.797191619873047
2015-11-19,11.832966804504395
2015-11-20,12.128122329711914
2015-11-23,12.011849403381348
2015-11-24,11.734583854675293
2015-11-25,12.226506233215332
2015-11-26,12.217559814453125
2015-11-27,12.26228141784668
2015-11-30,12.26228141784668
2015-12-01,12.119176864624023
2015-12-02,12.038681030273438
2015-12-03,11.806136131286621
2015-12-04,11.993961334228516
2015-12-07,12.181787490844727
2015-12-08,11.850855827331543
2015-12-09,11.770359992980957
2015-12-10,11.788248062133789
2015-12-11,11.537814140319824
2015-12-14,11.153221130371094
2015-12-15,11.466261863708496
2015-12-16,11.645143508911133
2015-12-17,11.645143508911133
2015-12-18,11.430485725402832
2015-12-21,11.412598609924316
2015-12-22,11.242661476135254
2015-12-23,11.50203800201416
2015-12-28,11.412598609924316
2015-12-29,11.528871536254883
2015-12-30,11.537814140319824
2015-12-31,11.537814140319824
2016-01-04,11.0637788772583
2016-01-05,11.50203800201416
2016-01-06,11.23371696472168
2016-01-07,11.224773406982422
2016-01-08,11.072724342346191
2016-01-11,11.135332107543945
2016-01-12,11.260549545288086
2016-01-13,11.349987983703613
2016-01-14,10.840179443359375
2016-01-15,10.32142448425293
2016-01-18,10.133599281311035
2016-01-19,10.357200622558594
2016-01-20,9.847390174865723
2016-01-21,10.044160842895508
2016-01-22,10.24092960357666
2016-01-25,10.097824096679688
