Date,WFC
2015-08-03,43.5676383972168
2015-08-04,43.49993133544922
2015-08-05,43.65516662597656
2015-08-06,43.56429672241211
2015-08-07,43.51885986328125
2015-08-10,43.87476348876953
2015-08-11,43.32197952270508
2015-08-12,42.95091247558594
2015-08-13,43.079654693603516
2015-08-14,43.412841796875
2015-08-17,43.42798614501953
2015-08-18,43.57186508178711
2015-08-19,43.208377838134766
2015-08-20,42.49657440185547
2015-08-21,40.868507385253906
2015-08-24,38.80879592895508
2015-08-25,37.87739181518555
2015-08-26,39.60390090942383
2015-08-27,40.9139404296875
2015-08-28,40.542877197265625
2015-08-31,40.38386917114258
2015-09-01,38.611915588378906
2015-09-02,39.3691520690918
2015-09-03,39.70233917236328
2015-09-04,38.839088439941406
2015-09-08,40.080963134765625
2015-09-09,39.520606994628906
2015-09-10,39.80078887939453
2015-09-11,39.84621810913086
2015-09-14,39.95980453491211
2015-09-15,40.48988723754883
2015-09-16,40.67918395996094
2015-09-17,39.53575134277344
2015-09-18,38.6497802734375
2015-09-21,39.03596878051758
2015-09-22,38.38473129272461
2015-09-23,38.4528923034668
2015-09-24,38.27872848510742
2015-09-25,38.98295974731445
2015-09-28,38.142425537109375
2015-09-29,38.53619384765625
2015-09-30,38.88452911376953
2015-10-01,38.952674865722656
2015-10-02,38.81636047363281
2015-10-05,39.687198638916016
2015-10-06,39.39944076538086
2015-10-07,39.520606994628906
2015-10-08,39.785640716552734
2015-10-09,39.48273849487305
2015-10-12,39.51302719116211
2015-10-13,39.270721435546875
2015-10-14,38.998104095458984
2015-10-15,39.89924240112305
2015-10-16,40.0431022644043
2015-10-19,39.80078887939453
2015-10-20,40.194549560546875
2015-10-21,40.22484588623047
2015-10-22,40.9366569519043
2015-10-23,41.45915222167969
2015-10-26,41.11082458496094
2015-10-27,40.982086181640625
2015-10-28,41.98923110961914
2015-10-29,41.71661376953125
2015-10-30,40.99723434448242
2015-11-02,41.53487014770508
2015-11-03,41.595455169677734
2015-11-04,41.61451721191406
2015-11-05,41.82801055908203
2015-11-06,42.58283615112305
2015-11-09,42.2931022644043
2015-11-10,42.62857437133789
2015-11-11,42.544708251953125
2015-11-12,42.06437301635742
2015-11-13,41.60689163208008
2015-11-16,42.1406135559082
2015-11-17,41.90425109863281
2015-11-18,42.44559097290039
2015-11-19,42.67432403564453
2015-11-20,42.5599479675293
2015-11-23,42.392215728759766
2015-11-24,42.14822006225586
2015-11-25,42.102481842041016
2015-11-27,42.23210525512695
2015-11-30,42.010986328125
2015-12-01,42.47608947753906
2015-12-02,41.99573516845703
2015-12-03,41.324790954589844
2015-12-04,42.44559097290039
2015-12-07,42.25497055053711
2015-12-08,41.47728729248047
2015-12-09,41.26378631591797
2015-12-10,41.4315299987793
2015-12-11,40.646217346191406
2015-12-14,40.56233215332031
2015-12-15,41.866119384765625
2015-12-16,42.58283615112305
2015-12-17,42.2931022644043
2015-12-18,41.01218032836914
2015-12-21,41.18754577636719
2015-12-22,41.4315299987793
2015-12-23,41.965240478515625
2015-12-24,41.79750061035156
2015-12-28,41.69076919555664
2015-12-29,42.15585708618164
2015-12-30,41.85087966918945
2015-12-31,41.446781158447266
2016-01-04,40.34122085571289
2016-01-05,40.32596969604492
2016-01-06,39.55590057373047
2016-01-07,38.42748260498047
2016-01-08,37.787017822265625
2016-01-11,38.19111251831055
2016-01-12,39.1594352722168
2016-01-13,37.91664123535156
2016-01-14,38.6104736328125
2016-01-15,37.22280502319336
2016-01-19,36.75770950317383
2016-01-20,36.49848175048828
2016-01-21,36.605224609375
2016-01-22,37.37529373168945
2016-01-25,36.33835983276367
2016-01-26,36.79582595825195
2016-01-27,37.03218460083008
2016-01-28,37.29905319213867
2016-01-29,38.2978515625
2016-02-01,38.07674026489258
2016-02-02,37.23043441772461
2016-02-03,36.57349395751953
2016-02-04,37.072914123535156
2016-02-05,36.77325439453125
2016-02-08,35.72831344604492
2016-02-09,35.68989181518555
2016-02-10,35.47475051879883
2016-02-11,34.69871520996094
2016-02-12,36.350677490234375
2016-02-16,37.065242767333984
2016-02-17,36.98072052001953
2016-02-18,36.673370361328125
2016-02-19,36.949989318847656
2016-02-22,37.79515838623047
2016-02-23,36.95766067504883
2016-02-24,36.581180572509766
2016-02-25,36.68874740600586
2016-02-26,36.93461608886719
2016-02-29,36.0510139465332
2016-03-01,37.43404006958008
2016-03-02,38.08714294433594
2016-03-03,38.24079895019531
2016-03-04,38.502052307128906
2016-03-07,38.471309661865234
2016-03-08,37.68759536743164
2016-03-09,37.487823486328125
2016-03-10,37.27268600463867
2016-03-11,38.471309661865234
2016-03-14,38.3253288269043
2016-03-15,38.40216827392578
2016-03-16,38.064090728759766
2016-03-17,38.210079193115234
2016-03-18,38.83245086669922
2016-03-21,38.93231964111328
2016-03-22,38.70182418823242
2016-03-23,38.23310852050781
2016-03-24,37.57235336303711
2016-03-28,37.41868209838867
2016-03-29,36.919246673583984
2016-03-30,37.38026428222656
2016-03-31,37.157440185546875
2016-04-01,37.226593017578125
2016-04-04,37.2650032043457
2016-04-05,36.50434875488281
2016-04-06,36.94230651855469
2016-04-07,36.05868911743164
2016-04-08,36.16626739501953
2016-04-11,36.135528564453125
2016-04-12,36.70412063598633
2016-04-13,37.67223358154297
2016-04-14,37.487823486328125
2016-04-15,37.072914123535156
2016-04-18,37.526241302490234
2016-04-19,38.3253288269043
2016-04-20,38.76328659057617
2016-04-21,38.45595169067383
2016-04-22,38.8939094543457
2016-04-25,38.809383392333984
2016-04-26,39.12441635131836
2016-04-27,39.1320915222168
