Date,LNZ.VI
2015-08-24,41.65095138549805
2015-08-25,46.12110137939453
2015-08-26,45.305599212646484
2015-08-27,46.853538513183594
2015-08-28,46.36273193359375
2015-08-31,46.808231353759766
2015-09-01,45.7057991027832
2015-09-02,46.24946594238281
2015-09-03,46.50619888305664
2015-09-04,45.803955078125
2015-09-07,46.053138732910156
2015-09-08,47.774757385253906
2015-09-09,48.28821563720703
2015-09-10,48.25046920776367
2015-09-11,47.38210678100586
2015-09-14,47.19333267211914
2015-09-15,47.276390075683594
2015-09-16,47.38210678100586
2015-09-17,50.145751953125
2015-09-18,50.13819122314453
2015-09-21,50.66676330566406
2015-09-22,50.02492904663086
2015-09-23,49.63227844238281
2015-09-24,47.98617935180664
2015-09-25,49.98717498779297
2015-09-28,49.64738845825195
2015-09-29,50.168399810791016
2015-09-30,50.64411163330078
2015-10-01,50.68186569213867
2015-10-02,50.36471939086914
2015-10-05,50.19860076904297
2015-10-06,50.153297424316406
2015-10-07,50.03248596191406
2015-10-08,49.949424743652344
2015-10-09,49.38309860229492
2015-10-12,48.756378173828125
2015-10-13,47.472713470458984
2015-10-14,48.514747619628906
2015-10-15,48.85453796386719
2015-10-16,47.84272003173828
2015-10-19,49.088619232177734
2015-10-20,49.949424743652344
2015-10-21,51.157569885253906
2015-10-22,52.74326705932617
2015-10-23,52.65265655517578
2015-10-27,51.55777359008789
2015-10-28,52.85653305053711
2015-10-29,53.13591384887695
2015-10-30,52.5242919921875
2015-11-02,52.96224594116211
2015-11-03,53.32468795776367
2015-11-04,55.393646240234375
2015-11-05,55.0614013671875
2015-11-06,55.574867248535156
2015-11-09,55.695682525634766
2015-11-10,56.10343551635742
2015-11-11,56.55649185180664
2015-11-12,54.54794692993164
2015-11-13,56.05057907104492
2015-11-16,56.4356689453125
2015-11-17,56.32996368408203
2015-11-18,56.21670150756836
2015-11-19,55.86935806274414
2015-11-20,55.45405197143555
2015-11-23,55.673030853271484
2015-11-24,54.63099670410156
2015-11-25,55.431400299072266
2015-11-26,55.65793228149414
2015-11-27,55.71833419799805
2015-11-30,55.87690734863281
2015-12-01,55.499359130859375
2015-12-02,55.499359130859375
2015-12-03,55.567317962646484
2015-12-04,55.64282989501953
2015-12-07,55.30303192138672
2015-12-09,52.539398193359375
2015-12-10,52.96224594116211
2015-12-11,53.173667907714844
2015-12-14,52.39592361450195
2015-12-15,52.8414306640625
2015-12-16,52.93959045410156
2015-12-17,53.24917984008789
2015-12-18,52.403472900390625
2015-12-21,50.236358642578125
2015-12-22,52.29776382446289
2015-12-23,51.572872161865234
2015-12-28,51.346343994140625
2015-12-29,52.1014404296875
2015-12-30,52.51674270629883
2016-01-04,51.33879470825195
2016-01-05,51.37655258178711
2016-01-07,50.01737976074219
2016-01-08,49.602081298828125
2016-01-11,49.972076416015625
2016-01-12,49.93431854248047
2016-01-13,49.27739334106445
2016-01-14,49.63227844238281
2016-01-15,47.789859771728516
2016-01-18,47.19333267211914
2016-01-19,48.41658401489258
2016-01-20,46.808231353759766
2016-01-21,46.891292572021484
2016-01-22,47.299041748046875
2016-01-25,47.26129150390625
2016-01-26,47.11027526855469
2016-01-27,47.12537384033203
2016-01-28,46.74782943725586
2016-01-29,46.50619888305664
2016-02-01,46.1286506652832
2016-02-02,46.39293670654297
2016-02-03,46.72517395019531
2016-02-04,46.81578826904297
2016-02-05,46.83088684082031
2016-02-08,43.953983306884766
2016-02-09,43.71234893798828
2016-02-10,44.01438903808594
2016-02-11,42.421142578125
2016-02-12,43.266845703125
2016-02-15,44.18806076049805
2016-02-16,44.02949142456055
2016-02-17,43.44051742553711
2016-02-18,43.259300231933594
2016-02-19,43.41786575317383
2016-02-22,45.06397247314453
2016-02-23,44.97336196899414
2016-02-24,44.98090362548828
2016-02-25,44.656219482421875
2016-02-26,45.25274658203125
2016-02-29,44.852542877197266
2016-03-01,44.70152282714844
2016-03-02,43.44807052612305
2016-03-03,43.34990692138672
2016-03-04,43.83317184448242
2016-03-07,44.407039642333984
2016-03-08,46.06069564819336
2016-03-09,46.77803039550781
2016-03-10,46.853538513183594
2016-03-11,46.627010345458984
2016-03-14,47.72189712524414
2016-03-15,48.32597732543945
2016-03-16,48.48453903198242
2016-03-17,48.69596862792969
2016-03-18,49.972076416015625
2016-03-21,49.71534729003906
2016-03-22,49.53411865234375
2016-03-23,53.090614318847656
2016-03-24,54.6461067199707
2016-03-29,52.59225082397461
2016-03-30,52.539398193359375
2016-03-31,52.53184127807617
2016-04-01,52.96224594116211
2016-04-04,52.154296875
2016-04-05,51.270835876464844
2016-04-06,50.689414978027344
2016-04-07,49.8210563659668
2016-04-08,50.22880935668945
2016-04-11,51.006553649902344
2016-04-12,50.79512405395508
2016-04-13,51.210426330566406
2016-04-14,51.346343994140625
2016-04-15,51.6181755065918
2016-04-18,51.625736236572266
2016-04-19,51.4067497253418
2016-04-20,52.50918960571289
2016-04-21,53.27938461303711
2016-04-22,53.49697494506836
2016-04-25,53.39595031738281
2016-04-26,52.68877410888672
2016-04-27,51.53086471557617
2016-04-28,52.898597717285156
2016-04-29,52.587745666503906
2016-05-02,53.06179428100586
2016-05-03,52.611061096191406
2016-05-04,52.75094223022461
2016-05-06,53.19390106201172
2016-05-09,55.57189178466797
2016-05-10,57.351497650146484
2016-05-11,57.89548110961914
2016-05-12,61.50909423828125
2016-05-13,60.61539840698242
2016-05-17,60.6931266784668
2016-05-18,61.12052536010742
2016-05-19,61.85879135131836
2016-05-20,62.869056701660156
2016-05-23,62.55820083618164
2016-05-24,64.34558868408203
