Date,CAML3.SA
2017-09-28,6.735388278961182
2017-09-29,6.742879390716553
2017-10-02,6.742879390716553
2017-10-03,6.712912082672119
2017-10-04,6.488149166107178
2017-10-05,6.5181169509887695
2017-10-06,6.548084735870361
2017-10-09,6.405735015869141
2017-10-10,6.4431962966918945
2017-10-11,6.405735015869141
2017-10-12,6.405735015869141
2017-10-13,6.4431962966918945
2017-10-16,6.330814361572266
2017-10-17,6.255893707275391
2017-10-18,6.180974006652832
2017-10-19,6.2484025955200195
2017-10-20,6.480657577514648
2017-10-23,6.4431962966918945
2017-10-24,6.458179950714111
2017-10-25,6.4431962966918945
2017-10-26,6.368275165557861
2017-10-27,6.293354511260986
2017-10-30,6.113543510437012
2017-10-31,6.038623809814453
2017-11-01,6.173480987548828
2017-11-02,6.173480987548828
2017-11-03,5.99367094039917
2017-11-06,6.038623809814453
2017-11-07,5.99367094039917
2017-11-08,6.023638725280762
2017-11-09,6.031132221221924
2017-11-10,6.001162528991699
2017-11-13,5.99367094039917
2017-11-14,5.99367094039917
2017-11-15,5.99367094039917
2017-11-16,5.99367094039917
2017-11-17,6.293354511260986
2017-11-20,6.293354511260986
2017-11-21,6.630498886108398
2017-11-22,6.510624408721924
2017-11-23,6.495640754699707
2017-11-24,6.383260726928711
2017-11-27,6.255893707275391
2017-11-28,6.308337688446045
2017-11-29,6.076083660125732
2017-11-30,5.971193790435791
2017-12-01,6.210941314697266
2017-12-04,6.143512725830078
2017-12-05,6.001162528991699
2017-12-06,5.9562087059021
2017-12-07,5.619067192077637
2017-12-08,5.619067192077637
2017-12-11,5.536652565002441
2017-12-12,5.476715564727783
2017-12-13,5.7239556312561035
2017-12-14,5.768908500671387
2017-12-15,5.716463088989258
2017-12-18,5.77653694152832
2017-12-19,5.70002555847168
2017-12-20,5.684722900390625
2017-12-21,5.814791202545166
2017-12-22,5.853046417236328
2017-12-25,5.853046417236328
2017-12-26,5.906603813171387
2017-12-27,5.891302108764648
2017-12-28,5.990765571594238
2017-12-29,5.990765571594238
2018-01-02,5.983114719390869
2018-01-03,5.975463390350342
2018-01-04,6.120832443237305
2018-01-05,6.258551597595215
2018-01-08,6.25090217590332
2018-01-09,6.235599040985107
2018-01-10,6.358016014099121
2018-01-11,6.503385543823242
2018-01-12,6.159087657928467
2018-01-15,6.235599040985107
2018-01-16,6.204994201660156
2018-01-17,6.044323444366455
2018-01-18,5.944859027862549
2018-01-19,5.960160255432129
2018-01-22,5.853046417236328
2018-01-23,5.730630874633789
2018-01-24,5.93720817565918
2018-01-25,5.93720817565918
2018-01-26,5.93720817565918
2018-01-29,5.898952484130859
2018-01-30,5.738281726837158
2018-01-31,5.684722900390625
2018-02-01,5.738281726837158
2018-02-02,5.738281726837158
2018-02-05,5.761233806610107
2018-02-06,5.715328216552734
2018-02-07,5.883650779724121
2018-02-08,5.998416900634766
2018-02-09,5.9219069480896
2018-02-14,5.983114719390869
