Date,TLT
2015-08-03,95.39986419677734
2015-08-04,94.64318084716797
2015-08-05,93.93272399902344
2015-08-06,94.76667022705078
2015-08-07,96.0098648071289
2015-08-10,94.82075500488281
2015-08-11,96.3264389038086
2015-08-12,95.8013687133789
2015-08-13,95.49250030517578
2015-08-14,95.7164306640625
2015-08-17,96.14884948730469
2015-08-18,95.39218139648438
2015-08-19,96.33418273925781
2015-08-20,97.30705261230469
2015-08-21,97.60049438476562
2015-08-24,97.56958770751953
2015-08-25,96.00212097167969
2015-08-26,94.14891815185547
2015-08-27,94.20301055908203
2015-08-28,94.48098754882812
2015-08-31,93.75519561767578
2015-09-01,94.4306869506836
2015-09-02,93.61819458007812
2015-09-03,94.07476806640625
2015-09-04,94.9337158203125
2015-09-08,93.5330581665039
2015-09-09,93.98189544677734
2015-09-10,93.3473892211914
2015-09-11,93.93546295166016
2015-09-14,94.08248138427734
2015-09-15,92.27944946289062
2015-09-16,91.9312744140625
2015-09-17,93.05328369140625
2015-09-18,94.48489379882812
2015-09-21,92.94496154785156
2015-09-22,94.23726654052734
2015-09-23,94.22953033447266
2015-09-24,94.87178802490234
2015-09-25,94.05154418945312
2015-09-28,95.66116333007812
2015-09-29,95.93195343017578
2015-09-30,95.59918975830078
2015-10-01,96.00708770751953
2015-10-02,96.58867645263672
2015-10-05,95.27812194824219
2015-10-06,95.68917083740234
2015-10-07,95.3712158203125
2015-10-08,94.57252502441406
2015-10-09,94.82069396972656
2015-10-12,95.54180145263672
2015-10-13,95.70467376708984
2015-10-14,96.5420913696289
2015-10-15,96.06909942626953
2015-10-16,96.1001205444336
2015-10-19,95.83650207519531
2015-10-20,95.2471923828125
2015-10-21,96.19316101074219
2015-10-22,96.35604095458984
2015-10-23,95.5340347290039
2015-10-26,96.16990661621094
2015-10-27,96.41033172607422
2015-10-28,96.0225830078125
2015-10-29,94.49496459960938
2015-10-30,95.2083511352539
2015-11-02,94.77085876464844
2015-11-03,93.99371337890625
2015-11-04,94.1025161743164
2015-11-05,93.85383605957031
2015-11-06,92.47832489013672
2015-11-09,91.95764923095703
2015-11-10,92.22966766357422
2015-11-11,92.03534698486328
2015-11-12,92.47832489013672
2015-11-13,93.00675964355469
2015-11-16,92.92131805419922
2015-11-17,93.07669067382812
2015-11-18,93.27099609375
2015-11-19,93.89269256591797
2015-11-20,93.60517120361328
2015-11-23,93.89269256591797
2015-11-24,93.88490295410156
2015-11-25,94.1025161743164
2015-11-27,94.00927734375
2015-11-30,94.38229370117188
2015-12-01,95.65715026855469
2015-12-02,95.68827056884766
2015-12-03,93.08718872070312
2015-12-04,93.9049301147461
2015-12-07,94.81604766845703
2015-12-08,94.86280059814453
2015-12-09,94.76155090332031
2015-12-10,94.88619995117188
2015-12-11,96.38142395019531
2015-12-14,95.13539123535156
2015-12-15,94.57463836669922
2015-12-16,94.3721923828125
2015-12-17,95.43911743164062
2015-12-18,95.96868896484375
2015-12-21,95.94529724121094
2015-12-22,95.25215148925781
2015-12-23,94.53569030761719
