Date,AUTOIETF.NS
2022-01-18,11.744000434875488
2022-01-19,11.598999977111816
2022-01-20,11.649999618530273
2022-01-21,11.588000297546387
2022-01-24,11.258999824523926
2022-01-25,11.532999992370605
2022-01-27,11.812999725341797
2022-01-28,11.562000274658203
2022-01-31,11.65999984741211
2022-02-01,11.66100025177002
2022-02-02,11.647000312805176
2022-02-03,11.574999809265137
2022-02-04,11.595999717712402
2022-02-07,11.392000198364258
2022-02-08,11.46500015258789
2022-02-09,11.64799976348877
2022-02-10,11.651000022888184
2022-02-11,11.593999862670898
2022-02-14,11.144000053405762
2022-02-15,11.527000427246094
2022-02-16,11.545000076293945
2022-02-17,11.532999992370605
2022-02-18,11.454999923706055
2022-02-21,11.395999908447266
2022-02-22,11.371000289916992
2022-02-23,11.342000007629395
2022-02-24,10.710000038146973
2022-02-25,10.961999893188477
2022-02-28,10.92199993133545
2022-03-02,10.524999618530273
2022-03-03,10.300999641418457
2022-03-04,9.956999778747559
2022-03-07,9.572999954223633
2022-03-08,9.555999755859375
2022-03-09,9.840999603271484
2022-03-10,10.060999870300293
2022-03-11,10.013999938964844
2022-03-14,10.125
2022-03-15,10.137999534606934
2022-03-16,10.359999656677246
2022-03-17,10.57699966430664
2022-03-21,10.50100040435791
2022-03-22,10.581000328063965
2022-03-23,10.517999649047852
2022-03-24,10.461999893188477
2022-03-25,10.390000343322754
2022-03-28,10.428999900817871
2022-03-29,10.47700023651123
2022-03-30,10.567999839782715
2022-03-31,10.611000061035156
2022-04-01,10.682999610900879
2022-04-04,10.810999870300293
2022-04-05,10.96500015258789
2022-04-06,10.930000305175781
2022-04-07,10.854999542236328
2022-04-08,10.916999816894531
2022-04-11,10.937999725341797
2022-04-12,10.836999893188477
2022-04-13,10.765000343322754
2022-04-18,10.777000427246094
2022-04-19,10.59000015258789
2022-04-20,10.895999908447266
2022-04-21,11.116000175476074
2022-04-22,11.029000282287598
2022-04-25,11.041999816894531
2022-04-26,11.237000465393066
2022-04-27,11.220000267028809
2022-04-28,11.22599983215332
2022-04-29,11.149999618530273
2022-05-02,10.979999542236328
2022-05-04,10.732000350952148
2022-05-05,10.734999656677246
2022-05-06,10.569999694824219
2022-05-09,10.545000076293945
2022-05-10,10.508000373840332
2022-05-11,10.387999534606934
2022-05-12,10.14900016784668
2022-05-13,10.494000434875488
2022-05-16,10.649999618530273
2022-05-17,10.97700023651123
2022-05-18,10.960000038146973
2022-05-19,10.675000190734863
2022-05-20,10.904000282287598
2022-05-23,11.164999961853027
2022-05-24,11.151000022888184
2022-05-25,11.029000282287598
2022-05-26,11.11299991607666
2022-05-27,11.288000106811523
2022-05-30,11.51200008392334
2022-05-31,11.62399959564209
2022-06-01,11.583999633789062
2022-06-02,11.479000091552734
2022-06-03,11.333999633789062
2022-06-06,11.357999801635742
2022-06-07,11.355999946594238
2022-06-08,11.414999961853027
2022-06-09,11.472999572753906
2022-06-10,11.435999870300293
2022-06-13,11.1850004196167
2022-06-14,11.093999862670898
2022-06-15,11.255000114440918
2022-06-16,10.972000122070312
2022-06-17,10.87600040435791
2022-06-20,10.77400016784668
2022-06-21,11.013999938964844
2022-06-22,10.932999610900879
2022-06-23,11.335000038146973
2022-06-24,11.621999740600586
2022-06-27,11.6850004196167
2022-06-28,11.887999534606934
2022-06-29,11.901000022888184
2022-06-30,11.741999626159668
2022-07-01,11.79699993133545
2022-07-04,11.765000343322754
2022-07-05,11.685999870300293
2022-07-06,12.060999870300293
2022-07-07,12.163999557495117
2022-07-08,12.208000183105469
2022-07-11,12.338000297546387
2022-07-12,12.185999870300293
2022-07-13,12.178000450134277
2022-07-14,12.16100025177002
2022-07-15,12.47700023651123
2022-07-18,12.517000198364258
2022-07-19,12.625
2022-07-20,12.616999626159668
2022-07-21,12.652000427246094
2022-07-22,12.722999572753906
2022-07-25,12.501999855041504
2022-07-26,12.359999656677246
2022-07-27,12.414999961853027
2022-07-28,12.472000122070312
2022-07-29,12.63700008392334
2022-08-01,13.088000297546387
2022-08-02,13.14799976348877
2022-08-03,13.015000343322754
2022-08-04,13.050000190734863
2022-08-05,12.949999809265137
2022-08-08,13.041999816894531
2022-08-10,13.064000129699707
2022-08-11,13.038999557495117
2022-08-12,13.027999877929688
2022-08-16,13.347999572753906
2022-08-17,13.32699966430664
2022-08-18,13.232999801635742
2022-08-19,13.086000442504883
2022-08-22,12.809000015258789
2022-08-23,13.043999671936035
2022-08-24,13.024999618530273
2022-08-25,13.008999824523926
2022-08-26,13.03499984741211
2022-08-29,12.99899959564209
2022-08-30,13.342000007629395
2022-09-01,13.38599967956543
2022-09-02,13.37600040435791
2022-09-05,13.40999984741211
2022-09-06,13.336000442504883
2022-09-07,13.187000274658203
2022-09-08,13.263999938964844
2022-09-09,13.369000434875488
2022-09-12,13.38599967956543
2022-09-13,13.38700008392334
2022-09-14,13.347000122070312
2022-09-15,13.407999992370605
2022-09-16,13.145000457763672
2022-09-19,13.192000389099121
2022-09-20,13.437999725341797
2022-09-21,13.32800006866455
2022-09-22,13.428000450134277
2022-09-23,13.234000205993652
2022-09-26,12.713000297546387
2022-09-27,12.62399959564209
2022-09-28,12.682999610900879
2022-09-29,12.633999824523926
2022-09-30,12.859999656677246
2022-10-03,12.538999557495117
2022-10-04,12.835000038146973
2022-10-06,12.944999694824219
2022-10-07,12.907999992370605
2022-10-10,12.805999755859375
2022-10-11,12.640999794006348
2022-10-12,12.696000099182129
2022-10-13,12.652999877929688
2022-10-14,12.597999572753906
2022-10-17,12.644000053405762
2022-10-18,12.833999633789062
