Date,GNRC
2015-08-03,34.5
2015-08-04,34.4900016784668
2015-08-05,33.83000183105469
2015-08-06,29.100000381469727
2015-08-07,27.889999389648438
2015-08-10,28.75
2015-08-11,28.219999313354492
2015-08-12,29.059999465942383
2015-08-13,29.579999923706055
2015-08-14,30.059999465942383
2015-08-17,29.84000015258789
2015-08-18,30.3700008392334
2015-08-19,30.229999542236328
2015-08-20,29.760000228881836
2015-08-21,29.239999771118164
2015-08-24,28.260000228881836
2015-08-25,27.920000076293945
2015-08-26,29.979999542236328
2015-08-27,30.559999465942383
2015-08-28,30.31999969482422
2015-08-31,30.920000076293945
2015-09-01,30.489999771118164
2015-09-02,30.829999923706055
2015-09-03,31.209999084472656
2015-09-04,30.90999984741211
2015-09-08,31.280000686645508
2015-09-09,31.34000015258789
2015-09-10,31.040000915527344
2015-09-11,31.209999084472656
2015-09-14,30.8799991607666
2015-09-15,31.239999771118164
2015-09-16,31.579999923706055
2015-09-17,31.040000915527344
2015-09-18,29.709999084472656
2015-09-21,29.020000457763672
2015-09-22,28.709999084472656
2015-09-23,28.469999313354492
2015-09-24,28.209999084472656
2015-09-25,27.969999313354492
2015-09-28,27.15999984741211
2015-09-29,27.239999771118164
2015-09-30,30.09000015258789
2015-10-01,29.1299991607666
2015-10-02,27.6200008392334
2015-10-05,29.059999465942383
2015-10-06,28.809999465942383
2015-10-07,29.100000381469727
2015-10-08,30.020000457763672
2015-10-09,29.510000228881836
2015-10-12,29.149999618530273
2015-10-13,29.040000915527344
2015-10-14,28.190000534057617
2015-10-15,28.0
2015-10-16,27.93000030517578
2015-10-19,27.479999542236328
2015-10-20,27.729999542236328
2015-10-21,26.989999771118164
2015-10-22,27.829999923706055
2015-10-23,28.540000915527344
2015-10-26,27.959999084472656
2015-10-27,26.8799991607666
2015-10-28,30.1299991607666
2015-10-29,32.0
2015-10-30,31.559999465942383
2015-11-02,32.38999938964844
2015-11-03,31.8799991607666
2015-11-04,32.2400016784668
2015-11-05,31.56999969482422
