Date,JYSK.CO
2015-08-24,319.19329833984375
2015-08-25,334.745849609375
2015-08-26,333.739501953125
2015-08-27,344.351806640625
2015-08-28,339.77752685546875
2015-08-31,340.14349365234375
2015-09-01,333.83099365234375
2015-09-02,341.51580810546875
2015-09-03,351.30474853515625
2015-09-04,345.4496765136719
2015-09-07,344.077392578125
2015-09-08,347.27935791015625
2015-09-09,349.5664978027344
2015-09-10,350.48138427734375
2015-09-11,348.8345947265625
2015-09-14,348.1027526855469
2015-09-15,343.345458984375
2015-09-16,349.2005920410156
2015-09-17,349.47503662109375
2015-09-18,347.64532470703125
2015-09-21,349.7494812011719
2015-09-22,347.27935791015625
2015-09-23,345.5411376953125
2015-09-24,338.95416259765625
2015-09-25,352.2196044921875
2015-09-28,342.0646667480469
2015-09-29,337.3988952636719
2015-09-30,337.67340087890625
2015-10-01,336.85003662109375
2015-10-02,337.12445068359375
2015-10-05,337.94781494140625
2015-10-06,340.32647705078125
2015-10-07,342.4306335449219
2015-10-08,333.5565185546875
2015-10-09,330.080078125
2015-10-12,327.51849365234375
2015-10-13,325.87176513671875
2015-10-14,324.9568786621094
2015-10-15,325.5057678222656
2015-10-16,334.2884216308594
2015-10-19,336.758544921875
2015-10-20,334.65435791015625
2015-10-21,333.83099365234375
2015-10-22,329.62261962890625
2015-10-23,333.9224853515625
2015-10-26,334.3799133300781
2015-10-27,321.2974853515625
2015-10-28,318.73583984375
2015-10-29,308.12353515625
2015-10-30,302.90887451171875
2015-11-02,296.9622802734375
2015-11-03,297.3282165527344
2015-11-04,297.87713623046875
2015-11-05,297.3282165527344
2015-11-06,305.0130310058594
2015-11-09,300.7132263183594
2015-11-10,298.9749755859375
2015-11-11,300.2557678222656
2015-11-12,298.7004699707031
2015-11-13,296.3218688964844
2015-11-16,294.9495849609375
2015-11-17,298.9749755859375
2015-11-18,301.90252685546875
2015-11-19,301.07916259765625
2015-11-20,296.6878356933594
2015-11-23,298.2430725097656
2015-11-24,294.126220703125
2015-11-25,294.9495849609375
2015-11-26,290.55828857421875
2015-11-27,285.4350891113281
2015-11-30,293.7602844238281
2015-12-01,295.49853515625
2015-12-02,295.2240905761719
2015-12-03,295.3155517578125
2015-12-04,292.75396728515625
2015-12-07,292.75396728515625
2015-12-08,286.2584228515625
2015-12-09,283.42242431640625
2015-12-10,281.6841735839844
2015-12-11,275.7376403808594
2015-12-14,272.169677734375
2015-12-15,273.0845642089844
2015-12-16,271.3463134765625
2015-12-17,275.6461486816406
2015-12-18,273.9993896484375
2015-12-21,273.7249755859375
2015-12-22,273.9993896484375
2015-12-23,285.0691833496094
2015-12-28,284.88616943359375
2015-12-29,285.9840087890625
2015-12-30,285.526611328125
2016-01-04,282.5075378417969
2016-01-05,282.2331237792969
2016-01-06,279.3055725097656
2016-01-07,280.1289367675781
2016-01-08,273.90789794921875
2016-01-11,269.05914306640625
2016-01-12,266.1316223144531
2016-01-13,265.6742248535156
2016-01-14,259.6361389160156
2016-01-15,249.4812469482422
2016-01-18,244.1750946044922
2016-01-19,244.35806274414062
2016-01-20,239.60079956054688
2016-01-21,243.07725524902344
2016-01-22,253.9640350341797
2016-01-25,260.64251708984375
2016-01-26,271.80377197265625
2016-01-27,271.3463134765625
2016-01-28,266.7720031738281
2016-01-29,275.6461486816406
2016-02-01,270.9803771972656
2016-02-02,262.65521240234375
2016-02-03,255.6107940673828
2016-02-04,270.70587158203125
2016-02-05,266.8635559082031
2016-02-08,254.5129852294922
2016-02-09,246.4622344970703
2016-02-10,262.4721984863281
2016-02-11,254.42147827148438
2016-02-12,255.7937774658203
2016-02-15,272.5356140136719
2016-02-16,273.81640625
2016-02-17,275.0972595214844
2016-02-18,272.9930419921875
2016-02-19,269.8825378417969
2016-02-22,275.1886901855469
2016-02-23,276.195068359375
2016-02-24,262.838134765625
2016-02-25,270.3399963378906
2016-02-26,274.182373046875
2016-02-29,273.7249755859375
2016-03-01,273.0845642089844
2016-03-02,282.6905212402344
2016-03-03,281.3182678222656
2016-03-04,285.0691833496094
2016-03-07,282.9649353027344
2016-03-08,279.3055725097656
2016-03-09,282.78204345703125
2016-03-10,282.4161071777344
2016-03-11,290.1923522949219
2016-03-14,288.4541320800781
2016-03-15,284.88616943359375
2016-03-16,285.1606750488281
2016-03-17,280.368408203125
2016-03-18,282.04339599609375
2016-03-21,282.322509765625
2016-03-22,280.83367919921875
2016-03-23,279.81011962890625
2016-03-29,275.71575927734375
2016-03-30,281.0198059082031
2016-03-31,275.0644226074219
2016-04-01,278.5073547363281
2016-04-04,277.2976989746094
2016-04-05,270.9700927734375
2016-04-06,267.8993225097656
2016-04-07,259.1523742675781
2016-04-08,260.3620300292969
2016-04-11,260.455078125
2016-04-12,256.36077880859375
2016-04-13,263.43280029296875
2016-04-14,265.1077575683594
2016-04-15,263.71197509765625
2016-04-18,261.8508605957031
2016-04-19,260.6412048339844
2016-04-20,263.2467041015625
2016-04-21,262.0370178222656
2016-04-25,260.0828857421875
2016-04-26,263.1535949707031
2016-04-27,262.0370178222656
2016-04-28,249.0095977783203
2016-04-29,247.6138153076172
2016-05-02,245.56661987304688
2016-05-03,240.44871520996094
2016-05-04,238.68072509765625
2016-05-09,238.2154541015625
2016-05-10,240.63482666015625
2016-05-11,238.58766174316406
2016-05-12,237.65713500976562
2016-05-13,237.4710235595703
2016-05-17,237.65713500976562
2016-05-18,236.26133728027344
2016-05-19,236.8196563720703
2016-05-20,239.4251251220703
2016-05-23,240.3556671142578
2016-05-24,241.75146484375
2016-05-25,248.91653442382812
