Date,ELGIEQUIP.NS
2015-08-21,66.33610534667969
2015-08-24,62.160274505615234
2015-08-25,62.01708221435547
2015-08-26,63.99763488769531
2015-08-27,66.28837585449219
2015-08-28,65.52481079101562
2015-08-31,64.49872589111328
2015-09-01,62.49433898925781
2015-09-02,62.13640213012695
2015-09-03,62.99543380737305
2015-09-04,63.7113037109375
2015-09-07,61.30123519897461
2015-09-08,58.17532730102539
2015-09-09,58.17532730102539
2015-09-10,57.5549201965332
2015-09-11,58.50939178466797
2015-09-14,58.533260345458984
2015-09-15,58.70029067993164
2015-09-16,59.0582160949707
2015-09-18,59.821800231933594
2015-09-21,57.435604095458984
2015-09-22,57.29243850708008
2015-09-23,58.12760543823242
2015-09-24,58.39008712768555
2015-09-28,59.63090896606445
2015-09-29,58.70029067993164
2015-09-30,58.15146255493164
2015-10-01,57.936710357666016
2015-10-05,57.960575103759766
2015-10-06,58.10374069213867
2015-10-07,57.98443603515625
2015-10-08,65.3577651977539
2015-10-09,74.5684585571289
2015-10-12,73.54241180419922
2015-10-13,72.1106948852539
2015-10-14,71.20392608642578
2015-10-15,70.65511322021484
2015-10-16,67.76780700683594
2015-10-19,65.66796112060547
2015-10-20,70.98916625976562
2015-10-21,71.65731048583984
2015-10-23,69.79608154296875
2015-10-26,67.9825668334961
2015-10-27,68.34049987792969
2015-10-28,68.67456817626953
2015-10-29,67.57693481445312
2015-10-30,66.28837585449219
2015-11-02,63.68742370605469
2015-11-03,64.665771484375
2015-11-04,64.42713928222656
2015-11-05,62.231849670410156
2015-11-06,62.30344009399414
2015-11-09,63.28178405761719
2015-11-10,64.26012420654297
2015-11-13,63.94990921020508
2015-11-16,63.42494583129883
2015-11-17,63.28178405761719
2015-11-18,62.852264404296875
2015-11-19,64.21240234375
2015-11-20,67.31444549560547
2015-11-23,69.55745697021484
2015-11-24,66.9803695678711
2015-11-26,66.62244415283203
2015-11-27,65.40548706054688
2015-11-30,65.09527587890625
2015-12-01,65.28618621826172
2015-12-02,64.3555679321289
2015-12-03,65.73954772949219
2015-12-04,65.3577651977539
2015-12-07,64.40327453613281
2015-12-08,62.68523025512695
2015-12-09,61.20579147338867
2015-12-10,61.18193054199219
2015-12-11,62.13640213012695
2015-12-14,62.613643646240234
2015-12-15,63.639705657958984
2015-12-16,62.97157287597656
2015-12-17,63.1624755859375
2015-12-18,62.01708221435547
2015-12-21,61.73075866699219
2015-12-22,62.01708221435547
2015-12-23,61.563716888427734
2015-12-24,61.27737808227539
2015-12-28,61.778472900390625
2015-12-29,61.39667892456055
2015-12-30,61.5159912109375
2015-12-31,61.89777755737305
2016-01-01,61.94551467895508
2016-01-04,61.30123519897461
2016-01-05,61.49214172363281
2016-01-06,61.49214172363281
2016-01-07,60.060420989990234
2016-01-08,60.01270294189453
2016-01-11,60.03656005859375
2016-01-12,60.94330596923828
2016-01-13,59.797943115234375
2016-01-14,59.70248794555664
2016-01-15,59.36842346191406
2016-01-18,58.748016357421875
2016-01-19,60.10813903808594
2016-01-20,59.36842346191406
2016-01-21,59.225250244140625
2016-01-22,59.15367126464844
2016-01-25,59.44001007080078
2016-01-27,59.67863464355469
2016-01-28,59.797943115234375
2016-01-29,59.67863464355469
2016-02-01,60.322898864746094
2016-02-02,60.060420989990234
2016-02-03,58.79574203491211
2016-02-04,59.4161491394043
2016-02-05,59.0582160949707
2016-02-08,59.70248794555664
2016-02-09,59.63090896606445
2016-02-10,57.48332977294922
2016-02-11,58.67641830444336
2016-02-12,58.294639587402344
2016-02-15,58.24692153930664
2016-02-16,58.31850051879883
2016-02-17,58.31850051879883
2016-02-18,58.22305679321289
2016-02-19,57.34016799926758
2016-02-22,58.19918441772461
2016-02-23,58.77187728881836
2016-02-24,58.461673736572266
2016-02-25,59.010494232177734
2016-02-26,59.0582160949707
2016-02-29,60.060420989990234
2016-03-01,60.13200378417969
2016-03-02,62.231849670410156
2016-03-03,61.63530731201172
2016-03-04,63.04316711425781
2016-03-08,63.42494583129883
2016-03-09,63.544254302978516
2016-03-10,63.782867431640625
2016-03-11,62.49433898925781
2016-03-14,63.73516082763672
2016-03-15,63.49654769897461
2016-03-16,63.49654769897461
2016-03-17,63.472679138183594
2016-03-18,63.520408630371094
2016-03-21,63.49654769897461
2016-03-22,62.80455017089844
2016-03-23,62.470481872558594
2016-03-28,61.63530731201172
2016-03-29,60.15586471557617
2016-03-30,61.96936798095703
2016-03-31,62.13640213012695
2016-04-01,61.27737808227539
2016-04-04,60.34675979614258
2016-04-05,61.73075866699219
2016-04-06,62.828399658203125
2016-04-07,62.160274505615234
2016-04-08,62.088687896728516
2016-04-11,62.44660949707031
2016-04-12,62.589786529541016
2016-04-13,62.327293395996094
2016-04-18,61.7068977355957
2016-04-20,61.062625885009766
2016-04-21,65.16685485839844
2016-04-22,68.67456817626953
2016-04-25,70.5835189819336
2016-04-26,75.52293395996094
2016-04-27,77.1216812133789
2016-04-28,76.00018310546875
2016-04-29,78.0284423828125
2016-05-02,77.24100494384766
2016-05-03,75.47521209716797
2016-05-04,75.45135498046875
2016-05-05,79.22154235839844
2016-05-06,78.7681655883789
2016-05-09,78.50567626953125
2016-05-10,77.09782409667969
2016-05-11,74.75935363769531
2016-05-12,77.88526916503906
2016-05-13,77.71823120117188
2016-05-16,75.54680633544922
2016-05-17,75.5706787109375
2016-05-18,75.30817413330078
2016-05-19,75.68997192382812
2016-05-20,76.04788970947266
2016-05-23,75.88086700439453
2016-05-24,76.23878479003906
2016-05-25,76.09562683105469
2016-05-26,76.31037902832031
