Date,UU.L
2015-08-24,828.259521484375
2015-08-25,845.6810302734375
2015-08-26,829.7529296875
2015-08-27,847.1741943359375
2015-08-28,851.15625
2015-09-01,824.2777709960938
2015-09-02,832.7393798828125
2015-09-03,839.2101440429688
2015-09-04,831.2461547851562
2015-09-07,848.1697387695312
2015-09-08,864.5956420898438
2015-09-09,868.0796508789062
2015-09-10,862.1067504882812
2015-09-11,854.640625
2015-09-14,852.1516723632812
2015-09-15,863.1023559570312
2015-09-16,877.03955078125
2015-09-17,875.5460815429688
2015-09-18,879.0303344726562
2015-09-21,885.9989624023438
2015-09-22,872.5596313476562
2015-09-23,885.5010375976562
2015-09-24,887.989990234375
2015-09-25,914.3707885742188
2015-09-28,910.886474609375
2015-09-29,901.4293212890625
2015-09-30,920.8416748046875
2015-10-01,920.34375
2015-10-02,940.7515869140625
2015-10-05,965.1414794921875
2015-10-06,959.666259765625
2015-10-07,958.6708374023438
2015-10-08,971.6123657226562
2015-10-09,960.6618041992188
2015-10-12,957.177490234375
2015-10-13,962.1549682617188
2015-10-14,963.1505737304688
2015-10-15,974.10107421875
2015-10-16,976.5899047851562
2015-10-19,975.59423828125
2015-10-20,986.5447387695312
2015-10-21,984.0560302734375
2015-10-22,987.0426025390625
2015-10-23,989.5314331054688
2015-10-26,994.0111083984375
2015-10-27,987.0426025390625
2015-10-28,988.0380249023438
2015-10-29,986.5447387695312
2015-10-30,984.0560302734375
2015-11-02,979.0785522460938
2015-11-03,962.6527099609375
2015-11-04,978.0831298828125
2015-11-05,971.6123657226562
2015-11-06,953.1954345703125
2015-11-09,931.792236328125
2015-11-10,934.2809448242188
2015-11-11,934.2809448242188
2015-11-12,932.2899169921875
2015-11-13,931.792236328125
2015-11-16,935.7742309570312
2015-11-17,957.177490234375
2015-11-18,953.693115234375
2015-11-19,970.1190795898438
2015-11-20,982.5628051757812
2015-11-23,969.6212158203125
2015-11-24,953.693115234375
2015-11-25,948.7157592773438
2015-11-26,961.6572265625
2015-11-27,974.10107421875
2015-11-30,962.1549682617188
2015-12-01,972.110107421875
2015-12-02,973.1055908203125
2015-12-03,956.6798095703125
2015-12-04,945.7290649414062
2015-12-07,946.7247314453125
2015-12-08,940.7515869140625
2015-12-09,940.2539672851562
2015-12-10,931.792236328125
2015-12-11,916.8596801757812
2015-12-14,919.3483276367188
2015-12-15,933.783203125
2015-12-16,933.2853393554688
2015-12-17,921.46533203125
2015-12-18,910.51318359375
2015-12-21,918.478271484375
2015-12-22,916.487060546875
2015-12-23,932.9151000976562
2015-12-24,932.417236328125
2015-12-29,943.3693237304688
2015-12-30,941.8759155273438
2015-12-31,931.4216918945312
2016-01-04,928.9324951171875
2016-01-05,936.39990234375
2016-01-06,931.91943359375
2016-01-07,926.4434204101562
2016-01-08,929.9280395507812
2016-01-11,932.417236328125
2016-01-12,933.412841796875
2016-01-13,937.3954467773438
2016-01-14,919.473876953125
2016-01-15,906.03271484375
2016-01-18,901.55224609375
2016-01-19,916.487060546875
2016-01-20,900.0588989257812
2016-01-21,907.0284423828125
2016-01-22,914.9935302734375
2016-01-25,919.473876953125
2016-01-26,919.9716796875
2016-01-27,942.3736572265625
2016-01-28,930.923828125
2016-01-29,952.3302001953125
2016-02-01,962.7842407226562
2016-02-02,957.308349609375
2016-02-03,941.8759155273438
2016-02-04,939.8846435546875
2016-02-05,918.97607421875
2016-02-08,903.5436401367188
2016-02-09,898.0675659179688
2016-02-10,899.56103515625
2016-02-11,889.1068725585938
2016-02-12,901.55224609375
2016-02-15,915.491455078125
2016-02-16,913.997802734375
2016-02-17,914.4957885742188
2016-02-18,924.9501342773438
2016-02-19,927.9368286132812
2016-02-22,946.3562622070312
2016-02-23,936.39990234375
2016-02-24,913.0022583007812
2016-02-25,926.9411010742188
2016-02-26,922.4608764648438
2016-02-29,921.46533203125
2016-03-01,927.9368286132812
2016-03-02,923.954345703125
2016-03-03,916.487060546875
2016-03-04,908.5218505859375
2016-03-07,904.5394897460938
2016-03-08,896.5742797851562
2016-03-09,895.5784301757812
2016-03-10,887.6133422851562
2016-03-11,893.0894165039062
2016-03-14,900.0588989257812
2016-03-15,895.5784301757812
2016-03-16,897.56982421875
2016-03-17,905.5349731445312
2016-03-18,911.5087280273438
2016-03-21,917.4827270507812
2016-03-22,909.019775390625
2016-03-23,918.97607421875
2016-03-24,914.9935302734375
2016-03-29,916.9849243164062
2016-03-30,925.44775390625
2016-03-31,918.97607421875
2016-04-01,897.072021484375
2016-04-04,909.019775390625
2016-04-05,902.5480346679688
2016-04-06,925.44775390625
2016-04-07,942.3736572265625
2016-04-08,953.3256225585938
2016-04-11,954.3214111328125
2016-04-12,955.8148193359375
2016-04-13,950.3390502929688
2016-04-14,956.8104248046875
2016-04-15,956.8104248046875
2016-04-18,955.3170166015625
2016-04-19,951.3343505859375
2016-04-20,939.3868408203125
2016-04-21,922.4608764648438
2016-04-22,912.0066528320312
2016-04-25,919.473876953125
2016-04-26,934.4085083007812
2016-04-27,937.8932495117188
2016-04-28,933.412841796875
2016-04-29,935.4042358398438
2016-05-03,939.8846435546875
2016-05-04,934.4085083007812
2016-05-05,935.9019165039062
2016-05-06,937.8932495117188
2016-05-09,939.3868408203125
2016-05-10,950.8365478515625
2016-05-11,943.3693237304688
2016-05-12,948.3474731445312
2016-05-13,953.3256225585938
2016-05-16,947.8497924804688
2016-05-17,945.8583984375
2016-05-18,944.3651123046875
2016-05-19,928.4347534179688
2016-05-20,950.8365478515625
2016-05-23,951.832275390625
2016-05-24,965.2734375
2016-05-25,960.7930297851562
2016-05-26,950.8365478515625
2016-05-27,966.7667846679688
2016-05-31,965.7713623046875
2016-06-01,950.8365478515625
2016-06-02,941.8759155273438
2016-06-03,954.8192749023438
2016-06-06,961.2908325195312
2016-06-07,965.2734375
2016-06-08,964.7755737304688
2016-06-09,965.2734375
2016-06-10,946.8541259765625
2016-06-13,938.39111328125
2016-06-14,919.473876953125
2016-06-15,919.9716796875
2016-06-16,911.5087280273438
2016-06-17,914.9935302734375
2016-06-20,954.8192749023438
2016-06-21,950.3390502929688
2016-06-22,952.8279418945312
2016-06-23,928.6834716796875
2016-06-24,924.2020263671875
2016-06-27,934.658935546875
2016-06-28,968.5197143554688
2016-06-29,1010.845947265625
2016-06-30,1030.7640380859375
2016-07-01,1025.784423828125
2016-07-04,1024.78857421875
2016-07-05,1034.7476806640625
2016-07-06,1027.7764892578125
2016-07-07,1014.8294677734375
2016-07-08,1021.80078125
2016-07-11,1027.7764892578125
2016-07-12,1009.8500366210938
2016-07-13,1025.784423828125
2016-07-14,1012.8377075195312
2016-07-15,1014.8294677734375
2016-07-18,1021.80078125
2016-07-19,1019.8089599609375
2016-07-20,1024.78857421875
2016-07-21,1008.85400390625
2016-07-22,1016.8212890625
2016-07-25,1024.78857421875
2016-07-26,1019.8089599609375
2016-07-27,1015.825439453125
2016-07-28,1014.8294677734375
2016-07-29,1012.8377075195312
2016-08-01,1009.8500366210938
2016-08-02,1000.8868408203125
2016-08-03,976.9849853515625
2016-08-04,989.9318237304688
2016-08-05,982.9605102539062
2016-08-08,974.9932250976562
