Date,BRIGADE.NS
2015-08-21,92.41062927246094
2015-08-24,83.74807739257812
2015-08-25,77.8080825805664
2015-08-26,80.87090301513672
2015-08-27,84.58338928222656
2015-08-28,83.06747436523438
2015-08-31,84.27404022216797
2015-09-01,82.69620513916016
2015-09-02,84.49058532714844
2015-09-03,86.06840515136719
2015-09-04,81.8299560546875
2015-09-07,80.778076171875
2015-09-08,80.53057098388672
2015-09-09,81.8299560546875
2015-09-10,80.65433502197266
2015-09-11,82.35590362548828
2015-09-14,85.6043472290039
2015-09-15,86.73442840576172
2015-09-16,86.16939544677734
2015-09-18,86.32635498046875
2015-09-21,85.38459777832031
2015-09-22,82.71633911132812
2015-09-23,83.75225067138672
2015-09-24,84.4428482055664
2015-09-28,84.4428482055664
2015-09-29,89.27715301513672
2015-09-30,99.38516998291016
2015-10-01,94.45671844482422
2015-10-05,92.66741180419922
2015-10-06,97.78421020507812
2015-10-07,97.50170135498047
2015-10-08,97.37612915039062
2015-10-09,99.13404846191406
2015-10-12,98.7573471069336
2015-10-13,101.300048828125
2015-10-14,101.86509704589844
2015-10-15,98.00395202636719
2015-10-16,96.77967834472656
2015-10-19,95.52401733398438
2015-10-20,96.59134674072266
2015-10-21,98.41203308105469
2015-10-23,95.71238708496094
2015-10-26,97.1563720703125
2015-10-27,97.09359741210938
2015-10-28,97.50170135498047
2015-10-29,97.9725570678711
2015-10-30,96.08908081054688
2015-11-02,96.46577453613281
2015-11-03,101.92786407470703
2015-11-04,101.58258056640625
2015-11-05,97.94116973876953
2015-11-06,95.52401733398438
2015-11-09,97.31334686279297
2015-11-10,96.49714660644531
2015-11-13,98.69457244873047
2015-11-16,101.23725128173828
2015-11-17,99.60491180419922
2015-11-18,100.16996765136719
2015-11-19,99.22821807861328
2015-11-20,100.76640319824219
2015-11-23,106.91910552978516
2015-11-24,104.21942901611328
2015-11-26,101.300048828125
2015-11-27,102.46153259277344
2015-11-30,101.92786407470703
2015-12-01,102.712646484375
2015-12-02,102.8382339477539
2015-12-03,101.0802993774414
2015-12-04,100.82917785644531
2015-12-07,101.45700073242188
2015-12-08,97.94116973876953
2015-12-09,94.99037170410156
2015-12-10,96.5599365234375
2015-12-11,94.9275894165039
2015-12-14,94.5195083618164
2015-12-15,94.42532348632812
2015-12-16,94.9275894165039
2015-12-17,97.50170135498047
2015-12-18,96.12045288085938
2015-12-21,97.81559753417969
2015-12-22,95.99491119384766
2015-12-23,96.49714660644531
2015-12-24,98.44343566894531
2015-12-28,96.9680404663086
2015-12-29,96.30882263183594
2015-12-30,96.99942016601562
2015-12-31,96.49714660644531
2016-01-01,96.43437957763672
2016-01-04,97.28194427490234
2016-01-05,96.18324279785156
2016-01-06,96.43437957763672
2016-01-07,93.23245239257812
2016-01-08,95.27290344238281
2016-01-11,94.14280700683594
2016-01-12,93.16967010498047
2016-01-13,90.28166198730469
2016-01-14,86.3891372680664
2016-01-15,85.72990417480469
2016-01-18,84.22312927246094
2016-01-19,85.69852447509766
2016-01-20,85.4473876953125
2016-01-21,85.8240737915039
2016-01-22,86.01243591308594
2016-01-25,85.6043472290039
2016-01-27,86.20079040527344
2016-01-28,97.72142028808594
2016-01-29,97.72142028808594
2016-02-01,98.00395202636719
2016-02-02,91.06645202636719
2016-02-03,91.50593566894531
2016-02-04,91.7570571899414
2016-02-05,91.88262939453125
2016-02-08,93.76611328125
2016-02-09,90.53278350830078
2016-02-10,91.50593566894531
2016-02-11,91.50593566894531
2016-02-12,86.86000061035156
2016-02-15,88.42958068847656
2016-02-16,85.57295227050781
2016-02-17,87.45643615722656
2016-02-18,85.38459777832031
2016-02-19,85.72990417480469
2016-02-22,85.25904846191406
2016-02-23,84.94512176513672
2016-02-24,84.12895202636719
2016-02-25,84.38008117675781
2016-02-26,84.53703308105469
2016-02-29,84.53703308105469
2016-03-01,87.01695251464844
2016-03-02,89.27715301513672
2016-03-03,90.68975067138672
2016-03-04,88.24122619628906
2016-03-08,86.54609680175781
2016-03-09,88.99462890625
2016-03-10,87.67618560791016
2016-03-11,86.73442840576172
2016-03-14,87.55062103271484
2016-03-15,87.89590454101562
2016-03-16,87.58200073242188
2016-03-17,87.04835510253906
2016-03-18,86.95417785644531
2016-03-21,88.08427429199219
2016-03-22,89.2625503540039
2016-03-23,88.9122543334961
2016-03-28,88.33903503417969
2016-03-29,88.94409942626953
2016-03-30,90.47267150878906
2016-03-31,91.87386322021484
2016-04-01,91.17327117919922
2016-04-04,89.45362091064453
2016-04-05,88.84855651855469
2016-04-06,88.9122543334961
2016-04-07,88.59378051757812
2016-04-08,90.5363540649414
2016-04-11,90.37712097167969
2016-04-12,90.34529113769531
2016-04-13,91.17327117919922
2016-04-18,94.67625427246094
2016-04-20,94.26227569580078
2016-04-21,94.89916229248047
2016-04-22,94.93101501464844
2016-04-25,96.1411361694336
2016-04-26,95.88638305664062
2016-04-27,98.75247192382812
2016-04-28,95.85453796386719
2016-04-29,95.69529724121094
2016-05-02,95.6316146850586
2016-05-03,95.9500732421875
2016-05-04,96.80990600585938
2016-05-05,97.03280639648438
2016-05-06,96.84174346923828
2016-05-09,96.80990600585938
2016-05-10,97.57418060302734
2016-05-11,97.06466674804688
2016-05-12,96.77806091308594
2016-05-13,96.84174346923828
2016-05-16,96.77806091308594
2016-05-17,96.77806091308594
2016-05-18,96.84174346923828
2016-05-19,98.05186462402344
2016-05-20,96.77806091308594
2016-05-23,95.47239685058594
2016-05-24,96.42774200439453
2016-05-25,96.80990600585938
2016-05-26,96.1729965209961
2016-05-27,96.96912384033203
