Date,ROST
2015-08-03,48.07716751098633
2015-08-04,48.222225189208984
2015-08-05,48.784324645996094
2015-08-06,48.566741943359375
2015-08-07,48.11343002319336
2015-08-10,48.71178436279297
2015-08-11,48.79338836669922
2015-08-12,48.55767059326172
2015-08-13,48.62113571166992
2015-08-14,48.702728271484375
2015-08-17,49.40986633300781
2015-08-18,51.25027084350586
2015-08-19,50.497806549072266
2015-08-20,50.08983612060547
2015-08-21,45.33015441894531
2015-08-24,43.816139221191406
2015-08-25,42.809810638427734
2015-08-26,44.3600959777832
2015-08-27,45.04005432128906
2015-08-28,44.78620147705078
2015-08-31,44.07905197143555
2015-09-01,43.03645324707031
2015-09-02,44.03437805175781
2015-09-03,44.06165313720703
2015-09-04,44.025291442871094
2015-09-08,45.234073638916016
2015-09-09,44.8796272277832
2015-09-10,45.297706604003906
2015-09-11,45.49765396118164
2015-09-14,44.95233917236328
2015-09-15,44.915992736816406
2015-09-16,45.215904235839844
2015-09-17,45.888465881347656
2015-09-18,44.64331817626953
2015-09-21,44.93415451049805
2015-09-22,44.46154022216797
2015-09-23,44.62514114379883
2015-09-24,44.42520523071289
2015-09-25,44.60696029663086
2015-09-28,43.1618766784668
2015-09-29,43.225502014160156
2015-09-30,44.05255889892578
2015-10-01,43.49816131591797
2015-10-02,44.28887176513672
2015-10-05,44.67058563232422
2015-10-06,43.343650817871094
2015-10-07,43.76172637939453
2015-10-08,44.55244064331055
2015-10-09,44.57061004638672
2015-10-12,45.92482376098633
2015-10-13,44.94324493408203
2015-10-14,44.079833984375
2015-10-15,44.8432731628418
2015-10-16,45.71577453613281
2015-10-19,45.797584533691406
2015-10-20,45.75214767456055
2015-10-21,45.606719970703125
2015-10-22,46.38833999633789
2015-10-23,45.13410949707031
2015-10-26,45.33406448364258
2015-10-27,44.752384185791016
2015-10-28,45.761226654052734
2015-10-29,45.606719970703125
2015-10-30,45.97026443481445
2015-11-02,46.04296875
2015-11-03,47.0245475769043
2015-11-04,46.91548156738281
2015-11-05,46.842769622802734
2015-11-06,45.806663513183594
2015-11-09,44.64331817626953
2015-11-10,45.38860321044922
2015-11-11,44.0980110168457
2015-11-12,43.725372314453125
2015-11-13,40.72612762451172
2015-11-16,41.59862518310547
2015-11-17,42.08942413330078
2015-11-18,42.18939208984375
2015-11-19,41.989437103271484
2015-11-20,46.206565856933594
2015-11-23,46.47013473510742
2015-11-24,47.64255905151367
2015-11-25,47.93341064453125
2015-11-27,47.8607063293457
2015-11-30,47.269935607910156
2015-12-01,48.25151062011719
2015-12-02,48.64231872558594
2015-12-03,47.724361419677734
2015-12-04,49.22397994995117
2015-12-07,49.021785736083984
2015-12-08,49.6229362487793
2015-12-09,49.222171783447266
2015-12-10,49.322364807128906
2015-12-11,48.78496551513672
2015-12-14,49.55917739868164
2015-12-15,49.258609771728516
2015-12-16,50.0328254699707
2015-12-17,49.05821228027344
2015-12-18,48.22935485839844
2015-12-21,49.012672424316406
2015-12-22,49.46809387207031
2015-12-23,49.495426177978516
2015-12-24,49.486324310302734
2015-12-28,49.54096984863281
2015-12-29,50.04193878173828
2015-12-30,49.68670654296875
2015-12-31,49.012672424316406
2016-01-04,49.52275085449219
2016-01-05,49.85063934326172
2016-01-06,49.085548400878906
2016-01-07,48.96712875366211
2016-01-08,47.45513153076172
2016-01-11,47.90143585205078
2016-01-12,49.595611572265625
2016-01-13,47.53709411621094
2016-01-14,48.110923767089844
2016-01-15,47.6281852722168
2016-01-19,47.892337799072266
2016-01-20,47.52799606323242
2016-01-21,47.573524475097656
2016-01-22,49.313255310058594
2016-01-25,48.83961868286133
2016-01-26,49.486324310302734
2016-01-27,48.9853401184082
2016-01-28,49.14019775390625
2016-01-29,51.24423599243164
2016-02-01,51.69967269897461
2016-02-02,51.48106002807617
2016-02-03,50.187652587890625
2016-02-04,49.6229362487793
2016-02-05,48.56636047363281
2016-02-08,48.57546615600586
2016-02-09,49.668487548828125
2016-02-10,49.040000915527344
2016-02-11,47.87411880493164
2016-02-12,48.9580192565918
2016-02-16,50.096588134765625
2016-02-17,50.16034698486328
2016-02-18,49.93263626098633
2016-02-19,49.814208984375
2016-02-22,50.488243103027344
2016-02-23,50.415382385253906
2016-02-24,51.23513412475586
2016-02-25,51.499290466308594
2016-02-26,51.27157211303711
2016-02-29,50.078365325927734
2016-03-01,51.2169303894043
2016-03-02,52.59230041503906
2016-03-03,52.6924934387207
2016-03-04,52.30082321166992
2016-03-07,52.401031494140625
2016-03-08,52.2643928527832
2016-03-09,51.53571701049805
2016-03-10,52.23418426513672
2016-03-11,52.91895294189453
2016-03-14,53.11068344116211
2016-03-15,53.07416534423828
2016-03-16,53.03765106201172
2016-03-17,53.43937301635742
2016-03-18,54.14241409301758
2016-03-21,53.348060607910156
2016-03-22,53.06502914428711
2016-03-23,53.119808197021484
2016-03-24,52.416778564453125
2016-03-28,52.581146240234375
2016-03-29,53.03765106201172
2016-03-30,53.265899658203125
2016-03-31,52.86417007446289
2016-04-01,53.53981399536133
2016-04-04,53.5489387512207
2016-04-05,52.86417007446289
2016-04-06,53.402854919433594
2016-04-07,51.76852798461914
2016-04-08,51.61332321166992
2016-04-11,51.17508316040039
2016-04-12,51.50375747680664
2016-04-13,51.99679183959961
2016-04-14,52.02418899536133
2016-04-15,51.99679183959961
2016-04-18,52.74547576904297
2016-04-19,52.52635192871094
2016-04-20,52.398529052734375
2016-04-21,52.270694732666016
2016-04-22,51.74114990234375
2016-04-25,52.04244613647461
2016-04-26,52.59025573730469
2016-04-27,53.14720153808594
