Date,AWK
2015-08-03,42.9296760559082
2015-08-04,42.22901916503906
2015-08-05,42.53400802612305
2015-08-06,42.95719909667969
2015-08-07,43.40528106689453
2015-08-10,43.36378860473633
2015-08-11,44.077396392822266
2015-08-12,44.59183883666992
2015-08-13,44.95694351196289
2015-08-14,45.0482177734375
2015-08-17,45.37183380126953
2015-08-18,45.330345153808594
2015-08-19,45.47140884399414
2015-08-20,44.965240478515625
2015-08-21,44.824188232421875
2015-08-24,43.08997344970703
2015-08-25,42.60869598388672
2015-08-26,43.264217376708984
2015-08-27,44.09397506713867
2015-08-28,43.98611831665039
2015-08-31,43.0982666015625
2015-09-01,42.368064880371094
2015-09-02,42.658485412597656
2015-09-03,43.32229995727539
2015-09-04,42.4095344543457
2015-09-08,42.890811920166016
2015-09-09,42.49252700805664
2015-09-10,42.4095344543457
2015-09-11,43.1148567199707
2015-09-14,43.34718704223633
2015-09-15,43.54633712768555
2015-09-16,43.84505081176758
2015-09-17,44.24333953857422
2015-09-18,44.3927001953125
2015-09-21,44.542057037353516
2015-09-22,44.45907974243164
2015-09-23,44.724613189697266
2015-09-24,45.114593505859375
2015-09-25,45.54609298706055
2015-09-28,44.882266998291016
2015-09-29,44.965240478515625
2015-09-30,45.70374298095703
2015-10-01,45.861392974853516
2015-10-02,46.16010665893555
2015-10-05,46.525203704833984
2015-10-06,46.15181350708008
2015-10-07,45.927772521972656
2015-10-08,47.16414260864258
2015-10-09,47.189022064208984
2015-10-12,47.6702995300293
2015-10-13,47.86943054199219
2015-10-14,47.41307067871094
2015-10-15,48.30091094970703
2015-10-16,48.44198226928711
2015-10-19,48.914939880371094
2015-10-20,48.624542236328125
2015-10-21,48.07688522338867
2015-10-22,48.50836944580078
2015-10-23,47.819637298583984
2015-10-26,48.29262924194336
2015-10-27,48.06858825683594
2015-10-28,47.902626037597656
2015-10-29,47.36328887939453
2015-10-30,47.595611572265625
2015-11-02,47.55412292480469
2015-11-03,47.902626037597656
2015-11-04,48.11008071899414
2015-11-05,48.56914138793945
2015-11-06,46.27379608154297
2015-11-09,46.565940856933594
2015-11-10,47.26708221435547
2015-11-11,47.48407745361328
2015-11-12,47.133514404296875
2015-11-13,46.749576568603516
2015-11-16,47.43398666381836
2015-11-17,46.782955169677734
2015-11-18,47.62596893310547
2015-11-19,47.801239013671875
2015-11-20,47.90974426269531
2015-11-23,47.968177795410156
2015-11-24,47.47572326660156
2015-11-25,47.59258270263672
2015-11-27,48.452274322509766
2015-11-30,48.21022415161133
2015-12-01,48.30204772949219
2015-12-02,47.701087951660156
2015-12-03,47.9181022644043
2015-12-04,48.41889190673828
2015-12-07,48.74441909790039
2015-12-08,48.786163330078125
2015-12-09,48.33543395996094
2015-12-10,47.383914947509766
2015-12-11,47.34217834472656
2015-12-14,47.34217834472656
2015-12-15,47.73445510864258
2015-12-16,49.069923400878906
2015-12-17,49.48727035522461
2015-12-18,49.70426940917969
2015-12-21,48.63591384887695
2015-12-22,49.27025604248047
2015-12-23,49.720985412597656
2015-12-24,49.937984466552734
2015-12-28,50.589019775390625
2015-12-29,50.58067321777344
2015-12-30,50.45547103881836
2015-12-31,49.871212005615234
2016-01-04,50.34697723388672
2016-01-05,50.205078125
2016-01-06,49.98806381225586
2016-01-07,49.612457275390625
2016-01-08,49.8044319152832
2016-01-11,50.28854751586914
2016-01-12,50.23846435546875
2016-01-13,50.15499496459961
2016-01-14,50.81439208984375
2016-01-15,50.48051452636719
2016-01-19,50.92288589477539
2016-01-20,50.59736633300781
2016-01-21,50.28854751586914
2016-01-22,52.116451263427734
2016-01-25,51.28178405761719
2016-01-26,52.04133224487305
2016-01-27,52.116451263427734
2016-01-28,52.95948028564453
2016-01-29,54.17809295654297
2016-02-01,54.27825164794922
2016-02-02,54.553688049316406
2016-02-03,54.987709045410156
2016-02-04,53.63692092895508
2016-02-05,53.46073532104492
2016-02-08,53.93896484375
2016-02-09,55.138710021972656
2016-02-10,55.94416427612305
2016-02-11,55.44075012207031
2016-02-12,54.60177993774414
2016-02-16,54.66050338745117
2016-02-17,54.29133605957031
2016-02-18,55.214229583740234
2016-02-19,55.1806755065918
2016-02-22,55.60017013549805
2016-02-23,55.93577575683594
2016-02-24,55.952552795410156
2016-02-25,57.09359359741211
2016-02-26,54.375244140625
2016-02-29,54.383636474609375
2016-03-01,54.78636169433594
2016-03-02,57.68925857543945
2016-03-03,56.96773147583008
2016-03-04,56.942562103271484
2016-03-07,56.49788284301758
2016-03-08,57.362060546875
2016-03-09,57.63054275512695
2016-03-10,57.24460983276367
2016-03-11,57.143917083740234
2016-03-14,57.051658630371094
2016-03-15,57.546630859375
2016-03-16,57.806724548339844
2016-03-17,58.70446014404297
2016-03-18,57.060020446777344
2016-03-21,56.67409896850586
2016-03-22,56.72442626953125
2016-03-23,56.67409896850586
2016-03-24,56.74119186401367
2016-03-28,56.330108642578125
2016-03-29,57.65571975708008
2016-03-30,57.56342697143555
2016-03-31,57.83188247680664
2016-04-01,58.31010437011719
2016-04-04,58.41081237792969
2016-04-05,57.932586669921875
2016-04-06,58.31010437011719
2016-04-07,58.561832427978516
2016-04-08,59.048431396484375
2016-04-11,58.81351089477539
2016-04-12,59.05683898925781
2016-04-13,59.05683898925781
2016-04-14,59.098777770996094
2016-04-15,59.786773681640625
2016-04-18,60.15589904785156
2016-04-19,60.57542037963867
2016-04-20,59.46794128417969
2016-04-21,57.2697868347168
2016-04-22,58.091976165771484
2016-04-25,59.40081787109375
2016-04-26,59.9126091003418
2016-04-27,60.55023956298828
