Date,CENTURYPLY.NS
2015-08-21,170.56480407714844
2015-08-24,149.91366577148438
2015-08-25,149.62416076660156
2015-08-26,151.16818237304688
2015-08-27,152.7604217529297
2015-08-28,151.6506805419922
2015-08-31,147.98365783691406
2015-09-01,142.57960510253906
2015-09-02,140.1188507080078
2015-09-03,139.5398406982422
2015-09-04,135.92108154296875
2015-09-07,138.52659606933594
2015-09-08,142.86911010742188
2015-09-09,147.11512756347656
2015-09-10,150.68563842773438
2015-09-11,153.82192993164062
2015-09-14,155.3177032470703
2015-09-15,154.0149383544922
2015-09-16,153.2911834716797
2015-09-18,155.9449462890625
2015-09-21,154.97994995117188
2015-09-22,149.86541748046875
2015-09-23,153.773681640625
2015-09-24,153.14642333984375
2015-09-28,151.50592041015625
2015-09-29,150.92691040039062
2015-09-30,150.20315551757812
2015-10-01,151.21640014648438
2015-10-05,153.24295043945312
2015-10-06,164.5817413330078
2015-10-07,169.11727905273438
2015-10-08,168.4417724609375
2015-10-09,168.4900360107422
2015-10-12,165.88449096679688
2015-10-13,168.4900360107422
2015-10-14,177.2715606689453
2015-10-15,178.38134765625
2015-10-16,177.94708251953125
2015-10-19,177.31980895996094
2015-10-20,175.9687957763672
2015-10-21,177.5128173828125
2015-10-23,175.872314453125
2015-10-26,172.59129333496094
2015-10-27,173.17027282714844
2015-10-28,173.02557373046875
2015-10-29,165.78799438476562
2015-10-30,168.87603759765625
2015-11-02,174.8590545654297
2015-11-03,174.76255798339844
2015-11-04,173.36329650878906
2015-11-05,166.36700439453125
2015-11-06,169.31027221679688
2015-11-09,174.569580078125
2015-11-10,169.02076721191406
2015-11-13,169.50326538085938
2015-11-16,175.14854431152344
2015-11-17,172.0122833251953
2015-11-18,170.3235321044922
2015-11-19,171.8192901611328
2015-11-20,171.38507080078125
2015-11-23,175.10031127929688
2015-11-24,177.75405883789062
2015-11-26,177.12684631347656
2015-11-27,175.00379943847656
2015-11-30,185.37762451171875
2015-12-01,185.86013793945312
2015-12-02,186.58389282226562
2015-12-03,183.78533935546875
2015-12-04,183.20635986328125
2015-12-07,186.82513427734375
2015-12-08,181.56582641601562
2015-12-09,171.7227783203125
2015-12-10,170.5165557861328
2015-12-11,170.03402709960938
2015-12-14,170.13052368164062
2015-12-15,169.35855102539062
2015-12-16,167.0425262451172
2015-12-17,166.17401123046875
2015-12-18,163.23072814941406
2015-12-21,163.37550354003906
2015-12-22,160.81820678710938
2015-12-23,168.87603759765625
2015-12-24,169.98577880859375
2015-12-28,169.98577880859375
2015-12-29,168.00750732421875
2015-12-30,165.6432647705078
2015-12-31,163.56849670410156
2016-01-01,167.6697540283203
2016-01-04,166.36700439453125
2016-01-05,168.92428588867188
2016-01-06,167.13900756835938
2016-01-07,161.8314666748047
2016-01-08,161.4454803466797
2016-01-11,166.36700439453125
2016-01-12,164.09922790527344
2016-01-13,160.48046875
2016-01-14,159.12948608398438
2016-01-15,154.3043975830078
2016-01-18,149.62416076660156
2016-01-19,157.6819305419922
