Date,BERGEPAINT.NS
2015-08-21,122.27699279785156
2015-08-24,112.64134216308594
2015-08-25,115.59965515136719
2015-08-26,116.38853454589844
2015-08-27,118.02265167236328
2015-08-28,116.9520263671875
2015-08-31,119.74127960205078
2015-09-01,120.3047866821289
2015-09-02,118.86788940429688
2015-09-03,120.3047866821289
2015-09-04,119.7131118774414
2015-09-07,119.48770904541016
2015-09-08,119.45954132080078
2015-09-09,120.95280456542969
2015-09-10,119.7131118774414
2015-09-11,119.9948501586914
2015-09-14,125.26345825195312
2015-09-15,123.26309967041016
2015-09-16,121.93888854980469
2015-09-18,125.79878997802734
2015-09-21,123.96743774414062
2015-09-22,124.55908966064453
2015-09-23,124.2773666381836
2015-09-24,126.8130874633789
2015-09-28,123.48848724365234
2015-09-29,124.47457885742188
2015-09-30,123.77024841308594
2015-10-01,122.72777557373047
2015-10-05,126.64402770996094
2015-10-06,125.34800720214844
2015-10-07,125.46070098876953
2015-10-08,123.82659149169922
2015-10-09,124.84086608886719
2015-10-12,126.47498321533203
2015-10-13,128.78529357910156
2015-10-14,128.0809326171875
2015-10-15,127.71466827392578
2015-10-16,126.67220306396484
2015-10-19,125.99602508544922
2015-10-20,126.33411407470703
2015-10-21,125.26345825195312
2015-10-23,124.44642639160156
2015-10-26,124.36190032958984
2015-10-27,124.53096008300781
2015-10-28,123.9956283569336
2015-10-29,123.9956283569336
2015-10-30,124.92539978027344
2015-11-02,123.17857360839844
2015-11-03,126.70036315917969
2015-11-04,129.7150421142578
2015-11-05,126.19324493408203
2015-11-06,126.8130874633789
2015-11-09,125.71428680419922
2015-11-10,124.98173522949219
2015-11-13,123.77024841308594
2015-11-16,124.1646957397461
2015-11-17,123.54483032226562
2015-11-18,123.26309967041016
2015-11-19,123.93928527832031
2015-11-20,125.09441375732422
2015-11-23,125.62974548339844
2015-11-24,124.78451538085938
2015-11-26,123.79837799072266
2015-11-27,123.82659149169922
2015-11-30,124.02379608154297
2015-12-01,123.96743774414062
2015-12-02,125.51703643798828
2015-12-03,129.77137756347656
2015-12-04,131.85630798339844
2015-12-07,134.1947479248047
2015-12-08,131.88442993164062
2015-12-09,125.74244689941406
2015-12-10,125.26345825195312
2015-12-11,123.88291931152344
2015-12-14,121.62897491455078
2015-12-15,125.62974548339844
2015-12-16,125.15078735351562
2015-12-17,128.86981201171875
2015-12-18,135.37808227539062
2015-12-21,133.9130401611328
2015-12-22,141.91456604003906
2015-12-23,143.3232879638672
2015-12-24,141.91456604003906
2015-12-28,144.95741271972656
2015-12-29,147.40853881835938
2015-12-30,150.2259979248047
2015-12-31,151.49386596679688
2016-01-01,147.18316650390625
2016-01-04,148.45103454589844
2016-01-05,145.07008361816406
2016-01-06,142.92880249023438
2016-01-07,142.5907440185547
2016-01-08,142.22447204589844
2016-01-11,137.88560485839844
2016-01-12,139.04075622558594
2016-01-13,139.37884521484375
2016-01-14,144.6756591796875
2016-01-15,144.59115600585938
2016-01-18,138.53359985351562
2016-01-19,141.09750366210938
2016-01-20,140.3367919921875
2016-01-21,141.40740966796875
2016-01-22,142.92880249023438
2016-01-25,148.986328125
2016-01-27,153.07162475585938
2016-01-28,152.141845703125
2016-01-29,150.14151000976562
2016-02-01,151.97280883789062
2016-02-02,149.32440185546875
2016-02-03,149.21176147460938
2016-02-04,151.55020141601562
2016-02-05,157.57952880859375
2016-02-08,155.77635192871094
2016-02-09,146.67601013183594
2016-02-10,140.95663452148438
2016-02-11,140.19593811035156
2016-02-12,134.22296142578125
2016-02-15,137.85745239257812
2016-02-16,130.67295837402344
2016-02-17,134.34591674804688
2016-02-18,136.1824188232422
2016-02-19,135.02401733398438
2016-02-22,133.32882690429688
2016-02-23,135.30653381347656
2016-02-24,132.76373291015625
2016-02-25,128.89297485351562
2016-02-26,128.83648681640625
2016-02-29,126.74571228027344
2016-03-01,131.35107421875
2016-03-02,134.37417602539062
2016-03-03,135.50433349609375
2016-03-04,133.30056762695312
2016-03-08,131.49229431152344
2016-03-09,134.09165954589844
2016-03-10,133.1593017578125
2016-03-11,134.03514099121094
2016-03-14,133.2722930908203
2016-03-15,131.435791015625
2016-03-16,129.82534790039062
2016-03-17,129.93836975097656
2016-03-18,127.48030853271484
2016-03-21,129.93836975097656
2016-03-22,132.00088500976562
2016-03-23,129.93836975097656
2016-03-28,131.71835327148438
2016-03-29,134.9392852783203
2016-03-30,136.91700744628906
2016-03-31,138.32968139648438
2016-04-01,138.13189697265625
2016-04-04,137.53858947753906
2016-04-05,138.97952270507812
2016-04-06,137.53858947753906
2016-04-07,139.43157958984375
2016-04-08,141.04202270507812
2016-04-11,143.92388916015625
2016-04-12,144.03692626953125
2016-04-13,142.53948974609375
2016-04-18,142.7655029296875
2016-04-20,141.74838256835938
2016-04-21,142.39822387695312
2016-04-22,143.5001220703125
2016-04-25,145.5908660888672
2016-04-26,148.614013671875
2016-04-27,148.75531005859375
2016-04-28,149.15081787109375
2016-04-29,145.50611877441406
2016-05-02,143.4718475341797
2016-05-03,149.03782653808594
2016-05-04,150.6482696533203
2016-05-05,145.90167236328125
2016-05-06,150.78952026367188
2016-05-09,156.89230346679688
2016-05-10,157.59864807128906
2016-05-11,153.27584838867188
2016-05-12,158.6157684326172
2016-05-13,163.07984924316406
2016-05-16,163.92747497558594
2016-05-17,166.41378784179688
2016-05-18,167.17665100097656
2016-05-19,160.5935516357422
2016-05-20,158.4180145263672
2016-05-23,156.83580017089844
2016-05-24,154.9710693359375
2016-05-25,161.38462829589844
2016-05-26,160.395751953125
2016-05-27,163.50367736816406
