Date,AMBU-B.CO
2015-08-24,33.69875717163086
2015-08-25,36.23103332519531
2015-08-26,36.91279602050781
2015-08-27,38.8607063293457
2015-08-28,38.8607063293457
2015-08-31,40.12684631347656
2015-09-01,40.516422271728516
2015-09-02,39.25028610229492
2015-09-03,38.7633056640625
2015-09-04,37.9841423034668
2015-09-07,37.9841423034668
2015-09-08,37.78935623168945
2015-09-09,37.78935623168945
2015-09-10,37.39977264404297
2015-09-11,37.01019287109375
2015-09-14,36.0362434387207
2015-09-15,36.62060546875
2015-09-16,36.7180061340332
2015-09-17,36.32842254638672
2015-09-18,36.523216247558594
2015-09-21,36.7180061340332
2015-09-22,36.523216247558594
2015-09-23,36.32842254638672
2015-09-24,36.23103332519531
2015-09-25,36.23103332519531
2015-09-28,36.13364028930664
2015-09-29,35.257076263427734
2015-09-30,35.159690856933594
2015-10-01,34.96489334106445
2015-10-02,35.06229019165039
2015-10-05,34.867496490478516
2015-10-06,35.35447692871094
2015-10-07,36.815406799316406
2015-10-08,37.691959381103516
2015-10-09,37.78935623168945
2015-10-12,37.691959381103516
2015-10-13,37.691959381103516
2015-10-14,37.594566345214844
2015-10-15,37.88675308227539
2015-10-16,38.568511962890625
2015-10-19,38.66591262817383
2015-10-20,39.347679138183594
2015-10-21,39.347679138183594
2015-10-22,38.7633056640625
2015-10-23,37.594566345214844
2015-10-26,37.20498275756836
2015-10-27,36.13364028930664
2015-10-28,35.64665985107422
2015-10-29,35.06229019165039
2015-10-30,35.841453552246094
2015-11-02,36.425819396972656
2015-11-03,36.62060546875
2015-11-04,36.815406799316406
2015-11-05,37.78935623168945
2015-11-06,38.1789436340332
2015-11-09,38.568511962890625
2015-11-10,38.66591262817383
2015-11-11,39.05548858642578
2015-11-12,38.568511962890625
2015-11-13,37.9841423034668
2015-11-16,38.8607063293457
2015-11-17,39.15289306640625
2015-11-18,39.93205261230469
2015-11-19,39.54247283935547
2015-11-20,39.93205261230469
2015-11-23,40.906005859375
2015-11-24,40.516422271728516
2015-11-25,40.61381530761719
2015-11-26,40.321632385253906
2015-11-27,40.41902542114258
2015-11-30,40.12684631347656
2015-12-01,40.321632385253906
2015-12-02,40.41902542114258
2015-12-03,40.8086051940918
2015-12-04,39.93205261230469
2015-12-07,40.02944564819336
2015-12-08,39.54247283935547
2015-12-09,39.54247283935547
2015-12-10,39.54247283935547
