Date,TATE.L
2015-08-24,584.680908203125
2015-08-25,589.9115600585938
2015-08-26,583.5183715820312
2015-08-27,625.364501953125
2015-08-28,630.0139770507812
2015-09-01,625.9454956054688
2015-09-02,632.3387451171875
2015-09-03,636.406982421875
2015-09-04,629.4326782226562
2015-09-07,629.4326782226562
2015-09-08,631.757568359375
2015-09-09,635.2448120117188
2015-09-10,627.6891479492188
2015-09-11,617.8088989257812
2015-09-14,619.5525512695312
2015-09-15,636.98828125
2015-09-16,651.5181884765625
2015-09-17,649.7745971679688
2015-09-18,646.8685302734375
2015-09-21,649.7745971679688
2015-09-22,639.3129272460938
2015-09-23,641.0565185546875
2015-09-24,661.9796752929688
2015-09-25,684.0650634765625
2015-09-28,675.9282836914062
2015-09-29,671.2788696289062
2015-09-30,683.4837646484375
2015-10-01,678.8340454101562
2015-10-02,683.4837646484375
2015-10-05,677.6719360351562
2015-10-06,679.9967651367188
2015-10-07,673.6036376953125
2015-10-08,661.3985595703125
2015-10-09,671.85986328125
2015-10-12,674.1846923828125
2015-10-13,662.560791015625
2015-10-14,662.560791015625
2015-10-15,662.560791015625
2015-10-16,658.4923706054688
2015-10-19,660.8171997070312
2015-10-20,659.07373046875
2015-10-21,665.4667358398438
2015-10-22,678.8340454101562
2015-10-23,685.8086547851562
2015-10-26,690.4581909179688
2015-10-27,686.9708862304688
2015-10-28,693.9453735351562
2015-10-29,698.0137329101562
2015-10-30,694.5265502929688
2015-11-02,694.5265502929688
2015-11-03,695.1077270507812
2015-11-04,694.5265502929688
2015-11-05,707.3128051757812
2015-11-06,706.1504516601562
2015-11-09,716.0306396484375
2015-11-10,714.8682861328125
2015-11-11,706.1504516601562
2015-11-12,695.6887817382812
2015-11-13,689.295654296875
2015-11-16,695.1077270507812
2015-11-17,704.9879760742188
2015-11-18,705.5693359375
2015-11-19,690.5514526367188
2015-11-20,704.5018310546875
2015-11-23,699.2703857421875
2015-11-24,691.7138671875
2015-11-25,696.9454956054688
2015-11-26,691.7138671875
2015-11-27,687.64501953125
2015-11-30,685.9012451171875
2015-12-01,701.0143432617188
2015-12-02,700.43310546875
2015-12-03,703.3394165039062
2015-12-04,706.8269653320312
2015-12-07,713.8023071289062
2015-12-08,706.245849609375
2015-12-09,696.9454956054688
2015-12-10,687.063720703125
2015-12-11,682.9948120117188
2015-12-14,682.41357421875
2015-12-15,681.8323974609375
2015-12-16,683.5761108398438
2015-12-17,684.73876953125
2015-12-18,684.73876953125
2015-12-21,683.5761108398438
2015-12-22,685.3199462890625
2015-12-23,695.7827758789062
2015-12-24,691.7138671875
2015-12-29,703.3394165039062
2015-12-30,702.7581176757812
2015-12-31,696.3640747070312
2016-01-04,681.2509765625
2016-01-05,684.73876953125
2016-01-06,671.9506225585938
2016-01-07,674.8569946289062
2016-01-08,679.5072631835938
2016-01-11,664.3941650390625
2016-01-12,678.3446044921875
2016-01-13,691.1326904296875
2016-01-14,678.3446044921875
2016-01-15,701.5955810546875
2016-01-18,684.157470703125
2016-01-19,686.482421875
2016-01-20,692.8765258789062
2016-01-21,687.64501953125
2016-01-22,685.9012451171875
2016-01-25,692.2952270507812
2016-01-26,686.482421875
2016-01-27,698.689208984375
2016-01-28,703.9207763671875
2016-01-29,727.171630859375
2016-02-01,727.171630859375
2016-02-02,727.7528076171875
2016-02-03,713.2208251953125
2016-02-04,694.0391235351562
2016-02-05,682.9948120117188
2016-02-08,674.8569946289062
2016-02-09,668.4630737304688
2016-02-10,676.0195922851562
2016-02-11,627.77392578125
2016-02-12,622.5425415039062
2016-02-15,643.46826171875
2016-02-16,635.911865234375
2016-02-17,651.606201171875
2016-02-18,655.6751098632812
2016-02-19,649.2810668945312
2016-02-22,659.743896484375
2016-02-23,661.4879150390625
2016-02-24,659.1627807617188
2016-02-25,676.0195922851562
2016-02-26,681.8323974609375
2016-02-29,682.41357421875
2016-03-01,685.3199462890625
2016-03-02,671.3695068359375
2016-03-03,662.6502685546875
2016-03-04,669.0443115234375
2016-03-07,667.8816528320312
2016-03-08,664.9754638671875
2016-03-09,666.137939453125
2016-03-10,650.4435424804688
2016-03-11,657.4188232421875
2016-03-14,659.743896484375
2016-03-15,662.6502685546875
2016-03-16,656.2564086914062
2016-03-17,646.9559326171875
2016-03-18,645.7933959960938
2016-03-21,647.537353515625
2016-03-22,641.7244873046875
2016-03-23,652.1873779296875
2016-03-24,651.0247802734375
2016-03-29,664.3941650390625
2016-03-30,670.7882080078125
2016-03-31,671.9506225585938
2016-04-01,667.8816528320312
2016-04-04,683.5761108398438
2016-04-05,678.3446044921875
2016-04-06,689.9700317382812
2016-04-07,694.0391235351562
2016-04-08,686.482421875
2016-04-11,678.92578125
2016-04-12,680.0885620117188
2016-04-13,682.9948120117188
2016-04-14,691.1326904296875
2016-04-15,685.3199462890625
2016-04-18,693.4577026367188
2016-04-19,704.5018310546875
2016-04-20,702.7581176757812
2016-04-21,695.2015991210938
2016-04-22,691.7138671875
2016-04-25,692.8765258789062
2016-04-26,688.2262573242188
2016-04-27,698.689208984375
2016-04-28,693.4577026367188
2016-04-29,683.5761108398438
2016-05-03,696.9454956054688
2016-05-04,686.482421875
2016-05-05,691.1326904296875
2016-05-06,690.5514526367188
2016-05-09,710.314697265625
2016-05-10,709.7332763671875
2016-05-11,707.9895629882812
2016-05-12,708.5709838867188
2016-05-13,712.0585327148438
2016-05-16,714.3836059570312
2016-05-17,708.5709838867188
2016-05-18,705.6646728515625
2016-05-19,694.0391235351562
2016-05-20,707.4083862304688
2016-05-23,711.4771728515625
2016-05-24,706.8269653320312
2016-05-25,713.8023071289062
2016-05-26,725.4279174804688
2016-05-27,727.7528076171875
2016-05-31,730.6591186523438
2016-06-01,735.890625
2016-06-02,741.1220703125
2016-06-03,738.2158203125
2016-06-06,739.3782348632812
2016-06-07,738.7970581054688
2016-06-08,737.0531616210938
2016-06-09,737.0531616210938
2016-06-10,731.8219604492188
2016-06-13,724.26513671875
2016-06-14,717.2898559570312
2016-06-15,718.4523315429688
2016-06-16,713.8023071289062
2016-06-17,714.96484375
