Date,BATS.L
2015-08-24,3334.281494140625
2015-08-25,3403.341552734375
2015-08-26,3383.96533203125
2015-08-27,3443.089111328125
2015-08-28,3457.000244140625
2015-09-01,3369.556640625
2015-09-02,3371.04638671875
2015-09-03,3428.680419921875
2015-09-04,3363.09765625
2015-09-07,3378.499267578125
2015-09-08,3388.93359375
2015-09-09,3447.56005859375
2015-09-10,3417.74951171875
2015-09-11,3402.3486328125
2015-09-14,3401.354248046875
2015-09-15,3450.541259765625
2015-09-16,3552.393798828125
2015-09-17,3555.374267578125
2015-09-18,3548.418701171875
2015-09-21,3535.997314453125
2015-09-22,3437.126953125
2015-09-23,3492.275634765625
2015-09-24,3512.646240234375
2015-09-25,3595.12158203125
2015-09-28,3533.016357421875
2015-09-29,3498.73486328125
2015-09-30,3619.96337890625
2015-10-01,3565.80859375
2015-10-02,3611.51708984375
2015-10-05,3656.232421875
2015-10-06,3679.087158203125
2015-10-07,3702.4384765625
2015-10-08,3714.8583984375
2015-10-09,3746.159912109375
2015-10-12,3739.701416015625
2015-10-13,3748.148193359375
2015-10-14,3713.36865234375
2015-10-15,3779.945556640625
2015-10-16,3805.78076171875
2015-10-19,3800.314697265625
2015-10-20,3774.977294921875
2015-10-21,3791.868896484375
2015-10-22,3798.8251953125
2015-10-23,3819.195068359375
2015-10-26,3805.78076171875
2015-10-27,3769.51220703125
2015-10-28,3868.382080078125
2015-10-29,3865.89794921875
2015-10-30,3835.09423828125
2015-11-02,3795.843505859375
2015-11-03,3817.70458984375
2015-11-04,3832.60986328125
2015-11-05,3835.591552734375
2015-11-06,3785.90771484375
2015-11-09,3749.140625
2015-11-10,3755.60009765625
2015-11-11,3760.56884765625
2015-11-12,3700.9482421875
2015-11-13,3682.068603515625
2015-11-16,3717.3427734375
2015-11-17,3787.893798828125
2015-11-18,3784.41650390625
2015-11-19,3836.08740234375
2015-11-20,3845.52783203125
2015-11-23,3844.53515625
2015-11-24,3825.654541015625
2015-11-25,3848.509033203125
2015-11-26,3850.496337890625
