Date,ZYDUSLIFE.NS
2015-08-21,356.5836181640625
2015-08-24,336.97357177734375
2015-08-25,333.38067626953125
2015-08-26,335.4925537109375
2015-08-27,347.6973571777344
2015-08-28,352.6982116699219
2015-08-31,347.0757141113281
2015-09-01,343.5285339355469
2015-09-02,336.73583984375
2015-09-03,341.0783996582031
2015-09-04,331.4241943359375
2015-09-07,328.955810546875
2015-09-08,325.4909362792969
2015-09-09,329.09295654296875
2015-09-10,326.2680358886719
2015-09-11,325.719482421875
2015-09-14,328.855224609375
2015-09-15,326.743408203125
2015-09-16,350.82403564453125
2015-09-18,350.961181640625
2015-09-21,363.7054748535156
2015-09-22,354.59063720703125
2015-09-23,368.50506591796875
2015-09-24,372.78363037109375
2015-09-28,378.2781677246094
2015-09-29,377.1536560058594
2015-09-30,382.4561462402344
2015-10-01,384.1657409667969
2015-10-05,380.5362854003906
2015-10-06,389.1391296386719
2015-10-07,386.8992614746094
2015-10-08,374.1915283203125
2015-10-09,373.04876708984375
2015-10-12,372.1802673339844
2015-10-13,383.42523193359375
2015-10-14,386.85357666015625
2015-10-15,384.5223388671875
2015-10-16,382.05389404296875
2015-10-19,393.8016662597656
2015-10-20,395.08154296875
2015-10-21,394.3044738769531
2015-10-23,405.09234619140625
2015-10-26,390.5104064941406
2015-10-27,388.54486083984375
2015-10-28,389.3676452636719
2015-10-29,381.0025634765625
2015-10-30,381.0482177734375
2015-11-02,375.1972351074219
2015-11-03,386.4878845214844
2015-11-04,393.8473205566406
2015-11-05,392.5674743652344
2015-11-06,376.0200500488281
2015-11-09,380.6368713378906
2015-11-10,375.1972351074219
2015-11-13,376.9342346191406
2015-11-16,362.7637634277344
2015-11-17,377.5741882324219
2015-11-18,373.0030517578125
2015-11-19,376.6142883300781
2015-11-20,381.5967712402344
2015-11-23,387.5849914550781
2015-11-24,377.29998779296875
2015-11-26,370.0318603515625
2015-11-27,375.88287353515625
2015-11-30,363.12945556640625
2015-12-01,366.64923095703125
2015-12-02,371.5403137207031
2015-12-03,368.9804992675781
2015-12-04,359.47259521484375
2015-12-07,359.74688720703125
2015-12-08,360.11260986328125
2015-12-09,351.7930603027344
2015-12-10,360.0211181640625
2015-12-11,355.4500427246094
2015-12-14,363.4951477050781
2015-12-15,361.895263671875
2015-12-16,360.2496337890625
2015-12-17,360.706787109375
2015-12-18,357.5527648925781
2015-12-21,354.8557434082031
2015-12-22,357.0955810546875
2015-12-23,358.192626953125
2015-12-24,356.5927734375
2015-12-28,355.4042663574219
2015-12-29,354.49005126953125
2015-12-30,351.290283203125
2015-12-31,299.4537658691406
2016-01-01,304.162109375
2016-01-04,293.2828369140625
2016-01-05,286.70037841796875
2016-01-06,293.2371520996094
2016-01-07,280.5293884277344
2016-01-08,283.6834716796875
2016-01-11,288.0260314941406
2016-01-12,293.19140625
2016-01-13,293.6028137207031
2016-01-14,288.11749267578125
2016-01-15,282.037841796875
2016-01-18,274.90692138671875
2016-01-19,282.2207336425781
2016-01-20,275.8668518066406
2016-01-21,271.1128234863281
2016-01-22,275.1355285644531
2016-01-25,277.10107421875
2016-01-27,278.7923889160156
2016-01-28,273.3984375
2016-01-29,278.10675048828125
2016-02-01,291.3629455566406
2016-02-02,289.7173156738281
2016-02-03,289.8544616699219
2016-02-04,285.51190185546875
2016-02-05,298.4481506347656
2016-02-08,298.8138732910156
2016-02-09,300.18524169921875
2016-02-10,298.4481506347656
2016-02-11,292.36859130859375
2016-02-12,278.9294738769531
2016-02-15,287.8431701660156
2016-02-16,284.7348327636719
2016-02-17,287.1117858886719
2016-02-18,294.74554443359375
2016-02-19,299.2709655761719
2016-02-22,300.96234130859375
2016-02-23,302.1507873535156
2016-02-24,294.4713439941406
2016-02-25,297.8539733886719
2016-02-26,292.8714599609375
2016-02-29,287.6146240234375
2016-03-01,298.2196044921875
2016-03-02,301.9222106933594
2016-03-03,304.7106018066406
2016-03-04,308.96173095703125
2016-03-08,306.90478515625
2016-03-09,314.76702880859375
2016-03-10,315.4527282714844
2016-03-11,315.0870666503906
2016-03-14,318.83538818359375
2016-03-15,309.51031494140625
2016-03-16,309.6016540527344
2016-03-17,311.4937744140625
2016-03-18,315.04705810546875
2016-03-21,314.7240295410156
2016-03-22,302.44891357421875
2016-03-23,295.572998046875
2016-03-28,294.0500793457031
2016-03-29,292.0196533203125
2016-03-30,294.7884521484375
2016-03-31,292.4810791015625
2016-04-01,296.126708984375
2016-04-04,290.865966796875
2016-04-05,294.14239501953125
2016-04-06,290.2660217285156
2016-04-07,294.8807678222656
2016-04-08,296.8189392089844
2016-04-11,293.17327880859375
2016-04-12,292.9425048828125
2016-04-13,295.52679443359375
2016-04-18,304.6639404296875
2016-04-20,301.2490539550781
2016-04-21,303.1872253417969
2016-04-22,309.8324890136719
2016-04-25,305.4023132324219
2016-04-26,302.72576904296875
2016-04-27,301.6643981933594
2016-04-28,301.8951416015625
2016-04-29,302.35662841796875
2016-05-02,299.5877685546875
2016-05-03,295.43450927734375
