Date,ANTO.L
2015-08-24,531.5564575195312
2015-08-25,577.930419921875
2015-08-26,559.9793090820312
2015-08-27,609.8438720703125
2015-08-28,607.3505859375
2015-09-01,572.944091796875
2015-09-02,575.9358520507812
2015-09-03,594.884521484375
2015-09-04,562.9711303710938
2015-09-07,605.35595703125
2015-09-08,608.347900390625
2015-09-09,613.334228515625
2015-09-10,602.8627319335938
2015-09-11,605.8546752929688
2015-09-14,590.895263671875
2015-09-15,603.860107421875
2015-09-16,602.8627319335938
2015-09-17,587.9230346679688
2015-09-18,577.9498901367188
2015-09-21,563.9873657226562
2015-09-22,523.0971069335938
2015-09-23,523.0971069335938
2015-09-24,510.1318054199219
2015-09-25,504.64642333984375
2015-09-28,479.7134704589844
2015-09-29,490.3847961425781
2015-09-30,498.3634338378906
2015-10-01,499.659912109375
2015-10-02,508.13720703125
2015-10-05,536.062255859375
2015-10-06,535.5635986328125
2015-10-07,574.9580078125
2015-10-08,576.4541015625
2015-10-09,594.40576171875
2015-10-12,574.9580078125
2015-10-13,564.9848022460938
2015-10-14,578.9472045898438
2015-10-15,584.9313354492188
2015-10-16,577.9498901367188
2015-10-19,558.0034790039062
2015-10-20,556.5075073242188
2015-10-21,544.040771484375
2015-10-22,559.49951171875
2015-10-23,572.9633178710938
2015-10-26,565.9820556640625
2015-10-27,543.0436401367188
2015-10-28,535.0650024414062
2015-10-29,525.0918579101562
2015-10-30,525.0918579101562
2015-11-02,520.6038208007812
2015-11-03,534.0675048828125
2015-11-04,536.062255859375
2015-11-05,514.6197509765625
2015-11-06,513.1238403320312
2015-11-09,508.13720703125
2015-11-10,496.3687744140625
2015-11-11,504.1478271484375
2015-11-12,479.5139465332031
2015-11-13,478.3171081542969
2015-11-16,474.0286560058594
2015-11-17,471.13641357421875
2015-11-18,498.6625671386719
2015-11-19,499.659912109375
2015-11-20,506.64117431640625
2015-11-23,494.8727722167969
2015-11-24,494.97247314453125
2015-11-25,497.2663269042969
2015-11-26,516.1157836914062
2015-11-27,495.3714294433594
2015-11-30,506.142578125
2015-12-01,511.1292419433594
2015-12-02,513.1238403320312
2015-12-03,499.659912109375
2015-12-04,490.3847961425781
2015-12-07,476.62164306640625
2015-12-08,440.5185546875
2015-12-09,445.4054260253906
2015-12-10,444.80706787109375
2015-12-11,427.7528076171875
2015-12-14,411.1971740722656
2015-12-15,411.7955322265625
2015-12-16,416.5827331542969
2015-12-17,413.8900146484375
2015-12-18,415.1865234375
2015-12-21,424.06268310546875
2015-12-22,443.80975341796875
2015-12-23,461.86126708984375
2015-12-24,461.36260986328125
2015-12-29,459.46771240234375
2015-12-30,470.83721923828125
2015-12-31,468.04473876953125
2016-01-04,444.50787353515625
2016-01-05,445.70465087890625
2016-01-06,432.5399475097656
2016-01-07,409.5017395019531
2016-01-08,397.23468017578125
2016-01-11,386.6629333496094
2016-01-12,373.099365234375
2016-01-13,367.8135070800781
2016-01-14,371.9025573730469
2016-01-15,349.6622314453125
2016-01-18,349.0638122558594
2016-01-19,354.5491027832031
2016-01-20,345.17425537109375
2016-01-21,364.4225769042969
2016-01-22,371.2044372558594
2016-01-25,362.228515625
2016-01-26,376.9889221191406
2016-01-27,374.3959045410156
2016-01-28,382.9729309082031
2016-01-29,379.18304443359375
2016-02-01,372.9995422363281
2016-02-02,364.5223693847656
2016-02-03,374.5953369140625
2016-02-04,429.1490478515625
2016-02-05,445.106201171875
