Date,VALE3.SA
2015-08-24,7.854755878448486
2015-08-25,7.829251289367676
2015-08-26,8.109779357910156
2015-08-27,9.022767066955566
2015-08-28,8.828948020935059
2015-08-31,9.1400785446167
2015-09-01,8.72183895111084
2015-09-02,9.236988067626953
2015-09-03,9.553217887878418
2015-09-04,9.303293228149414
2015-09-08,9.655227661132812
2015-09-09,9.721531867980957
2015-09-10,10.170377731323242
2015-09-11,9.920452117919922
2015-09-14,9.767438888549805
2015-09-15,9.486913681030273
2015-09-16,9.711335182189941
2015-09-17,9.940855979919434
2015-09-18,10.155077934265137
2015-09-21,10.165276527404785
2015-09-22,9.925554275512695
2015-09-23,9.63992691040039
2015-09-24,9.41040325164795
2015-09-25,9.145179748535156
2015-09-28,8.461714744567871
2015-09-29,8.405608177185059
2015-09-30,8.45661449432373
2015-10-01,8.78304386138916
2015-10-02,9.089071273803711
2015-10-05,9.252287864685059
2015-10-06,9.338996887207031
2015-10-07,10.277486801147461
2015-10-08,10.231585502624512
2015-10-09,10.603920936584473
2015-10-13,9.476710319519043
2015-10-14,9.537917137145996
2015-10-15,9.675629615783691
2015-10-16,9.583854675292969
2015-10-19,9.261270523071289
2015-10-20,9.16241455078125
2015-10-21,9.41215705871582
2015-10-22,9.630681991577148
2015-10-23,9.677510261535645
2015-10-26,9.292489051818848
2015-10-27,8.860644340515137
2015-10-28,8.621308326721191
2015-10-29,8.397579193115234
2015-10-30,8.876254081726074
2015-11-03,9.235258102416992
2015-11-04,9.053152084350586
2015-11-05,8.819019317626953
2015-11-06,8.153039932250977
2015-11-09,8.033373832702637
2015-11-10,8.002155303955078
2015-11-11,7.970937728881836
2015-11-12,7.8304572105407715
2015-11-13,7.996949195861816
2015-11-16,7.8304572105407715
2015-11-17,7.554699897766113
2015-11-18,7.591122627258301
2015-11-19,7.617137432098389
2015-11-23,7.414220333099365
2015-11-24,7.528685569763184
2015-11-25,7.315365314483643
2015-11-26,7.383001327514648
2015-11-27,6.919938564300537
2015-11-30,6.852301120758057
2015-12-01,6.680602073669434
2015-12-02,6.732632637023926
2015-12-03,6.696210861206055
2015-12-04,6.425656795501709
2015-12-07,6.352817058563232
2015-12-08,6.0614495277404785
2015-12-09,6.285178184509277
2015-12-10,6.5921525955200195
2015-12-11,6.352817058563232
2015-12-14,6.4828901290893555
2015-12-15,6.701414585113525
2015-12-16,6.893924236297607
2015-12-17,6.628572463989258
2015-12-18,6.706618785858154
2015-12-21,6.394440174102783
2015-12-22,6.529716491699219
2015-12-23,6.8783159255981445
2015-12-28,6.576541900634766
2015-12-29,6.618168354034424
2015-12-30,6.779458522796631
2016-01-04,6.602558135986328
2016-01-05,6.5141072273254395
2016-01-06,6.035435199737549
2016-01-07,5.676431655883789
2016-01-08,5.483922004699707
2016-01-11,5.32783317565918
2016-01-12,4.895987510681152
2016-01-13,4.68266487121582
2016-01-14,5.020857334136963
2016-01-15,4.875175476074219
2016-01-18,4.625433921813965
2016-01-19,4.7763190269470215
2016-01-20,4.791927337646484
2016-01-21,4.75550651550293
2016-01-22,4.6982741355896
2016-01-26,4.656650066375732
2016-01-27,4.895987510681152
2016-01-28,4.854363918304443
2016-01-29,5.057279586791992
2016-02-01,4.942813396453857
2016-02-02,4.474546909332275
2016-02-03,4.687868595123291
2016-02-04,5.379862308502197
2016-02-05,5.322629451751709
2016-02-10,5.30702018737793
2016-02-11,5.135321617126465
2016-02-12,5.333034992218018
2016-02-15,5.4683122634887695
2016-02-16,5.874142646789551
2016-02-17,6.196726322174072
2016-02-18,5.9886088371276855
2016-02-19,6.155102252960205
2016-02-22,6.836690902709961
2016-02-23,6.4412689208984375
2016-02-24,6.092668533325195
2016-02-25,5.7336649894714355
2016-02-26,5.7232584953308105
2016-02-29,6.144698143005371
2016-03-01,6.664993762969971
2016-03-02,7.398610591888428
2016-03-03,8.127025604248047
2016-03-04,8.610901832580566
2016-03-07,9.146807670593262
2016-03-08,7.820051670074463
2016-03-09,7.544294357299805
2016-03-10,7.284146308898926
2016-03-11,7.216506481170654
2016-03-14,6.9927778244018555
2016-03-15,7.0135931968688965
2016-03-16,7.710788249969482
2016-03-17,8.064590454101562
2016-03-18,7.976138591766357
2016-03-21,7.882486343383789
2016-03-22,8.02817153930664
2016-03-23,7.346582412719727
2016-03-24,7.8304572105407715
2016-03-28,7.8928937911987305
2016-03-29,7.851269721984863
2016-03-30,8.08540153503418
2016-03-31,7.882486343383789
2016-04-01,8.069793701171875
2016-04-04,7.695178508758545
2016-04-05,7.955328464508057
2016-04-06,7.840864658355713
2016-04-07,7.809643268585205
2016-04-08,8.449609756469727
2016-04-11,8.829424858093262
2016-04-12,9.750350952148438
2016-04-13,10.182195663452148
2016-04-14,9.469391822814941
2016-04-15,9.677510261535645
2016-04-18,9.911641120910645
2016-04-19,10.645258903503418
2016-04-20,11.32164478302002
2016-04-22,10.05732536315918
2016-04-25,9.3965482711792
2016-04-26,9.724336624145508
2016-04-27,10.119758605957031
2016-04-28,10.296664237976074
2016-04-29,10.24463176727295
2016-05-02,10.33828353881836
2016-05-03,9.708727836608887
2016-05-04,9.053152084350586
2016-05-05,8.668132781982422
2016-05-06,8.782599449157715
2016-05-09,7.924111843109131
2016-05-10,8.257099151611328
2016-05-11,8.2935209274292
2016-05-12,8.033373832702637
2016-05-13,7.637948036193848
2016-05-16,7.768021583557129
2016-05-17,7.8720808029174805
2016-05-18,7.653556823730469
2016-05-19,7.747209548950195
2016-05-20,7.351785659790039
2016-05-23,7.513076305389404
2016-05-24,7.294551849365234
