Date,CBOE
2015-08-03,54.43528747558594
2015-08-04,54.601173400878906
2015-08-05,55.020240783691406
2015-08-06,54.91548538208008
2015-08-07,55.34328079223633
2015-08-10,55.78854751586914
2015-08-11,55.308353424072266
2015-08-12,55.26470184326172
2015-08-13,55.39565658569336
2015-08-14,56.23379898071289
2015-08-17,56.198875427246094
2015-08-18,56.05046081542969
2015-08-19,55.66630935668945
2015-08-20,55.02896499633789
2015-08-21,53.62334442138672
2015-08-24,52.706642150878906
2015-08-25,52.83759307861328
2015-08-26,54.74959182739258
2015-08-27,55.33454132080078
2015-08-28,55.718685150146484
2015-08-31,55.22977828979492
2015-09-01,54.63610076904297
2015-09-02,55.88041305541992
2015-09-03,55.871646881103516
2015-09-04,55.65257263183594
2015-09-08,56.47628402709961
2015-09-09,56.397422790527344
2015-09-10,57.30876541137695
2015-09-11,57.82575607299805
2015-09-14,57.77317810058594
2015-09-15,57.78192901611328
2015-09-16,58.132450103759766
2015-09-17,57.072166442871094
2015-09-18,56.64278030395508
2015-09-21,57.29999542236328
2015-09-22,57.08091354370117
2015-09-23,57.860801696777344
2015-09-24,57.9747314453125
2015-09-25,58.18503952026367
2015-09-28,57.5278205871582
2015-09-29,57.6417350769043
2015-09-30,58.78091049194336
2015-10-01,58.92987823486328
2015-10-02,58.9911994934082
2015-10-05,58.07111358642578
2015-10-06,57.492774963378906
2015-10-07,57.037113189697266
2015-10-08,57.69432067871094
2015-10-09,57.33503723144531
2015-10-12,57.77317810058594
2015-10-13,57.12473678588867
2015-10-14,57.632972717285156
2015-10-15,58.14998245239258
2015-10-16,57.15102005004883
2015-10-19,57.5628776550293
2015-10-20,57.65925979614258
2015-10-21,57.08091354370117
2015-10-22,57.9747314453125
2015-10-23,58.684513092041016
2015-10-26,59.035011291503906
2015-10-27,59.54326629638672
2015-10-28,60.28812026977539
2015-10-29,60.603580474853516
2015-10-30,58.745853424072266
2015-11-02,59.86748123168945
2015-11-03,60.296878814697266
2015-11-04,59.49944305419922
2015-11-05,59.92005157470703
2015-11-06,60.296878814697266
2015-11-09,60.638607025146484
2015-11-10,61.3922233581543
2015-11-11,61.891693115234375
2015-11-12,60.91904830932617
2015-11-13,60.95405960083008
2015-11-16,61.33964157104492
2015-11-17,61.86540603637695
2015-11-18,62.566429138183594
2015-11-19,62.85561752319336
2015-11-20,63.07469177246094
2015-11-23,62.697872161865234
2015-11-24,62.50508499145508
2015-11-25,62.94325637817383
2015-11-27,63.442710876464844
2015-11-30,63.27622604370117
2015-12-01,61.7252082824707
2015-12-02,61.40872573852539
2015-12-03,59.88779067993164
2015-12-04,61.07464599609375
2015-12-07,60.890018463134766
2015-12-08,58.23497772216797
2015-12-09,56.494266510009766
2015-12-10,56.71405029296875
2015-12-11,57.4437370300293
2015-12-14,58.762474060058594
2015-12-15,59.246009826660156
2015-12-16,58.03276824951172
2015-12-17,57.18000411987305
2015-12-18,56.722835540771484
2015-12-21,57.32945251464844
2015-12-22,57.69868850708008
2015-12-23,56.881099700927734
2015-12-24,57.53166580200195
2015-12-28,57.53166580200195
2015-12-29,57.98881912231445
2015-12-30,57.74264907836914
2015-12-31,57.05691909790039
2016-01-04,56.25688934326172
2016-01-05,55.474449157714844
2016-01-06,54.91178894042969
2016-01-07,55.26344680786133
2016-01-08,54.99089813232422
2016-01-11,55.60631561279297
2016-01-12,55.966773986816406
2016-01-13,55.13157653808594
2016-01-14,55.60631561279297
2016-01-15,56.10742950439453
2016-01-19,56.10742950439453
2016-01-20,55.80851745605469
2016-01-21,54.77113342285156
2016-01-22,56.88987731933594
2016-01-25,55.69422149658203
2016-01-26,56.168983459472656
2016-01-27,56.511844635009766
2016-01-28,56.71405029296875
2016-01-29,58.56904602050781
2016-02-01,58.147071838378906
2016-02-02,57.73385238647461
2016-02-03,56.520633697509766
2016-02-04,54.199668884277344
2016-02-05,53.320526123046875
2016-02-08,52.63478469848633
2016-02-09,54.32275390625
2016-02-10,54.401878356933594
2016-02-11,54.7447509765625
2016-02-12,54.83266067504883
2016-02-16,54.61286926269531
2016-02-17,54.331546783447266
2016-02-18,54.32275390625
2016-02-19,55.15793991088867
2016-02-22,54.7535285949707
2016-02-23,55.44806671142578
2016-02-24,56.195350646972656
2016-02-25,55.52719497680664
2016-02-26,55.35136795043945
2016-02-29,54.94694900512695
2016-03-01,55.6590576171875
2016-03-02,55.57082748413086
2016-03-03,56.276710510253906
2016-03-04,56.47965621948242
2016-03-07,55.74730682373047
2016-03-08,57.84730529785156
2016-03-09,57.503177642822266
2016-03-10,57.46790313720703
2016-03-11,57.45024108886719
2016-03-14,58.11201095581055
2016-03-15,58.75611877441406
2016-03-16,58.323787689208984
2016-03-17,58.129661560058594
2016-03-18,57.22083282470703
2016-03-21,57.106136322021484
2016-03-22,57.09730911254883
2016-03-23,57.750240325927734
2016-03-24,57.106136322021484
2016-03-28,57.39730453491211
2016-03-29,57.67083740234375
2016-03-30,57.512020111083984
2016-03-31,57.64435958862305
2016-04-01,59.02083969116211
2016-04-04,58.42084503173828
2016-04-05,57.75906753540039
2016-04-06,57.732608795166016
2016-04-07,57.3443717956543
2016-04-08,56.58553695678711
2016-04-11,56.59436798095703
2016-04-12,56.541419982910156
2016-04-13,57.00906753540039
2016-04-14,56.770835876464844
2016-04-15,56.88554763793945
2016-04-18,57.159080505371094
2016-04-19,57.76789855957031
2016-04-20,58.050262451171875
2016-04-21,57.47672653198242
2016-04-22,57.82084274291992
2016-04-25,57.423770904541016
2016-04-26,57.77672576904297
2016-04-27,57.35318374633789
