Date,TW.L
2015-08-24,185.104248046875
2015-08-25,192.77130126953125
2015-08-26,190.1824188232422
2015-08-27,196.2563018798828
2015-08-28,200.43833923339844
2015-09-01,195.16104125976562
2015-09-02,197.35157775878906
2015-09-03,199.64173889160156
2015-09-04,197.74986267089844
2015-09-07,197.25201416015625
2015-09-08,198.04861450195312
2015-09-09,198.04861450195312
2015-09-10,201.23492431640625
2015-09-11,199.54214477539062
2015-09-14,199.84091186523438
2015-09-15,198.2477569580078
2015-09-16,199.2434844970703
2015-09-17,199.74131774902344
2015-09-18,198.04861450195312
2015-09-21,200.83660888671875
2015-09-22,195.75843811035156
2015-09-23,199.2434844970703
2015-09-24,200.1396026611328
2015-09-25,204.12249755859375
2015-09-28,202.62890625
2015-09-29,192.27345275878906
2015-09-30,194.66317749023438
2015-10-01,195.95758056640625
2015-10-02,195.06143188476562
2015-10-05,198.74560546875
2015-10-06,200.63748168945312
2015-10-07,195.75843811035156
2015-10-08,195.16104125976562
2015-10-09,191.676025390625
2015-10-12,189.8837127685547
2015-10-13,192.27345275878906
2015-10-14,185.70167541503906
2015-10-15,189.68455505371094
2015-10-16,189.38584899902344
2015-10-19,189.8837127685547
2015-10-20,192.57212829589844
2015-10-21,193.16957092285156
2015-10-22,191.4768524169922
2015-10-23,195.45973205566406
2015-10-26,195.55926513671875
2015-10-27,194.36444091796875
2015-10-28,195.06143188476562
2015-10-29,192.9704132080078
2015-10-30,197.15245056152344
2015-11-02,197.35157775878906
2015-11-03,186.8965606689453
2015-11-04,179.5282440185547
2015-11-05,182.6149444580078
2015-11-06,180.72305297851562
2015-11-09,177.83551025390625
2015-11-10,179.03036499023438
2015-11-11,178.23377990722656
2015-11-12,177.23806762695312
2015-11-13,173.05606079101562
2015-11-16,180.12564086914062
2015-11-17,184.20809936523438
2015-11-18,184.9051055908203
2015-11-19,184.50685119628906
2015-11-20,182.8140869140625
2015-11-23,181.91795349121094
2015-11-24,177.33766174316406
2015-11-25,184.0089569091797
2015-11-26,187.29483032226562
2015-11-27,187.8922576904297
2015-11-30,193.76702880859375
2015-12-01,195.6588897705078
2015-12-02,197.15245056152344
2015-12-03,195.2605743408203
2015-12-04,198.04861450195312
2015-12-07,198.74560546875
2015-12-08,196.0571746826172
2015-12-09,194.4639892578125
2015-12-10,195.55926513671875
2015-12-11,193.16957092285156
2015-12-14,192.57212829589844
2015-12-15,197.8494415283203
2015-12-16,197.25201416015625
2015-12-17,197.0528564453125
2015-12-18,194.7627410888672
2015-12-21,194.56358337402344
2015-12-22,195.6588897705078
2015-12-23,198.44688415527344
2015-12-24,196.35592651367188
2015-12-29,203.32589721679688
2015-12-30,202.72848510742188
2015-12-31,202.23060607910156
2016-01-04,198.44688415527344
2016-01-05,198.3472900390625
2016-01-06,196.15676879882812
2016-01-07,191.37725830078125
2016-01-08,192.870849609375
2016-01-11,194.06573486328125
2016-01-12,198.04861450195312
2016-01-13,198.14816284179688
2016-01-14,188.1909637451172
2016-01-15,183.11280822753906
2016-01-18,179.03036499023438
2016-01-19,184.0089569091797
2016-01-20,178.8312225341797
2016-01-21,178.63204956054688
2016-01-22,180.72305297851562
2016-01-25,182.9136962890625
2016-01-26,183.5111083984375
2016-01-27,188.1909637451172
2016-01-28,185.3034210205078
2016-01-29,191.57640075683594
2016-02-01,194.36444091796875
2016-02-02,191.8751220703125
2016-02-03,190.48114013671875
2016-02-04,188.2905731201172
2016-02-05,182.0175018310547
2016-02-08,169.57106018066406
2016-02-09,169.07318115234375
2016-02-10,174.84832763671875
2016-02-11,168.07745361328125
2016-02-12,170.0688934326172
2016-02-15,170.86546325683594
2016-02-16,172.65774536132812
2016-02-17,178.8312225341797
2016-02-18,182.31625366210938
2016-02-19,182.9136962890625
2016-02-22,174.2509002685547
2016-02-23,175.7444610595703
2016-02-24,176.8397979736328
2016-02-25,181.0217742919922
2016-02-26,184.80555725097656
2016-02-29,185.40296936035156
2016-03-01,186.39869689941406
2016-03-02,181.5196533203125
2016-03-03,177.4371795654297
2016-03-04,176.04318237304688
2016-03-07,175.14706420898438
2016-03-08,172.45858764648438
2016-03-09,175.54534912109375
2016-03-10,172.35906982421875
2016-03-11,176.9393768310547
2016-03-14,182.2166290283203
2016-03-15,180.62350463867188
2016-03-16,186.79698181152344
2016-03-17,187.693115234375
2016-03-18,187.49395751953125
2016-03-21,186.1995086669922
2016-03-22,187.3944091796875
2016-03-23,189.1866912841797
2016-03-24,186.0004119873047
2016-03-29,189.78411865234375
2016-03-30,189.8837127685547
2016-03-31,189.48538208007812
2016-04-01,190.3815460205078
2016-04-04,190.0828094482422
2016-04-05,191.4768524169922
2016-04-06,192.870849609375
2016-04-07,185.5138397216797
2016-04-08,185.4142608642578
2016-04-11,179.041259765625
2016-04-12,176.85057067871094
2016-04-13,180.73406982421875
2016-04-14,176.25303649902344
2016-04-15,171.9712371826172
2016-04-18,172.2699737548828
2016-04-19,170.67669677734375
2016-04-20,172.76780700683594
2016-04-21,176.0539093017578
2016-04-22,174.75942993164062
2016-04-25,178.44375610351562
2016-04-26,183.42269897460938
2016-04-27,186.3104705810547
2016-04-28,186.3104705810547
2016-04-29,183.5222930908203
2016-05-03,183.02439880371094
2016-05-04,182.128173828125
2016-05-05,180.73406982421875
2016-05-06,180.83367919921875
2016-05-09,183.2235565185547
2016-05-10,179.5391845703125
2016-05-11,178.84210205078125
2016-05-12,181.03280639648438
2016-05-13,181.13243103027344
2016-05-16,184.11973571777344
2016-05-17,192.78305053710938
2016-05-18,195.67080688476562
2016-05-19,197.0648651123047
2016-05-20,204.63282775878906
2016-05-23,203.63705444335938
2016-05-24,209.41256713867188
2016-05-25,203.73660278320312
2016-05-26,203.73660278320312
2016-05-27,205.13070678710938
2016-05-31,204.53323364257812
2016-06-01,196.86573791503906
2016-06-02,191.5880584716797
2016-06-03,189.6961212158203
2016-06-06,187.70455932617188
2016-06-07,187.30624389648438
2016-06-08,188.3020477294922
2016-06-09,187.90370178222656
2016-06-10,182.42691040039062
2016-06-13,178.9416961669922
2016-06-14,172.36956787109375
2016-06-15,169.9796600341797
2016-06-16,167.7889404296875
2016-06-17,175.25730895996094
2016-06-20,187.20664978027344
2016-06-21,184.8168182373047
2016-06-22,187.40582275390625
2016-06-23,191.5880584716797
2016-06-24,135.52569580078125
2016-06-27,115.31134796142578
2016-06-28,121.48517608642578
2016-06-29,132.3391571044922
2016-06-30,131.74172973632812
2016-07-01,138.71217346191406
2016-07-04,129.9492950439453
2016-07-05,120.78813171386719
2016-07-06,115.41092681884766
2016-07-07,121.58476257324219
2016-07-08,130.945068359375
2016-07-11,140.20584106445312
2016-07-12,144.68685913085938
2016-07-13,143.69107055664062
2016-07-14,144.08937072753906
2016-07-15,143.392333984375
2016-07-18,147.07675170898438
2016-07-19,149.3670196533203
2016-07-20,151.65733337402344
2016-07-21,149.9644775390625
2016-07-22,146.28009033203125
2016-07-25,148.4708251953125
2016-07-26,144.2885284423828
2016-07-27,153.94760131835938
2016-07-28,153.54930114746094
2016-07-29,154.0471954345703
2016-08-01,147.07675170898438
2016-08-02,150.96026611328125
2016-08-03,148.07252502441406
2016-08-04,150.66156005859375
2016-08-05,153.54930114746094
2016-08-08,152.35435485839844
2016-08-09,153.94760131835938
2016-08-10,153.15098571777344
2016-08-11,152.0556182861328
2016-08-12,152.35435485839844
2016-08-15,152.4539337158203
2016-08-16,153.15098571777344
2016-08-17,152.35435485839844
2016-08-18,156.63623046875
2016-08-19,152.65309143066406
2016-08-22,158.0303192138672
2016-08-23,164.4033203125
2016-08-24,167.7889404296875
2016-08-25,163.4126434326172
2016-08-26,163.51223754882812
2016-08-30,159.9273223876953
2016-08-31,160.6243896484375
2016-09-01,164.90638732910156
2016-09-02,163.51223754882812
2016-09-05,160.8235626220703
2016-09-06,162.91476440429688
2016-09-07,158.83193969726562
2016-09-08,159.8277587890625
2016-09-09,155.04783630371094
2016-09-12,154.05203247070312
2016-09-13,152.65789794921875
2016-09-14,149.07296752929688
2016-09-15,149.37171936035156
2016-09-16,147.1809844970703
2016-09-19,149.47129821777344
2016-09-20,151.06460571289062
2016-09-21,151.1641387939453
2016-09-22,152.75746154785156
2016-09-23,154.8486785888672
2016-09-26,148.5750732421875
2016-09-27,149.8695831298828
2016-09-28,153.05621337890625
2016-09-29,149.37171936035156
2016-09-30,153.4545440673828
2016-10-03,154.94827270507812
2016-10-04,158.0352783203125
2016-10-05,154.74911499023438
2016-10-06,152.75746154785156
2016-10-07,147.08135986328125
2016-10-10,143.1977081298828
2016-10-11,147.08135986328125
2016-10-12,143.09811401367188
2016-10-13,145.58763122558594
2016-10-14,144.39266967773438
2016-10-17,141.8035430908203
2016-10-18,146.08551025390625
2016-10-19,149.8695831298828
2016-10-20,146.1851348876953
2016-10-21,144.9901885986328
2016-10-24,143.09811401367188
2016-10-25,142.20188903808594
2016-10-26,140.70819091796875
2016-10-27,138.31817626953125
2016-10-28,142.50062561035156
2016-10-31,141.1064453125
2016-11-01,146.1851348876953
2016-11-02,145.0897216796875
2016-11-03,146.48385620117188
2016-11-04,141.1064453125
2016-11-07,141.7039337158203
2016-11-08,140.70819091796875
2016-11-09,145.58763122558594
2016-11-10,142.69976806640625
2016-11-11,144.9901885986328
2016-11-14,149.47129821777344
2016-11-15,148.77423095703125
2016-11-16,147.8779754638672
2016-11-17,151.46290588378906
2016-11-18,152.2595977783203
2016-11-21,149.6704864501953
2016-11-22,150.66627502441406
2016-11-23,148.47549438476562
2016-11-24,147.28048706054688
2016-11-25,146.5834503173828
2016-11-28,145.7867889404297
2016-11-29,148.77423095703125
2016-11-30,147.67881774902344
2016-12-01,149.07296752929688
2016-12-02,150.1684112548828
2016-12-05,150.96502685546875
2016-12-06,152.06039428710938
2016-12-07,152.35916137695312
2016-12-08,155.2469940185547
2016-12-09,153.75326538085938
2016-12-12,148.97340393066406
2016-12-13,152.35916137695312
2016-12-14,151.46290588378906
2016-12-15,154.64950561523438
2016-12-16,152.35916137695312
2016-12-19,153.05621337890625
2016-12-20,153.65371704101562
2016-12-21,153.65371704101562
2016-12-22,154.2511749267578
2016-12-23,153.25537109375
2016-12-28,152.65789794921875
2016-12-29,152.55831909179688
2016-12-30,152.8570556640625
2017-01-03,154.8486785888672
2017-01-04,160.72396850585938
2017-01-05,168.69044494628906
2017-01-06,167.79421997070312
2017-01-09,168.79006958007812
2017-01-10,174.16741943359375
2017-01-11,169.88543701171875
2017-01-12,170.3833465576172
2017-01-13,171.87705993652344
2017-01-16,168.3917236328125
2017-01-17,172.27540588378906
2017-01-18,170.98081970214844
2017-01-19,168.79006958007812
2017-01-20,166.8980255126953
2017-01-23,167.8938446044922
2017-01-24,166.59927368164062
2017-01-25,164.50804138183594
2017-01-26,164.40850830078125
2017-01-27,166.99757385253906
2017-01-30,166.59927368164062
2017-01-31,166.40008544921875
2017-02-01,168.98919677734375
2017-02-02,170.7816619873047
2017-02-03,171.87705993652344
2017-02-06,169.08876037597656
2017-02-07,171.3791961669922
2017-02-08,175.46197509765625
2017-02-09,173.07205200195312
2017-02-10,173.2711944580078
2017-02-13,175.06362915039062
2017-02-14,175.7606964111328
2017-02-15,176.7565155029297
2017-02-16,176.15904235839844
2017-02-17,176.7565155029297
2017-02-20,174.86448669433594
2017-02-21,176.3582000732422
2017-02-22,176.7565155029297
2017-02-23,174.56573486328125
2017-02-24,176.3582000732422
2017-02-27,177.6527557373047
2017-02-28,179.24603271484375
2017-03-01,184.9221954345703
2017-03-02,184.32469177246094
2017-03-03,182.2334747314453
2017-03-06,185.32054138183594
2017-03-07,186.6150360107422
2017-03-08,188.10877990722656
2017-03-09,190.10037231445312
2017-03-10,191.69371032714844
2017-03-13,193.28701782226562
2017-03-14,190.39915466308594
2017-03-15,189.30377197265625
2017-03-16,191.69371032714844
2017-03-17,193.88449096679688
2017-03-20,192.6895294189453
2017-03-21,192.58993530273438
2017-03-22,193.0878143310547
2017-03-23,193.9840545654297
2017-03-24,190.69789123535156
2017-03-27,191.89285278320312
2017-03-28,192.19161987304688
2017-03-29,191.19583129882812
2017-03-30,191.89285278320312
2017-03-31,192.2912139892578
2017-04-03,192.19161987304688
2017-04-04,193.4861602783203
2017-04-05,192.6895294189453
2017-04-06,193.784912109375
2017-04-07,193.685302734375
2017-04-10,197.17066955566406
2017-04-11,197.6685791015625
2017-04-12,195.07945251464844
2017-04-13,196.0981903076172
2017-04-18,197.79129028320312
2017-04-19,202.47213745117188
2017-04-20,201.37661743164062
2017-04-21,199.28517150878906
2017-04-24,201.17742919921875
2017-04-25,198.9864044189453
2017-04-26,197.69166564941406
2017-04-27,200.77908325195312
2017-04-28,199.18557739257812
2017-05-02,198.8867950439453
2017-05-03,195.6998291015625
2017-05-04,195.9986114501953
2017-05-05,195.20187377929688
2017-05-08,197.19369506835938
2017-05-09,198.5880126953125
2017-05-10,199.6835479736328
2017-05-11,197.79129028320312
2017-05-12,195.3014373779297
2017-05-15,195.7994384765625
2017-05-16,195.6998291015625
2017-05-17,198.7871856689453
2017-05-18,197.79129028320312
2017-05-19,197.19369506835938
2017-05-22,198.3888397216797
2017-05-23,198.18963623046875
2017-05-24,199.08596801757812
2017-05-25,199.78311157226562
2017-05-26,198.8867950439453
2017-05-30,200.4802703857422
2017-05-31,202.27296447753906
2017-06-01,189.22633361816406
2017-06-02,184.0474853515625
2017-06-05,182.7527618408203
2017-06-06,178.2710723876953
2017-06-07,181.05970764160156
2017-06-08,182.7527618408203
2017-06-09,176.77719116210938
2017-06-12,177.27513122558594
2017-06-13,177.67352294921875
2017-06-14,180.262939453125
2017-06-15,177.97230529785156
2017-06-16,177.474365234375
2017-06-19,179.8645782470703
2017-06-20,178.56985473632812
2017-06-21,178.56985473632812
2017-06-22,179.36660766601562
2017-06-23,178.96824645996094
2017-06-26,178.7660369873047
