Date,ESNT.L
2015-08-24,813.86376953125
2015-08-25,840.2943115234375
2015-08-26,842.7877807617188
2015-08-27,844.7826538085938
2015-08-28,850.2681884765625
2015-09-01,841.7904663085938
2015-09-02,839.2970581054688
2015-09-03,852.2628784179688
2015-09-04,828.3258056640625
2015-09-07,834.8087768554688
2015-09-08,840.7931518554688
2015-09-09,851.7642822265625
2015-09-10,834.8087768554688
2015-09-11,821.3441162109375
2015-09-14,810.3729248046875
2015-09-15,820.8453369140625
2015-09-16,825.8323974609375
2015-09-17,818.8506469726562
2015-09-18,815.8584594726562
2015-09-21,809.874267578125
2015-09-22,779.95263671875
2015-09-23,775.9631958007812
2015-09-24,764.5553588867188
2015-09-25,781.0135498046875
2015-09-28,771.5374145507812
2015-09-29,762.061767578125
2015-09-30,784.0057983398438
2015-10-01,794.4791870117188
2015-10-02,808.4436645507812
2015-10-05,840.8612060546875
2015-10-06,843.8536376953125
2015-10-07,851.3345336914062
2015-10-08,848.8409423828125
2015-10-09,865.7976684570312
2015-10-12,855.8230590820312
2015-10-13,845.8486328125
2015-10-14,830.3877563476562
2015-10-15,849.8382568359375
2015-10-16,843.8536376953125
2015-10-19,842.8560791015625
2015-10-20,843.8536376953125
2015-10-21,854.3269653320312
2015-10-22,840.3623657226562
2015-10-23,866.795166015625
2015-10-26,864.80029296875
2015-10-27,856.3218383789062
2015-10-28,850.8357543945312
2015-10-29,847.843505859375
2015-10-30,839.86376953125
2015-11-02,837.3701782226562
2015-11-03,835.8738403320312
2015-11-04,837.868896484375
2015-11-05,808.4436645507812
2015-11-06,817.91943359375
2015-11-09,813.9296875
2015-11-10,797.9702758789062
2015-11-11,794.9779663085938
2015-11-12,782.0108642578125
2015-11-13,765.5527954101562
2015-11-16,789.9905395507812
2015-11-17,803.4564208984375
2015-11-18,846.3473510742188
2015-11-19,853.8281860351562
2015-11-20,851.3345336914062
2015-11-23,843.3549194335938
2015-11-24,829.8890380859375
2015-11-25,841.8585815429688
2015-11-26,850.3370971679688
2015-11-27,836.3726196289062
2015-11-30,866.2965087890625
2015-12-01,878.2660522460938
2015-12-02,885.7469482421875
2015-12-03,869.7876586914062
2015-12-04,867.2940063476562
2015-12-07,864.301513671875
2015-12-08,845.3497314453125
2015-12-09,841.8585815429688
2015-12-10,852.8307495117188
2015-12-11,854.3269653320312
2015-12-14,842.357421875
2015-12-15,833.8790893554688
2015-12-16,824.9017944335938
2015-12-17,830.3877563476562
2015-12-18,829.3903198242188
2015-12-21,821.4105834960938
2015-12-22,823.4056396484375
2015-12-23,832.3828125
2015-12-24,834.377685546875
2015-12-29,847.3447265625
2015-12-30,836.3726196289062
2015-12-31,825.8992919921875
2016-01-04,810.9373779296875
2016-01-05,812.43359375
2016-01-06,797.9702758789062
2016-01-07,797.4716186523438
2016-01-08,776.5249633789062
2016-01-11,759.5679321289062
2016-01-12,750.5908203125
2016-01-13,756.5755615234375
2016-01-14,743.6085815429688
2016-01-15,751.5881958007812
2016-01-18,741.1148681640625
2016-01-19,744.1072998046875
2016-01-20,723.6592407226562
2016-01-21,734.1326904296875
2016-01-22,749.0946655273438
2016-01-25,738.6212158203125
2016-01-26,724.1581420898438
2016-01-27,729.1452026367188
2016-01-28,729.1452026367188
2016-01-29,732.1376953125
2016-02-01,730.1428833007812
2016-02-02,695.2316284179688
2016-02-03,671.791259765625
2016-02-04,685.7557983398438
2016-02-05,701.7151489257812
2016-02-08,677.7760009765625
2016-02-09,678.274658203125
2016-02-10,700.218994140625
2016-02-11,674.2848510742188
2016-02-12,692.7379150390625
2016-02-15,707.201171875
2016-02-16,701.7151489257812
2016-02-17,732.636474609375
2016-02-18,743.6085815429688
2016-02-19,811.4359130859375
2016-02-22,826.39794921875
2016-02-23,807.9449462890625
2016-02-24,816.9220581054688
2016-02-25,817.91943359375
2016-02-26,834.8764038085938
2016-02-29,832.3828125
2016-03-01,825.8992919921875
2016-03-02,819.4157104492188
2016-03-03,828.8916625976562
2016-03-04,843.8536376953125
2016-03-07,839.86376953125
2016-03-08,839.86376953125
2016-03-09,838.8662719726562
2016-03-10,823.4056396484375
2016-03-11,840.8612060546875
2016-03-14,847.3447265625
2016-03-15,847.843505859375
2016-03-16,841.3599243164062
2016-03-17,840.0071411132812
2016-03-18,836.0165405273438
2016-03-21,828.0355224609375
2016-03-22,829.531982421875
2016-03-23,811.0758666992188
2016-03-24,812.572265625
2016-03-29,812.0733642578125
2016-03-30,833.5223999023438
2016-03-31,825.54150390625
2016-04-01,805.0899658203125
2016-04-04,798.1065063476562
2016-04-05,801.0994262695312
2016-04-06,825.54150390625
2016-04-07,803.5935668945312
2016-04-08,806.0875854492188
2016-04-11,805.0899658203125
2016-04-12,810.5770263671875
2016-04-13,837.5131225585938
2016-04-14,833.0238037109375
2016-04-15,822.5484008789062
2016-04-18,823.0473022460938
2016-04-19,854.9718017578125
2016-04-20,883.9029541015625
2016-04-21,888.8911743164062
2016-04-22,856.967041015625
2016-04-25,850.9810791015625
2016-04-26,835.517822265625
2016-04-27,825.0426025390625
2016-04-28,827.5368041992188
2016-04-29,810.078125
2016-05-03,818.05908203125
2016-05-04,825.54150390625
2016-05-05,816.5628051757812
2016-05-06,811.0758666992188
2016-05-09,803.5935668945312
2016-05-10,808.0829467773438
2016-05-11,815.5652465820312
2016-05-12,803.5935668945312
2016-05-13,806.0875854492188
2016-05-16,821.0520629882812
2016-05-17,816.5628051757812
2016-05-18,814.5674438476562
2016-05-19,804.0923461914062
2016-05-20,812.572265625
2016-05-23,813.071044921875
2016-05-24,824.5438232421875
2016-05-25,830.5296020507812
2016-05-26,832.5248413085938
2016-05-27,831.5272216796875
2016-05-31,828.0355224609375
2016-06-01,820.5531005859375
2016-06-02,833.5223999023438
2016-06-03,827.037841796875
2016-06-06,847.98828125
2016-06-07,838.0119018554688
2016-06-08,828.0355224609375
2016-06-09,598.5799560546875
2016-06-10,558.6746215820312
2016-06-13,554.68408203125
2016-06-14,517.7716064453125
2016-06-15,513.2821655273438
2016-06-16,487.44354248046875
2016-06-17,522.2609252929688
2016-06-20,543.211181640625
2016-06-21,538.7218017578125
2016-06-22,525.25390625
2016-06-23,531.738525390625
2016-06-24,505.8000183105469
2016-06-27,466.5930480957031
2016-06-28,477.8663330078125
2016-06-29,493.1300354003906
2016-06-30,511.7857666015625
2016-07-01,551.1923828125
2016-07-04,550.1947631835938
2016-07-05,544.2088623046875
2016-07-06,537.7242431640625
2016-07-07,556.1804809570312
2016-07-08,578.6272583007812
2016-07-11,605.5632934570312
2016-07-12,629.5064086914062
