Date,WDC
2015-08-03,55.033390045166016
2015-08-04,54.09746170043945
2015-08-05,54.28978729248047
2015-08-06,53.96925354003906
2015-08-07,53.533355712890625
2015-08-10,54.46285629272461
2015-08-11,53.328208923339844
2015-08-12,53.30898666381836
2015-08-13,52.28972625732422
2015-08-14,52.88589859008789
2015-08-17,53.59104537963867
2015-08-18,53.40513610839844
2015-08-19,52.37947463989258
2015-08-20,51.14867401123047
2015-08-21,50.9243049621582
2015-08-24,49.30889129638672
2015-08-25,48.1806526184082
2015-08-26,50.40507125854492
2015-08-27,52.18716049194336
2015-08-28,52.10382843017578
2015-08-31,52.539730072021484
2015-09-01,51.57175827026367
2015-09-02,52.02049255371094
2015-09-03,52.437164306640625
2015-09-04,51.296119689941406
2015-09-08,53.783348083496094
2015-09-09,52.81538009643555
2015-09-10,52.07818603515625
2015-09-11,51.62305450439453
2015-09-14,51.69355773925781
2015-09-15,51.75766372680664
2015-09-16,52.02690887451172
2015-09-17,51.75126266479492
2015-09-18,48.63579559326172
2015-09-21,48.88580322265625
2015-09-22,46.18701171875
2015-09-23,45.79597473144531
2015-09-24,45.77033996582031
2015-09-25,45.17416763305664
2015-09-28,43.75105667114258
2015-09-29,44.469017028808594
2015-09-30,51.29402160644531
2015-10-01,50.29319381713867
2015-10-02,51.29402160644531
2015-10-05,53.03740310668945
2015-10-06,53.605621337890625
2015-10-07,54.554779052734375
2015-10-08,55.05842590332031
2015-10-09,55.529781341552734
2015-10-12,54.89054870605469
2015-10-13,54.477291107177734
2015-10-14,53.71538543701172
2015-10-15,52.3787956237793
2015-10-16,51.34568786621094
2015-10-19,51.965545654296875
2015-10-20,48.33674621582031
2015-10-21,46.12846755981445
2015-10-22,45.17283630371094
2015-10-23,44.77251052856445
2015-10-26,43.36488723754883
2015-10-27,43.3713493347168
2015-10-28,43.59733963012695
2015-10-29,43.79104995727539
2015-10-30,43.14535140991211
2015-11-02,43.803958892822266
2015-11-03,44.249488830566406
2015-11-04,44.26240539550781
2015-11-05,43.8104133605957
2015-11-06,43.83624267578125
2015-11-09,43.009761810302734
2015-11-10,41.05330276489258
2015-11-11,40.42051315307617
