Date,SBILIFE.NS
2017-10-03,695.6265258789062
2017-10-04,691.7922973632812
2017-10-05,682.8456420898438
2017-10-06,685.0084838867188
2017-10-09,686.8765258789062
2017-10-10,688.2037353515625
2017-10-11,678.2739868164062
2017-10-12,676.111083984375
2017-10-13,678.0773315429688
2017-10-16,658.8076171875
2017-10-17,661.7078247070312
2017-10-18,657.13623046875
2017-10-19,663.7232666015625
2017-10-23,654.5801391601562
2017-10-24,654.6292114257812
2017-10-25,658.6109008789062
2017-10-26,655.6123046875
2017-10-27,651.0407104492188
2017-10-30,643.9620361328125
2017-10-31,650.9423217773438
2017-11-01,636.1460571289062
2017-11-02,631.9185180664062
2017-11-03,631.4269409179688
2017-11-06,645.6826171875
2017-11-07,631.525146484375
2017-11-08,620.9564819335938
2017-11-09,646.8624267578125
2017-11-10,665.1488647460938
2017-11-13,653.7935791015625
2017-11-14,648.8778076171875
2017-11-15,638.4072875976562
2017-11-16,638.9481201171875
2017-11-17,648.4353637695312
2017-11-20,650.3033447265625
2017-11-21,675.865234375
2017-11-22,681.46923828125
2017-11-23,655.0717163085938
2017-11-24,644.6502685546875
2017-11-27,642.6839599609375
2017-11-28,642.438232421875
2017-11-29,645.141845703125
2017-11-30,643.8638305664062
2017-12-01,644.8469848632812
2017-12-04,650.5982666015625
2017-12-05,647.992919921875
2017-12-06,645.04345703125
2017-12-07,657.13623046875
2017-12-08,674.1447143554688
2017-12-11,663.3792724609375
2017-12-12,664.6574096679688
2017-12-13,663.9691162109375
2017-12-14,668.4425659179688
2017-12-15,677.3890991210938
2017-12-18,680.486083984375
2017-12-19,685.5492553710938
2017-12-20,685.4017944335938
2017-12-21,689.9733276367188
2017-12-22,691.005615234375
2017-12-26,689.8751220703125
2017-12-27,688.646240234375
2017-12-28,687.1222534179688
2017-12-29,683.6319580078125
2018-01-01,687.712158203125
2018-01-02,673.5548095703125
2018-01-03,678.8638305664062
2018-01-04,689.77685546875
2018-01-05,690.1209106445312
2018-01-08,692.2838745117188
2018-01-09,705.1631469726562
2018-01-10,699.6082153320312
2018-01-11,691.9397583007812
2018-01-12,689.9242553710938
2018-01-15,704.6715087890625
2018-01-16,689.0394287109375
2018-01-17,693.3652954101562
2018-01-18,695.872314453125
2018-01-19,699.5099487304688
2018-01-22,702.6068725585938
2018-01-23,704.8189086914062
2018-01-24,690.7598876953125
2018-01-25,670.5562133789062
2018-01-29,670.3595581054688
2018-01-30,656.6448364257812
2018-01-31,649.516845703125
2018-02-01,696.7571411132812
2018-02-02,706.1953735351562
2018-02-05,683.3370971679688
2018-02-06,683.53369140625
2018-02-07,701.6729125976562
2018-02-08,702.9509887695312
2018-02-09,697.9368896484375
2018-02-12,674.2431030273438
2018-02-14,670.7528686523438
2018-02-15,670.9003295898438
2018-02-16,677.6348876953125
2018-02-19,673.7023315429688
2018-02-20,663.2809448242188
2018-02-21,664.1166381835938
2018-02-22,654.9733276367188
2018-02-23,664.3133544921875
2018-02-26,670.7036743164062
2018-02-27,677.83154296875
2018-02-28,682.79638671875
2018-03-01,678.3722534179688
2018-03-05,661.21630859375
2018-03-06,644.0111694335938
2018-03-07,641.6024169921875
2018-03-08,642.2907104492188
2018-03-09,659.0042724609375
2018-03-12,667.1151733398438
2018-03-13,666.0828247070312
2018-03-14,662.7893676757812
2018-03-15,663.6250610351562
2018-03-16,657.1854858398438
2018-03-19,662.7401123046875
2018-03-20,675.029541015625
2018-03-21,661.5604248046875
2018-03-22,653.6952514648438
2018-03-23,653.302001953125
2018-03-26,651.925537109375
2018-03-27,661.609619140625
2018-03-28,666.8202514648438
2018-04-02,672.375
2018-04-03,670.5016479492188
2018-04-04,670.4522705078125
2018-04-05,665.5714111328125
2018-04-06,670.1564331054688
2018-04-09,669.2198486328125
2018-04-10,685.9822998046875
2018-04-11,708.9568481445312
2018-04-12,709.006103515625
2018-04-13,701.7095336914062
2018-04-16,698.9979248046875
2018-04-17,711.3233642578125
2018-04-18,711.27392578125
2018-04-19,712.8023071289062
2018-04-20,706.1466674804688
2018-04-23,706.9354248046875
2018-04-24,735.5796508789062
2018-04-25,755.39892578125
2018-04-26,752.1449584960938
2018-04-27,748.2501831054688
2018-04-30,732.7201538085938
2018-05-02,736.1220092773438
2018-05-03,721.7753295898438
2018-05-04,692.2928466796875
2018-05-07,693.77197265625
2018-05-08,692.637939453125
2018-05-09,690.1729736328125
2018-05-10,703.7801513671875
2018-05-11,688.5458984375
2018-05-14,681.4959106445312
2018-05-15,669.4169921875
2018-05-16,658.3240966796875
2018-05-17,660.3453979492188
2018-05-18,655.9083251953125
2018-05-21,646.0480346679688
2018-05-22,650.7316284179688
2018-05-23,669.5648193359375
2018-05-24,668.8253173828125
2018-05-25,674.2977905273438
2018-05-28,675.7767333984375
2018-05-29,685.5878295898438
2018-05-30,684.601806640625
2018-05-31,680.1647338867188
2018-06-01,666.5574340820312
2018-06-04,650.8302001953125
2018-06-05,655.7111206054688
2018-06-06,673.5582275390625
2018-06-07,682.333984375
2018-06-08,682.6791381835938
2018-06-11,702.547607421875
2018-06-12,709.8442993164062
2018-06-13,692.4407958984375
2018-06-14,680.2633666992188
2018-06-15,662.4160766601562
2018-06-18,662.4653930664062
2018-06-19,664.0430908203125
2018-06-20,666.7546997070312
2018-06-21,666.0150756835938
2018-06-22,675.6290283203125
2018-06-25,680.1153564453125
2018-06-26,675.1359252929688
2018-06-27,668.2830200195312
2018-06-28,657.0916137695312
2018-06-29,664.9304809570312
2018-07-02,660.0496215820312
2018-07-03,660.8877563476562
