Date,AKER.OL
2015-08-24,91.46538543701172
2015-08-25,94.40534210205078
2015-08-26,96.69197845458984
2015-08-27,96.36530303955078
2015-08-28,98.32527160644531
2015-08-31,97.34528350830078
2015-09-01,95.71199035644531
2015-09-02,96.69197845458984
2015-09-03,98.9786148071289
2015-09-04,96.03864288330078
2015-09-07,95.05866241455078
2015-09-08,97.01863098144531
2015-09-09,97.67195129394531
2015-09-10,97.34528350830078
2015-09-11,96.03864288330078
2015-09-14,94.73200988769531
2015-09-15,95.05866241455078
2015-09-16,96.03864288330078
2015-09-17,97.99861907958984
2015-09-18,97.67195129394531
2015-09-21,97.34528350830078
2015-09-22,96.69197845458984
2015-09-23,96.03864288330078
2015-09-24,95.38532257080078
2015-09-25,95.05866241455078
2015-09-28,93.42535400390625
2015-09-29,95.71199035644531
2015-09-30,96.69197845458984
2015-10-01,100.28524780273438
2015-10-02,102.89855194091797
2015-10-05,107.47183227539062
2015-10-06,112.04509735107422
2015-10-07,112.69841766357422
2015-10-08,113.35171508789062
2015-10-09,114.65840148925781
2015-10-12,113.02507781982422
2015-10-13,111.71844482421875
2015-10-14,111.71844482421875
2015-10-15,113.35171508789062
2015-10-16,110.73843383789062
2015-10-19,111.06510925292969
2015-10-20,111.06510925292969
2015-10-21,108.45178985595703
2015-10-22,107.47183227539062
2015-10-23,108.45178985595703
2015-10-26,108.7784652709961
2015-10-27,108.1251449584961
2015-10-28,111.39176177978516
2015-10-29,108.45178985595703
2015-10-30,109.43180847167969
2015-11-02,110.08512115478516
2015-11-03,113.02507781982422
2015-11-04,113.35171508789062
2015-11-05,112.04509735107422
2015-11-06,111.39176177978516
2015-11-09,112.69841766357422
2015-11-10,110.73843383789062
2015-11-11,109.43180847167969
2015-11-12,106.4918441772461
2015-11-13,107.14515686035156
2015-11-16,110.08512115478516
2015-11-17,112.37174987792969
2015-11-18,113.67839050292969
2015-11-19,115.96502685546875
2015-11-20,114.33172607421875
2015-11-23,113.35171508789062
2015-11-24,114.00505065917969
2015-11-25,113.02507781982422
2015-11-26,115.63835906982422
2015-11-27,114.00505065917969
2015-11-30,112.04509735107422
2015-12-01,114.33172607421875
2015-12-02,114.98503112792969
2015-12-03,114.33172607421875
2015-12-04,114.98503112792969
2015-12-07,113.67839050292969
2015-12-08,109.43180847167969
2015-12-09,111.39176177978516
2015-12-10,111.39176177978516
2015-12-11,108.1251449584961
2015-12-14,103.55186462402344
2015-12-15,103.87853240966797
2015-12-16,104.8585433959961
2015-12-17,104.53186798095703
2015-12-18,101.26526641845703
2015-12-21,102.89855194091797
2015-12-22,104.20521545410156
2015-12-23,105.83849334716797
2015-12-28,104.53186798095703
2015-12-29,106.4918441772461
2015-12-30,107.14515686035156
2016-01-04,106.4918441772461
2016-01-05,105.18517303466797
2016-01-06,103.87853240966797
2016-01-07,97.99861907958984
2016-01-08,96.69197845458984
2016-01-11,94.73200988769531
2016-01-12,99.63194274902344
2016-01-13,99.63194274902344
2016-01-14,97.99861907958984
2016-01-15,97.67195129394531
2016-01-18,93.75201416015625
2016-01-19,96.03864288330078
2016-01-20,89.17874908447266
2016-01-21,90.81204986572266
2016-01-22,95.71199035644531
2016-01-25,95.05866241455078
2016-01-26,96.69197845458984
2016-01-27,96.36530303955078
2016-01-28,97.67195129394531
2016-01-29,100.6119155883789
2016-02-01,100.6119155883789
2016-02-02,96.36530303955078
2016-02-03,98.9786148071289
2016-02-04,104.53186798095703
2016-02-05,106.4918441772461
2016-02-08,101.26526641845703
2016-02-09,96.69197845458984
2016-02-10,97.01863098144531
2016-02-11,93.75201416015625
2016-02-12,95.71199035644531
2016-02-15,100.93856048583984
2016-02-16,97.99861907958984
2016-02-17,97.99861907958984
2016-02-18,99.63194274902344
2016-02-19,97.99861907958984
2016-02-22,97.67195129394531
2016-02-23,94.07868194580078
2016-02-24,93.42535400390625
2016-02-25,93.42535400390625
2016-02-26,99.30528259277344
2016-02-29,103.2252197265625
