Date,IFS.LM
2015-08-24,15.431124687194824
2015-08-25,15.599597930908203
2015-08-26,15.599597930908203
2015-08-27,16.37333869934082
2015-08-28,16.37333869934082
2015-08-31,15.599597930908203
2015-09-01,15.911593437194824
2015-09-02,15.911593437194824
2015-09-03,15.911593437194824
2015-09-04,15.506000518798828
2015-09-08,15.537203788757324
2015-09-09,15.599597930908203
2015-09-10,15.599597930908203
2015-09-11,15.512245178222656
2015-09-14,15.599597930908203
2015-09-15,15.599597930908203
2015-09-16,15.599597930908203
2015-09-17,15.599597930908203
2015-09-18,15.743118286132812
2015-09-21,15.743118286132812
2015-09-22,15.724396705627441
2015-09-23,15.599597930908203
2015-09-24,15.599597930908203
2015-09-25,15.599597930908203
2015-09-28,15.35000991821289
2015-09-29,15.35000991821289
2015-09-30,15.905353546142578
2015-10-01,15.899112701416016
2015-10-02,15.599597930908203
2015-10-05,15.599597930908203
2015-10-06,15.599597930908203
2015-10-07,15.605839729309082
2015-10-08,15.605839729309082
2015-10-09,15.605839729309082
2015-10-12,15.35000991821289
2015-10-13,15.599597930908203
2015-10-14,15.599597930908203
2015-10-15,15.599597930908203
2015-10-16,15.537203788757324
2015-10-19,15.537203788757324
2015-10-20,15.28760814666748
2015-10-21,15.35000991821289
2015-10-22,15.35000991821289
2015-10-23,15.599597930908203
2015-10-26,15.786798477172852
2015-10-27,15.786798477172852
2015-10-28,15.661999702453613
2015-10-29,15.599597930908203
2015-10-30,15.537203788757324
2015-11-02,15.599597930908203
2015-11-03,15.599597930908203
2015-11-04,15.537203788757324
2015-11-05,15.599597930908203
2015-11-06,15.599597930908203
2015-11-09,15.599597930908203
2015-11-10,15.599597930908203
2015-11-11,15.599597930908203
2015-11-12,15.47480297088623
2015-11-13,15.755597114562988
2015-11-16,15.911593437194824
2015-11-17,15.911593437194824
2015-11-18,15.911593437194824
2015-11-19,15.911593437194824
2015-11-20,15.911593437194824
2015-11-23,15.973991394042969
2015-11-24,15.973991394042969
2015-11-25,15.973991394042969
2015-11-27,16.00518798828125
2015-11-30,15.973991394042969
2015-12-01,15.973991394042969
2015-12-02,15.911593437194824
2015-12-03,15.661999702453613
2015-12-04,15.880395889282227
2015-12-07,15.849196434020996
2015-12-08,15.849196434020996
2015-12-09,15.661999702453613
2015-12-10,15.661999702453613
2015-12-11,15.66823959350586
2015-12-14,15.28760814666748
2015-12-15,15.28760814666748
2015-12-16,15.162810325622559
2015-12-17,14.963136672973633
2015-12-18,14.66362476348877
2015-12-21,14.28923225402832
2015-12-22,14.28923225402832
2015-12-23,14.039640426635742
2015-12-24,14.28923225402832
2015-12-28,14.120757102966309
2015-12-29,14.120757102966309
2015-12-30,14.195634841918945
2015-12-31,14.195634841918945
2016-01-04,14.189397811889648
2016-01-05,14.189397811889648
2016-01-06,14.189397811889648
2016-01-07,14.133238792419434
2016-01-08,14.133238792419434
2016-01-11,13.10366153717041
2016-01-12,13.10366153717041
2016-01-13,12.91646957397461
2016-01-14,12.779193878173828
2016-01-15,12.779193878173828
2016-01-19,12.729273796081543
2016-01-20,12.729273796081543
2016-01-21,12.604476928710938
2016-01-22,12.729273796081543
2016-01-25,12.854071617126465
2016-01-26,12.854071617126465
2016-01-27,12.54207706451416
2016-01-28,12.54207706451416
2016-01-29,12.479681015014648
2016-02-01,12.573277473449707
2016-02-02,12.573277473449707
2016-02-03,12.573277473449707
2016-02-04,12.604476928710938
2016-02-05,12.791672706604004
2016-02-08,12.860310554504395
2016-02-09,12.91646957397461
2016-02-10,12.91646957397461
2016-02-11,13.10366153717041
2016-02-12,13.10366153717041
2016-02-16,14.045879364013672
2016-02-17,14.382830619812012
2016-02-18,14.975617408752441
2016-02-19,15.038015365600586
2016-02-22,14.351633071899414
2016-02-23,14.351633071899414
2016-02-24,14.351633071899414
2016-02-25,14.351633071899414
2016-02-26,14.351633071899414
2016-02-29,14.975617408752441
2016-03-01,14.975617408752441
2016-03-02,15.28760814666748
2016-03-03,15.805517196655273
2016-03-04,15.911593437194824
2016-03-07,15.911593437194824
2016-03-08,15.911593437194824
2016-03-09,16.129989624023438
2016-03-10,15.973991394042969
2016-03-11,15.911593437194824
2016-03-14,15.911593437194824
2016-03-15,15.911593437194824
2016-03-16,15.911593437194824
2016-03-17,15.849196434020996
2016-03-18,16.09878921508789
2016-03-21,15.973991394042969
2016-03-22,15.973991394042969
2016-03-23,15.599597930908203
2016-03-24,15.28760814666748
2016-03-28,15.28760814666748
2016-03-29,15.28760814666748
2016-03-30,14.975617408752441
2016-03-31,15.537203788757324
2016-04-01,16.123750686645508
2016-04-04,15.599597930908203
2016-04-05,15.599597930908203
2016-04-06,15.337526321411133
2016-04-07,15.28760814666748
2016-04-08,15.131612777709961
2016-04-11,16.753971099853516
2016-04-12,16.753971099853516
2016-04-13,17.471553802490234
2016-04-14,17.533950805664062
2016-04-15,17.15955924987793
2016-04-18,16.90996742248535
2016-04-19,16.90996742248535
2016-04-20,17.477794647216797
2016-04-21,17.68994903564453
2016-04-22,17.845943450927734
2016-04-25,17.939538955688477
2016-04-26,17.939538955688477
2016-04-27,18.095539093017578
2016-04-28,19.042774200439453
2016-04-29,18.16086196899414
2016-05-02,18.61815071105957
2016-05-03,18.61815071105957
2016-05-04,18.16086196899414
2016-05-05,17.834228515625
2016-05-06,17.736238479614258
2016-05-09,17.801565170288086
2016-05-10,17.801565170288086
2016-05-11,18.291515350341797
2016-05-12,18.454833984375
2016-05-13,18.291515350341797
2016-05-16,18.61815071105957
2016-05-17,18.61815071105957
2016-05-18,18.61815071105957
