Date,VTR
2015-08-03,49.27478790283203
2015-08-04,48.7779655456543
2015-08-05,48.536842346191406
2015-08-06,48.946022033691406
2015-08-07,49.24557876586914
2015-08-10,48.7852668762207
2015-08-11,49.30402755737305
2015-08-12,49.66203308105469
2015-08-13,49.57435607910156
2015-08-14,49.968910217285156
2015-08-17,50.063899993896484
2015-08-18,38.261661529541016
2015-08-19,38.42160415649414
2015-08-20,38.74153137207031
2015-08-21,38.133697509765625
2015-08-24,36.386966705322266
2015-08-25,35.16490173339844
2015-08-26,35.89430236816406
2015-08-27,36.482940673828125
2015-08-28,36.27178955078125
2015-08-31,35.20328140258789
2015-09-01,34.72341537475586
2015-09-02,34.83858108520508
2015-09-03,34.83858108520508
2015-09-04,33.97481155395508
2015-09-08,34.301124572753906
2015-09-09,33.81486892700195
2015-09-10,33.77008056640625
2015-09-11,34.16584396362305
2015-09-14,34.34101104736328
2015-09-15,34.918453216552734
2015-09-16,35.41154479980469
2015-09-17,35.97599411010742
2015-09-18,36.430152893066406
2015-09-21,36.83241271972656
2015-09-22,36.7350959777832
2015-09-23,36.897300720214844
2015-09-24,36.70266342163086
2015-09-25,36.92972946166992
2015-09-28,35.93057632446289
2015-09-29,36.254974365234375
2015-09-30,36.37176513671875
2015-10-01,36.177127838134766
2015-10-02,36.37176513671875
2015-10-05,37.18925857543945
2015-10-06,37.02056121826172
2015-10-07,37.35145950317383
2015-10-08,37.52663803100586
2015-10-09,37.403358459472656
2015-10-12,37.33847427368164
2015-10-13,36.97515106201172
2015-10-14,36.287418365478516
2015-10-15,36.32635498046875
2015-10-16,36.962181091308594
2015-10-19,37.649906158447266
2015-10-20,37.45526123046875
2015-10-21,37.81210708618164
2015-10-22,37.87698745727539
2015-10-23,35.76838302612305
2015-10-26,35.73594665527344
2015-10-27,35.78135681152344
2015-10-28,35.63212966918945
2015-10-29,35.60618209838867
2015-10-30,34.85357666015625
2015-11-02,35.353153228759766
2015-11-03,34.782196044921875
2015-11-04,34.67191696166992
2015-11-05,35.158504486083984
2015-11-06,32.972042083740234
2015-11-09,32.290809631347656
2015-11-10,32.537357330322266
2015-11-11,32.36217498779297
2015-11-12,32.43354415893555
2015-11-13,32.232421875
2015-11-16,32.77741622924805
2015-11-17,32.478965759277344
2015-11-18,33.153717041015625
2015-11-19,33.47163391113281
2015-11-20,34.21774673461914
2015-11-23,34.6200065612793
2015-11-24,34.25019454956055
2015-11-25,34.38643264770508
2015-11-27,34.82113265991211
2015-11-30,34.60702133178711
2015-12-01,35.009281158447266
2015-12-02,34.33452224731445
2015-12-03,33.789546966552734
2015-12-04,34.51620101928711
2015-12-07,34.918453216552734
2015-12-08,35.048213958740234
2015-12-09,34.918453216552734
2015-12-10,34.79518127441406
2015-12-11,35.28178405761719
2015-12-14,35.31422805786133
2015-12-15,35.34666061401367
2015-12-16,36.15116882324219
2015-12-17,36.03284454345703
2015-12-18,35.44773864746094
2015-12-21,35.526641845703125
2015-12-22,35.809322357177734
2015-12-23,36.420719146728516
2015-12-24,36.499603271484375
2015-12-28,36.72312927246094
2015-12-29,37.15043640136719
2015-12-30,37.229331970214844
2015-12-31,37.09785079956055
2016-01-04,37.301658630371094
2016-01-05,37.95906448364258
2016-01-06,37.61063003540039
2016-01-07,36.953208923339844
2016-01-08,36.986080169677734
2016-01-11,37.19646072387695
2016-01-12,36.74285125732422
2016-01-13,35.8553352355957
2016-01-14,35.92108154296875
2016-01-15,35.953941345214844
2016-01-19,36.571922302246094
2016-01-20,34.790321350097656
2016-01-21,35.50034713745117
2016-01-22,36.486454010009766
2016-01-25,36.144596099853516
2016-01-26,36.77571105957031
2016-01-27,35.362274169921875
2016-01-28,35.362274169921875
2016-01-29,36.36812973022461
2016-02-01,36.47331237792969
2016-02-02,35.999961853027344
2016-02-03,36.81516647338867
2016-02-04,37.05839920043945
2016-02-05,37.02553176879883
2016-02-08,35.3096923828125
2016-02-09,32.923274993896484
2016-02-10,32.87068557739258
2016-02-11,32.0291862487793
2016-02-12,31.838542938232422
2016-02-16,32.68659591674805
2016-02-17,33.18623733520508
2016-02-18,33.92253494262695
2016-02-19,34.3104248046875
2016-02-22,34.836341857910156
2016-02-23,35.112464904785156
2016-02-24,35.401710510253906
2016-02-25,36.2103385925293
2016-02-26,36.41413879394531
2016-02-29,36.59821701049805
2016-03-01,37.84730911254883
2016-03-02,38.39952087402344
2016-03-03,37.75376892089844
2016-03-04,37.7803955078125
2016-03-07,38.099945068359375
2016-03-08,37.58066940307617
2016-03-09,37.80036544799805
2016-03-10,38.13323974609375
2016-03-11,39.797576904296875
2016-03-14,40.296871185302734
2016-03-15,40.436676025390625
2016-03-16,40.66302490234375
2016-03-17,41.28215408325195
2016-03-18,41.17564010620117
2016-03-21,40.90934753417969
2016-03-22,40.975921630859375
2016-03-23,40.73625946044922
2016-03-24,40.58313751220703
2016-03-28,41.16231918334961
2016-03-29,42.08769607543945
2016-03-30,41.91459655761719
2016-03-31,41.91459655761719
2016-04-01,42.094356536865234
2016-04-04,42.327362060546875
2016-04-05,42.30072021484375
2016-04-06,41.328758239746094
2016-04-07,41.52848434448242
2016-04-08,41.568416595458984
2016-04-11,41.85468292236328
2016-04-12,42.11433410644531
2016-04-13,42.22749710083008
2016-04-14,42.0810432434082
2016-04-15,42.04774475097656
2016-04-18,42.427215576171875
2016-04-19,42.56037521362305
2016-04-20,41.521820068359375
2016-04-21,39.7376594543457
2016-04-22,40.27024459838867
2016-04-25,40.8560905456543
2016-04-26,41.4019889831543
2016-04-27,41.615028381347656
