Date,MGM
2015-08-03,18.748533248901367
2015-08-04,20.54310417175293
2015-08-05,21.11925506591797
2015-08-06,20.769786834716797
2015-08-07,20.968135833740234
2015-08-10,21.345937728881836
2015-08-11,20.949243545532227
2015-08-12,20.8453426361084
2015-08-13,21.01535987854004
2015-08-14,21.23259735107422
2015-08-17,21.383718490600586
2015-08-18,21.23259735107422
2015-08-19,20.8453426361084
2015-08-20,20.09918212890625
2015-08-21,19.447473526000977
2015-08-24,18.455739974975586
2015-08-25,18.14404296875
2015-08-26,18.521852493286133
2015-08-27,19.400249481201172
2015-08-28,19.683603286743164
2015-08-31,19.296350479125977
2015-09-01,18.76742172241211
2015-09-02,19.135780334472656
2015-09-03,19.3530216217041
2015-09-04,19.34357452392578
2015-09-08,20.27863883972168
2015-09-09,19.94806671142578
2015-09-10,19.570261001586914
2015-09-11,19.796939849853516
2015-09-14,19.83472442626953
2015-09-15,19.456918716430664
2015-09-16,20.014177322387695
2015-09-17,19.796939849853516
2015-09-18,19.51358413696289
2015-09-21,19.26801300048828
2015-09-22,18.54073715209961
2015-09-23,18.285724639892578
2015-09-24,18.465173721313477
2015-09-25,18.663524627685547
2015-09-28,17.55845069885254
2015-09-29,16.774511337280273
2015-09-30,17.42622184753418
2015-10-01,17.634014129638672
2015-10-02,18.69186019897461
2015-10-05,19.17356300354004
2015-10-06,19.3057918548584
2015-10-07,19.570261001586914
2015-10-08,19.966947555541992
2015-10-09,20.051956176757812
2015-10-12,19.910280227661133
2015-10-13,19.957508087158203
2015-10-14,20.042512893676758
2015-10-15,20.42976188659668
2015-10-16,20.35420036315918
2015-10-19,19.83472442626953
2015-10-20,19.80638885498047
2015-10-21,19.135780334472656
2015-10-22,19.334135055541992
2015-10-23,20.10863494873047
2015-10-26,20.495878219604492
2015-10-27,19.77804946899414
2015-10-28,20.552553176879883
2015-10-29,21.534841537475586
2015-10-30,21.9031982421875
2015-11-02,22.46046257019043
2015-11-03,22.80048370361328
2015-11-04,22.696592330932617
2015-11-05,22.58324432373047
2015-11-06,22.517131805419922
2015-11-09,22.02598762512207
2015-11-10,22.129878997802734
2015-11-11,22.007091522216797
2015-11-12,21.534841537475586
2015-11-13,21.260934829711914
2015-11-16,21.37427520751953
2015-11-17,21.01535987854004
2015-11-18,21.459278106689453
2015-11-19,21.279821395874023
2015-11-20,21.213706970214844
2015-11-23,21.412050247192383
2015-11-24,21.685964584350586
2015-11-25,21.64818000793457
2015-11-27,21.506500244140625
2015-11-30,21.478166580200195
2015-12-01,21.98820686340332
2015-12-02,22.129878997802734
2015-12-03,21.14759063720703
2015-12-04,21.37427520751953
2015-12-07,21.081472396850586
2015-12-08,20.69422721862793
2015-12-09,20.83589744567871
2015-12-10,20.83589744567871
2015-12-11,19.881948471069336
2015-12-14,19.655263900756836
2015-12-15,19.976398468017578
