Date,VZ
2015-08-03,27.99022102355957
2015-08-04,27.81144142150879
2015-08-05,27.793563842773438
2015-08-06,27.787601470947266
2015-08-07,27.626710891723633
2015-08-10,28.145151138305664
2015-08-11,28.365650177001953
2015-08-12,28.514629364013672
2015-08-13,28.401397705078125
2015-08-14,28.30009651184082
2015-08-17,28.317974090576172
2015-08-18,28.2822208404541
2015-08-19,28.270301818847656
2015-08-20,27.936586380004883
2015-08-21,27.47176170349121
2015-08-24,26.661325454711914
2015-08-25,25.922388076782227
2015-08-26,26.911617279052734
2015-08-27,27.525407791137695
2015-08-28,27.45388412475586
2015-08-31,27.41813850402832
2015-09-01,26.756662368774414
2015-09-02,27.024824142456055
2015-09-03,27.24532127380371
2015-09-04,26.708988189697266
2015-09-08,27.34066390991211
2015-09-09,27.048667907714844
2015-09-10,27.090391159057617
2015-09-11,27.251285552978516
2015-09-14,27.20361328125
2015-09-15,27.63266944885254
2015-09-16,27.525407791137695
2015-09-17,26.953317642211914
2015-09-18,26.56001091003418
2015-09-21,26.697084426879883
2015-09-22,26.476593017578125
2015-09-23,26.208417892456055
2015-09-24,26.273975372314453
2015-09-25,26.3514404296875
2015-09-28,26.065414428710938
2015-09-29,25.940263748168945
2015-09-30,25.928346633911133
2015-10-01,25.6005916595459
2015-10-02,25.529085159301758
2015-10-05,26.220338821411133
2015-10-06,26.256105422973633
2015-10-07,26.470399856567383
2015-10-08,26.699785232543945
2015-10-09,26.657533645629883
2015-10-12,26.74203872680664
2015-10-13,26.77826690673828
2015-10-14,26.55490493774414
2015-10-15,26.96539878845215
2015-10-16,26.98350715637207
2015-10-19,26.98350715637207
2015-10-20,27.309478759765625
2015-10-21,27.080097198486328
2015-10-22,27.70186996459961
2015-10-23,27.864852905273438
2015-10-26,27.985580444335938
2015-10-27,27.870885848999023
2015-10-28,28.058015823364258
2015-10-29,28.009727478027344
2015-10-30,28.299482345581055
2015-11-02,28.23911476135254
2015-11-03,28.039899826049805
2015-11-04,27.852779388427734
2015-11-05,27.888994216918945
2015-11-06,27.635461807250977
2015-11-09,27.345705032348633
2015-11-10,27.224966049194336
2015-11-11,27.35778045654297
2015-11-12,27.06198501586914
2015-11-13,26.699785232543945
2015-11-16,27.188751220703125
2015-11-17,27.212900161743164
2015-11-18,27.39399528503418
2015-11-19,27.623380661010742
2015-11-20,27.40003204345703
2015-11-23,27.1585636138916
2015-11-24,27.2793025970459
2015-11-25,27.116313934326172
2015-11-27,27.303442001342773
2015-11-30,27.436246871948242
